id,name,phone,sq_ft_total,address,location,dom_disc_id,sec_disc_id,third_disc_id,neighborhood_id,constituency_id
15,Seattle Center Cornish Playhouse,(206) 726-5113,35000,"201 Mercer St, Seattle, WA 98109","(47.6237608, -122.352406)",0,0,0,0,0
16,Seattle Center Pottery Northwest,(206) 285-4421,10600,"226 1st Ave N Seattle, WA 98109","(47.6207729, -122.3551686)",0,0,0,0,0
17,Seattle Glassblowing Studio,(206) 448-2181,9500,"2227 5th Ave, Seattle, WA 98121","(47.6155804, -122.3428879)",0,0,0,0,0
18,Seattle Pinball Museum,(206) 623-0759,1980,"508 Maynard Ave S, Seattle, WA 98104","(47.5980081, -122.3248662)",0,0,0,0,0
19,Central Cinema,(206) 328-3230,3500,"1411 21st Ave, Seattle, WA 98122","(47.6132215, -122.3051662)",0,0,0,0,0
20,Cinerama,(206) 448-6680,14000,"2100 4th Ave, Seattle, WA 98121","(47.6141557, -122.3413991)",0,0,0,0,0
21,Grand Illusion,(206) 523-3935,1000,"1403 NE 50th St. Seattle, WA 98105","(47.664752, -122.3127097)",0,0,0,0,0
22,Majestic Bay,(206) 781-2229,8500,"2044 NW Market St Seattle, WA 98107","(47.6688574, -122.3841041)",0,0,0,0,0
23,Nortthwest Film Forum,(206) 329-2629,8500,"1515 12th Ave, Seattle, WA 98122","(47.6144138, -122.317071)",0,0,0,0,0
24,Seattle Center-SIFF Film Center and Cinema at the Uptown,(206) 464-5830,4600,"305 Harrison St, Seattle, WA 98109","(47.62056855, -122.35049095)",0,0,0,0,0
25,The Big Picture,(206) 256-0566,4400,"2505 1st Ave, Seattle, WA 98121","(47.6146778, -122.3492477)",0,0,0,0,0
26,Woodland Park Zoo and Stage,(206) 548-2500,4007000,"601 N 59th St, Seattle, WA 98103","(47.6684204, -122.350826003069)",0,0,0,0,0
27,Center for Wooden Boats South Lake Union,(206) 382-2628,4000,"1010 Valley Street Seattle, WA 98109","(47.62648, -122.3357295)",0,0,0,0,0
28,Center for Wooden Boats Wallingford,(206) 382-2628,6000,"1475 N Northlake Place, Seattle, WA 98103","(47.6463204338127, -122.338196689635)",0,0,0,0,0
29,Log House Museum,(206) 938-5293,1500,"3003 61st Ave SW, Seattle, WA 98116","(47.5775947, -122.410949824811)",0,0,0,0,0
30,Northwest African American Museum,(206) 518-6000,19700,"2300 S Massachusetts St, Seattle, WA 98144","(47.5891416, -122.301890691184)",0,0,0,0,0
31,South Seattle Community College Chinese Gardens,(206) 934-5219,200376,"6000 16th Ave SW, Seattle, WA 98106","(47.5510384, -122.35186429201)",0,0,0,0,0
32,Elliott Bay Book Company,(206) 624-6600,15000,"1521 10th Ave, Seattle, WA 98122","(47.6146657, -122.3196776)",0,0,0,0,0
33,Hugo House,(206) 322-7030,11000,"1634 11th Ave, Seattle, WA 98122","(47.6162473, -122.3178798)",0,0,0,0,0
34,Kinokuniya Book Store,(206) 587-2477,8020,"525 South Weller St. Seattle, WA 98144","(47.5975101, -122.3116039)",0,0,0,0,0
35,Magus Books,(206) 633-1800,2800,"1408 NE 42nd St, Seattle, WA 98105","(47.6584363, -122.312882)",0,0,0,0,0
36,Ophelia''s Books,(206) 632-3759,1500,"3504 Fremont Ave N, Seattle, WA 98103","(47.6506373, -122.3496713)",0,0,0,0,0
37,Seattle Public Library Ballard,(206) 684-4089,15000,"5614 22nd Ave NW, Seattle, WA 98107","(47.6698215, -122.384317177678)",0,0,0,0,0
38,Seattle Public Library Beacon Hill,(206) 684-4711,10400,"2821 Beacon Ave S,. Seattle, WA 98144","(47.5779867, -122.311409476581)",0,0,0,0,0
39,Seattle Public Library Broadview,(206) 684-7519,15000,"12755 Greenwood Ave N, Seattle, WA 98133","(47.7230197, -122.3562457)",0,0,0,0,0
40,Seattle Public Library Capitol Hill,(206) 684-4715,11215,"425 Harvard Ave E, Seattle, WA 98102","(47.6229428, -122.322331747171)",0,0,0,0,0
41,Seattle Public Library Columbia,(206) 386-1908,12420,"4721 Rainier Ave S, Seattle, WA 98118","(47.55990535, -122.28696008085)",0,0,0,0,0
42,Seattle Public Library Delridge,(206) 733-9125,5600,"5423 Delridge Way SW, Seattle, WA 98106","(47.5530455, -122.3632976)",0,0,0,0,0
43,Seattle Public Library Douglas-Truth,(206) 684-4704,16493,"2300 E Yesler Way, Seattle, WA 98122","(47.601907, -122.3017753)",0,0,0,0,0
44,Seattle Public Library Fremont,(206) 684-4084,6840,"731 N. 35th St. Seattle, WA 98103","(47.6500311, -122.3484385)",0,0,0,0,0
45,Seattle Public Library Green Lake,(206) 684-7547,8090,"7364 E. Green Lake Dr. N. Seattle, WA 98115","(47.6814905, -122.3267044)",0,0,0,0,0
46,Seattle Public Library Greenwood,(206) 684-4086,15000,"8016 Greenwood Ave N, Seattle, WA 98103","(47.6871410408163, -122.355179163265)",0,0,0,0,0
47,Seattle Public Library High Point,(206) 684-7454,7200,"3411 S.W. Raymond St, Seattle, WA 98126","(47.54807515, -122.375847136139)",0,0,0,0,0
48,Seattle Public Library International Districtrict/Chinatown,(206) 386-4636,3930,"1000 4th Ave, Seattle, WA 98104","(47.6040236, -122.3309956)",0,0,0,0,0
49,Seattle Public Library Lake City,(206) 684-7518,15300,"12501 28th Ave N.E. Seattle, WA 98125","(47.7197965, -122.2980932)",0,0,0,0,0
50,Seattle Public Library Madrona,(206) 684-4705,1707,"1134 33rd Ave Seattle, WA 98122","(47.61269145, -122.290013149955)",0,0,0,0,0
51,Seattle Public Library Magnolia,(206) 386-4225,7799,"2801 34th Ave W, Seattle, WA 98199","(47.64532095, -122.401359887125)",0,0,0,0,0
52,Seattle Public Library Main,(206) 386-4636,363000,"1000 4th Ave, Seattle, WA 98104","(47.6040236, -122.3309956)",0,0,0,0,0
53,Seattle Public Library Montlake,(206) 684-4720,5652,"2401 24th Ave E, Seattle, WA 98112","(47.6404243, -122.3023631)",0,0,0,0,0
54,Seattle Public Library New Holly,(206) 760-3296,4000,"3815 S Othello St #103, Seattle, WA 98118","(47.53683545, -122.284043789402)",0,0,0,0,0
55,Seattle Public Library Northeast,(206) 684-7539,15000,"6801 35th Ave NE, Seattle, WA 98115","(47.6778643, -122.2907142)",0,0,0,0,0
56,Seattle Public Library Northgate,(206) 386-1980,10000,"10548 5th Ave NE Seattle, WA 98125","(47.7059559, -122.32283839898)",0,0,0,0,0
57,Seattle Public Library Queen Anne,(206) 386-4227,7931,"400 W. Garfield St. Seattle, WA 98119","(47.6338273, -122.3627291)",0,0,0,0,0
58,Seattle Public Library Rainier Beach,(206) 386-1906,15000,"9125 Rainier Ave S, Seattle, WA 98118","(47.52135525, -122.270502258436)",0,0,0,0,0
59,Seattle Public Library South Park,(206) 615-1688,5019,"8604 8th Ave S Seattle, WA 98108","(47.5262606, -122.32257933262)",0,0,0,0,0
60,Seattle Public Library Southwest,(206) 684-7455,15000,"9010 35th Ave S.W. Seattle, WA 98126","(47.522442, -122.3762926)",0,0,0,0,0
61,Seattle Public Library University,(206) 684-4063,8140,"5009 Roosevelt Way NE Seattle, WA 98105","(47.665541, -122.3178615)",0,0,0,0,0
62,Seattle Public Library Wallingford,(206) 684-4088,2000,"1501 N. 45th St. Seattle, WA 98103","(47.6611645700687, -122.338884913967)",0,0,0,0,0
63,Seattle Public Library West Seattle,(206) 684-7444,9460,"2306 42nd Ave SW Seattle, WA 98116","(47.5826992, -122.384704588465)",0,0,0,0,0
64,Spring Street Center (Subud Pacific Northwest),(206) 422-5002,1700,"1101 15th Ave, Seattle, WA 98122","(47.6117204, -122.313065805667)",0,0,0,0,0
65,Artspace Hiawatha Lofts,(206) 709-7611,88843,"843 Hiawatha Pl S, Seattle, WA 98144","(47.5951899, -122.3099181)",0,0,0,0,0
66,Impact Hub Seattle,(206) 430-6007,20000,"220 2nd Ave S, Seattle, WA 98104","(47.6007271, -122.3313269)",0,0,0,0,0
67,Works Progress,(206) 466-1624,1200,"115 N 85th St #202, Seattle, WA 98103","(47.6903817, -122.3573889)",0,0,0,0,0
68,The Project Room,(206) 499-9641,750,"1315 E Pine St Seattle, WA 98122","(47.6151596, -122.3147172)",0,0,0,0,0
69,ArtFX Studio Gallery,,,"420 N. 35th St. Seattle, WA 98103","(47.6513614, -122.3534984)",0,0,0,0,0
70,ActivSpace North Seattle,(206) 529-1488,50000,"10015 Lake City Way NE, Seattle, WA 98125","(47.7018484, -122.3023713)",0,0,0,0,0
71,Alki Bathhouse Studio,(206) 684-7430,1550,"1702 Alki Ave S.W. Seattle, WA 98116","(47.588343, -122.395329)",0,0,0,0,0
72,Annex Theatre,(206) 728-0933,3750,"1100 E Pike St, Seattle, WA 98122","(47.6140917, -122.3191769)",0,0,0,0,0
73,Arts West,(206) 938-0339,12680,"4711 California Ave SW, Seattle, WA 98116","(47.5607163, -122.3871398)",0,0,0,0,0
74,Artspace Tashiro Kaplan Lofts and the Angle & Corridor Gallery,(206) 223-1160,130000,"115 Prefontaine Place S, Seattle, WA 98104","(47.6012805, -122.3297091)",0,0,0,0,0
75,Belle and Wissell/Oxbow,(206) 322-7908,11250,"6014 12th Ave S, Seattle, WA 98108","(47.5487509, -122.3170704)",0,0,0,0,0
76,Danse Perdue's Psychomachia Theater,(206) 383-4105,2000,"1534 1st Ave S, Seattle, WA 98134","(47.5719192, -122.3342902)",0,0,0,0,0
77,Design Commission Gallery,(206) 223-7709 ,3200,"310 South Washington St, Seattle, WA 98104","(47.6010176, -122.3297496)",0,0,0,0,0
78,El Centro de la Raza,(206) 329-9442,54548,"2524 16th Ave S, Seattle, WA 98144","(47.5803398, -122.311297826237)",0,0,0,0,0
79,FRED Wildlife Refuge,(206) 588-6959,5200,"127 Boylston Ave E, Seattle, WA 98102","(47.6219768, -122.3230383)",0,0,0,0,0
80,Frye Art Museum,(206) 622-9250,42000,"704 Terry Ave Seattle, WA 98104","(47.60718365, -122.324044271516)",0,0,0,0,0
81,Hard Rock Café,(206) 204-2233,14000,"116 Pike St, Seattle, WA 98101","(47.6093109, -122.3394956)",0,0,0,0,0
82,Interbay Worklofts,(206) 286-3550,2000,"3131 Western Ave #419, Seattle, WA 98121","(47.6182617, -122.3577413)",0,0,0,0,0
83,Jack Straw,(206) 634-0919,11000,"4261 Roosevelt Way NE Seattle, WA 98105","(47.6593157, -122.3179173)",0,0,0,0,0
84,Metrix Create Space,(206) 357-9406,2000,"623 Broadway E, Seattle, WA 98102","(47.624979, -122.3211541)",0,0,0,0,0
85,Mini Mart City Park,,435,"6525 Ellis Ave S, Seattle, WA 98108","(47.54413735, -122.31911307466)",0,0,0,0,0
86,Nordic Museum,(206) 789-5707,45000,"3014 NW 67th St Seattle, WA 98117","(47.6776991, -122.3963587)",0,0,0,0,0
87,Of the Earth,(206) 462-7022,4000,"7706 Aurora Ave N Seattle, WA 98103","(47.6850306, -122.344258)",0,0,0,0,0
88,Rainier Chapter House DAR,(206) 323-0600,9225,"800 East Roy St, Seattle, WA 98102","(47.62532335, -122.322040623416)",0,0,0,0,0
89,Seattle Center EMP and Sky Church,(206) 770-2700,140000,"325 5th Ave N, Seattle, WA 98109","(47.62149775, -122.348238654184)",0,0,0,0,0
90,Seattle Center Mural Ampitheater,(206) 684-7200,58000,"305 Harrison St Seattle, WA 98109","(47.62056855, -122.35049095)",0,0,0,0,0
91,Seattle Center Pacific Science Center,(206) 443-2001,177750,"200 2nd Ave N, Seattle, WA 98109","(47.61941385, -122.350808468208)",0,0,0,0,0
92,Seattle Center Pavilion,(206) 684-7200,5300,"305 Harrison St Seattle, WA 98109","(47.62056855, -122.35049095)",0,0,0,0,0
93,Art On The Ridge,,,"8005 Greenwood Ave N, Seattle, WA 98103
","(47.6871653, -122.3554887)",0,0,0,0,0
94,Seattle Center Seattle Children's Museum,(206) 441-1768,32000,"Seattle Center, 305 Harrison St, Seattle, WA 98109","(47.6212523, -122.3509484)",0,0,0,0,0
95,St. Paul's Episcopal Church,(206) 282-0786,1100,"15 Roy St, Seattle, WA 98109","(47.6252101, -122.3559613)",0,0,0,0,0
96,Storefronts Seattle/Shunpike,(206) 905-1026,26600,"2324 1st Ave # 112, Seattle, WA 98121","(47.6139909, -122.3472372)",0,0,0,0,0
97,University of Washington Samuel E. Kelly Ethnic Cultural Center,(206) 543-4635,25000,"3931 Brooklyn Ave NE, Seattle, WA 98105","(47.6549243298969, -122.314576412371)",0,0,0,0,0
98,WA State Holocaust Ed Center,(206) 774-2201,6000,"2031 3rd Ave, Seattle, WA 98121","(47.6128253, -122.3422256)",0,0,0,0,0
99,Washington Hall,(206) 316-7613,7000,153 14th Ave Seattle WA 98122,"(47.60284, -122.314587396867)",0,0,0,0,0
100,West of Lenin,(206) 352-1777,3400,"203 N 36th St, Seattle, WA 98103","(47.6524012, -122.3563132)",0,0,0,0,0
101,Youngstown Cultural Arts Center,(206) 935-2999,18035,"4408 Delridge Way SW, Seattle, WA 98106","(47.56357765, -122.36303040367)",0,0,0,0,0
102,Century Ballroom,(206) 324-7263,11300,"915 E Pine St, Seattle, WA 98122","(47.6151265, -122.3198707)",0,0,0,0,0
103,Town Hall,(206) 652-4255,37000,"1119 8th Ave, Seattle, WA 98101","(47.6090096, -122.3299408)",0,0,0,0,0
104,The Josephine and Friends of NW 65th (CLOSED),(206) 543-0065,,"608 NW 65th St Seattle, WA 98117","(47.6762165, -122.3638347)",0,0,0,0,0
105,Avast Recording Co,(206) 633-3926,7500,"601 NW 80th St, Seattle, WA 98117","(47.6867128, -122.3636508)",0,0,0,0,0
106,Columbia City Theater,(206) 722-3009,1820,"4916 Rainier Ave S, Seattle, WA 98118","(47.5573208, -122.2844836)",0,0,0,0,0
107,Crybaby Studios,(206) 660-0117,14000,"11th Ave, Seattle, WA 98122","(47.6129328, -122.3181106)",0,0,0,0,0
108,Egg Studios/Popllama Products,,750,,,0,0,0,0,0
109,El Corazon,(206) 262-0482,8000,"109 Eastlake Ave E Seattle, WA 98109","(47.618798, -122.3293302)",0,0,0,0,0
110,Flying House Productions,(206) 323-0750,4000,"319 12th Ave, Seattle, WA 98122","(47.60502955, -122.317157300784)",0,0,0,0,0
111,Georgetown Records and Fantagraphics Books,(206) 762-5638,1200,"1201 S Vale St, Seattle, WA 98108","(47.5490859, -122.3169537)",0,0,0,0,0
112,Gravelvoice,,1000,,,0,0,0,0,0
113,Haller Lake United Methodist Church,(206) 362-5383,1200,"13055 1st Ave NE Seattle, WA 98125","(47.72465145, -122.329384310191)",0,0,0,0,0
114,Hollow Earth Radio,(206) 588-5437,1000,"2018 A E. Union St, Seattle, WA 98122","(47.6129184, -122.316028)",0,0,0,0,0
115,Jazz Night School,(206) 722-6061,2000,"3916 S Morgan St, Seattle, WA 98118","(47.5440673, -122.282435599947)",0,0,0,0,0
116,KXSU Radio,(206) 296-6000,500,"901 12th Ave Seattle, WA 98122","(47.6106553, -122.3171103)",0,0,0,0,0
117,Music Center of Northwest,(206) 526-8443,7500,"901 N 96th St, Seattle, WA 98103","(47.6983998, -122.3470479)",0,0,0,0,0
118,Nectar,(206) 632-2020,9999,"412 N 36th St, Seattle, WA 98103","(47.652355, -122.3538429)",0,0,0,0,0
119,Neumos/Barboza,(206) 709-9442,12500,"925 E Pike St, Seattle, WA 98122","(47.613959, -122.319574)",0,0,0,0,0
120,Orbit Audio,(206) 381-1244,2200,"219 1st Ave S, Seattle, WA 98104","(47.6002492, -122.3346249)",0,0,0,0,0
121,Rockit Community Arts and Garden House,(206) 323-7733,200,"2336 15th Ave S. Seattle, WA 98144","(47.58176075, -122.313094422701)",0,0,0,0,0
122,Royal Room,(206) 906-9920,3200,"5000 Rainier Ave S. Seattle, WA 98118","(47.556924, -122.2843057)",0,0,0,0,0
123,Sea Monster Lounge,(206) 992-1120,1250,"2202 N 45th St, Seattle, WA 98103","(47.6614929, -122.3322973)",0,0,0,0,0
124,Benaroya Hall,(206) 215-4800,362250,"200 University St, Seattle, WA 98101","(47.60812795, -122.33697482797)",0,0,0,0,0
125,Sonic Boom,(206) 297-2666,2200,"2209 NW Market St, Seattle, WA 98107","(47.6685224, -122.3851065)",0,0,0,0,0
126,Sunset Tavern,(206) 784-4880,2000,"5433 Ballard Ave NW, Seattle, WA 98107","(47.6682756, -122.3860837)",0,0,0,0,0
127,The Chapel Performance Space at Good Shepherd Center,(206) 547-8127,3600,"4649 Sunnyside Ave N, 4th floor, Seattle, WA 98103","(47.6640977, -122.3310449)",0,0,0,0,0
128,Tim's Tavern,(206) 789-9005,1100,"602 N 105th St, Seattle, WA 98133","(47.705199, -122.3509853)",0,0,0,0,0
129,Tractor Tavern,(206) 789-3599,4000,"5213 Ballard Ave NW, Seattle, WA 98107","(47.6657095, -122.382800277111)",0,0,0,0,0
130,Triple Door Theater and Musicquarium Lounge,(206) 838-4333,18656,"216 Union St, Seattle, WA 98101","(47.6086439, -122.337685)",0,0,0,0,0
131,5th Avenue Theatre,(206) 625-1900,44154,"1308 5th Ave, Seattle, WA 98101","(47.6091749, -122.3339671)",0,0,0,0,0
132,A Contemporary Theatre (ACT),(206) 292-7660,21360,"700 Union St, Seattle, WA 98101","(47.6108495, -122.3323316)",0,0,0,0,0
133,ARC Dance,(206) 352-0798,9000,"9250 14th Ave NW Seattle, WA 98117","(47.6973909, -122.3736435)",0,0,0,0,0
134,Caravan Gallery-Parlor and Roadside Attractions,(206) 799-1180,260,,,0,0,0,0,0
135,Columbia City Gallery SEEDArts,(206) 760-9843,3518,"4864 Rainier Ave S, Seattle, WA 98118","(47.558197, -122.2850094)",0,0,0,0,0
136,Crocodile,(206) 441-4618,6400,"2200 2nd Ave, Seattle, WA 98121","(47.6135576, -122.3442489)",0,0,0,0,0
137,Duwamish Longhouse,(206) 431-1582,6044,"4705 W Marginal Way SW, Seattle, WA 98106","(47.56093545, -122.352000954028)",0,0,0,0,0
138,Empty Sea Studios,(206) 329-9442,1400,"2524 16th Ave S, Seattle, WA 98144","(47.5803398, -122.311297826237)",0,0,0,0,0
139,Erickson Theater ,(206) 427-5207,7500,"1524 Harvard Ave Seattle, WA 98122","(47.6148138, -122.3217378)",0,0,0,0,0
140,Freehold Theatre and Lab Studio,(206) 323-7499,4800,"2222 2nd Ave, Suite 200, Seattle, WA 98121","(47.6138182, -122.3448891)",0,0,0,0,0
141,Fremont Abbey Arts Center,(206) 414-8325,8500,"4272 Fremont Ave N, Seattle, WA 98103","(47.6591931, -122.3498604)",0,0,0,0,0
142,Full Tilt Ballard,(206) 297-3000,1300,"5453 Leary Ave NW Seattle, WA 98107","(47.6679185, -122.3838941)",0,0,0,0,0
143,Full Tilt Columbia City,(206) 226-2740,1100,"5041 Rainier Ave S, Seattle, WA 98118","(47.5559849, -122.2840929)",0,0,0,0,0
144,Geisa Dutra Piano Studio,(206) 295-6590,1700," 8735 Palatine Ave N Seattle, WA 98103","(47.6934167, -122.356943891716)",0,0,0,0,0
145,Ghost Light Theatricals/The Ballard Underground,(206) 395-5458,2682,"2220 NW Market Street Lower Level Seattle, WA 98107","(47.6691001, -122.38579091982)",0,0,0,0,0
146,Kenyon Hall,(206) 937-3613,1200,"7904 35th Ave SW, Seattle, WA 98126","(47.5316617, -122.376176816605)",0,0,0,0,0
147,L.A.B at Seattle Drum School of Music,(206)364-8815,8300,"12510 15th Ave NE Seattle, WA 98125","(47.7196359, -122.31255765)",0,0,0,0,0
148,Lee Center for the Arts,(206) 296-5373,10000,"901 12th Ave Seattle, WA 98122","(47.6106553, -122.3171103)",0,0,0,0,0
149,New City Theater,(206) 271-4430,1950,"1404 18th Ave, Seattle, WA 98122","(47.6131012, -122.3086934)",0,0,0,0,0
150,Northwest Puppet Center/ Carter Family Marionettes Fremont,(206) 523-2579,8000,,,0,0,0,0,0
151,On the Boards,(206) 217-9886,27500,"100 W Roy St, Seattle, WA 98119","(47.6259637, -122.3582053)",0,0,0,0,0
152,Open Flight Studio,(206) 632-0067,1000,"4205 University Way NE Seattle, WA 98105","(47.6585538, -122.3133686)",0,0,0,0,0
153,Rendezvous & Jewel Box Theater,(206) 441-5823,2800,"2322 2nd Ave, Seattle, WA 98121","(47.614714, -122.3462234)",0,0,0,0,0
154,Sand Point Arts & Cultural Exchange,(206) 245-5457,37125,"7400 Sand Point Way NE, Suite 203 S. Seattle, WA 98115","(47.68213235, -122.263298237822)",0,0,0,0,0
155,Satori Lab in Inscape,(513) 600-0815,,"815 Seattle Blvd S, Seattle, WA 98134","(47.59511695, -122.327085857065)",0,0,0,0,0
156,School of Acrobatics & New Circus Arts (SANCA),(206) 652-4433,27000,"674 S Orcas St, Seattle, WA 98108","(47.5518058, -122.3246163)",0,0,0,0,0
157,Seattle Center Key Arena ,(206) 684-7200,130000,"305 Harrison Street Seattle, WA 98109","(47.622150, -122.355423)",0,0,0,0,0
158,Seattle Center McCaw Hall,(206) 733-9725,40000,"321 Mercer St, Seattle, WA 98109","(47.6239543, -122.3507651)",0,0,0,0,0
159,Seattle Center Seattle Children's Theatre,(206) 441-3322,65000,"201 Thomas St, Seattle, WA 98109","(47.6204434, -122.3525072)",0,0,0,0,0
160,Seattle Center Seattle Repertory Theatre at Leo K,(206) 443-2222,65000,"155 Mercer St, Seattle, WA 98109","(47.62384645, -122.353596324739)",0,0,0,0,0
161,Seattle Center SIS Productions/ReAct & Pork Filled Players at Prima Vera Arts Center,(206) 323-9443,3023,"112 5th Ave N Seattle, WA 98109","(47.6190574, -122.3473634)",0,0,0,0,0
162,Seattle Center Vera Project,(206) 956-8372,128877,"305 Harrison St Seattle, WA 98109","(47.62056855, -122.35049095)",0,0,0,0,0
163,Seattle Center/Center House Theatre,(206) 684-7200,22086,"305 Harrison St Seattle, WA 98109","(47.62056855, -122.35049095)",0,0,0,0,0
164,Seattle Central Community College Broadway Performance Hall,(206) 325-3113,20000,"1625 Broadway, Seattle, WA 98122","(47.6157581, -122.321786)",0,0,0,0,0
165,Seattle Conservatory of Music,(206) 632-6715,1000,"4038 Stone Way N. Seattle, WA 98103","(47.656517, -122.342033)",0,0,0,0,0
166,Seattle Public Theater,(206) 524-1300,2400,"7312 Green Lake Trail, Seattle, WA 98103","(47.682538, -122.340830)",0,0,0,0,0
167,Showbox SODO,(206) 628-3151,22000,"1700 1st Ave South Seattle, WA 98134","(47.5878916, -122.3339403)",0,0,0,0,0
168,Skylark Café & Club,(206) 935-2111,2200,"3803 Delridge Way SW, Seattle, WA 98106","(47.5700038, -122.3625235)",0,0,0,0,0
169,Spectrum Dance Theater,(206) 325-4161,4000,"800 Lake Washington Blvd, Seattle, WA 98122","(47.6101337, -122.282570642167)",0,0,0,0,0
170,St Rigsby and His Amazing Silhouettes,,46,,,0,0,0,0,0
171,STG Moore Theatre,(206) 467-5510,30080,"1932 2nd Ave, Seattle, WA 98101","(47.6113032040816, -122.340846020408)",0,0,0,0,0
172,STG Neptune Theatre,(206) 682-1414,16854,"1303 NE 45th St, Seattle, WA 98105","(47.6609714, -122.3138972)",0,0,0,0,0
173,STG Paramount Theatre,(206) 902-5500,112297,"911 Pine St, Seattle, WA 98101","(47.6132437, -122.331356006126)",0,0,0,0,0
174,Stone Soup Theatre/DownStage Theatre,(206) 388-9212,980,"4029 Stone Way N, Seattle, WA 98103","(47.6561433, -122.3426065)",0,0,0,0,0
175,Taproot Theatre,(206) 781-9707,22000,"204 N 85th St, Seattle, WA 98103","(47.6908412, -122.356251325)",0,0,0,0,0
176,Teatro ZinZanni,(206) 802-0015,28000,"222 Mercer St, Seattle, WA 98109","(47.6249259, -122.3518443)",0,0,0,0,0
177,The Market Theater,(206) 587-2414,4000,"1428 Post Alley, Seattle, WA 98101","(47.6098589, -122.3417416)",0,0,0,0,0
178,Theater Schmeater,(206) 324-5801,3000,"1500 Summit Ave, Seattle, WA 98122","(47.614211, -122.325396)",0,0,0,0,0
179,Theatre Off Jackson,(206) 340-1049,16000,"409 7th Ave S, Seattle, WA 98104","(47.5988665, -122.3239595)",0,0,0,0,0
180,Trinity Parish Church,(206) 332-7908,2000,"609 8th Ave Seattle, WA 98104","(47.6052251, -122.3262281)",0,0,0,0,0
181,Tula's,(206) 443-4221,3000,"2214 2nd Ave, Seattle, WA 98121","(47.6136108, -122.3444191)",0,0,0,0,0
182,Unified Outreach Youth Arts,(206) 371-1139,4480,"4401 42nd Ave SW Seattle, WA 98116","(47.56452925, -122.38586924398)",0,0,0,0,0
183,University of Washington Glenn Hughes Penthouse Theatre,(206) 543-5140,3000,"17th Avenue NE and NE 45th St Seattle, WA 98145","(47.658765, -122.31789285)",0,0,0,0,0
184,University of Washington Hutchison Hall,(206) 543-5140,52000,"NE Pacific St, Seattle, WA 98195","(47.6536581, -122.3168679)",0,0,0,0,0
185,University of Washington Jones Playhouse,(206)543-4880,8000,"4045 University Way NE Seattle, WA 98105","(47.6566657, -122.3135544)",0,0,0,0,0
186,Vachon Gallery,(206) 296-2340,2000,"1000 E. Madison St Seattle, WA 98122","(47.61205715, -122.319148077671)",0,0,0,0,0
187,Velocity Dance Center,(206) 325-8773,5000,"1621 12th Ave, Seattle, WA 98122","(47.6156632, -122.3171739)",0,0,0,0,0
188,Volunteer Park Ampitheater,(206) 684-4080,400,"1247 15th Ave E, Seattle, WA 98112","(47.6320524, -122.3127683)",0,0,0,0,0
189,Washington Ensemble Theatre,(206) 325-5105,800,"608 19th Ave E, Seattle, WA 98112","(47.6247086, -122.307185)",0,0,0,0,0
190,Northwest Puppet Center/ Carter Family Marionettes Maple Leaf,(206) 523-2579,4000,9123 15th Ave NE Seattle WA 98115,"(47.69556835, -122.312468681441)",0,0,0,0,0
