number,address,description
1037334,5725 25TH AVE NE,04/26/16 EO - Vacant building violations
1037333,5634 32ND AVE SW,4/15/16 rf Observed subject property to not be in compliance.
1037332,3838 AURORA AVE N,rs 04-27-16  Vegetation overgrowth onto the ROW of sidewalk.
1037331,14032 RIVIERA PL NE,Replacing solid decking on SF pier
1037330,14357 BAGLEY AVE N,rs 04-27-16  Vegetation overgrowth onto ROW of sidewalk.
1037329,1226 S TRENTON ST,Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(1)(f) - failure to provide minimum 90 days advance notice.
1037328,748 11TH AVE E,04/25/16 EO Vacant building violations
1037327,622 RAINIER AVE S,Weeds and Vegetation Ordinance Violation
1037326,9614 RAINIER AVE S,Bradrick 4.27.16 Vacant and open to entry.
1037325,1437 S DONOVAN ST,04/21/16 EO - Vacant building violations
1037324,14356 MERIDIAN AVE N,rs 04-25-16  Vegetation overgrowth onto the ROW sidewalk.
1037323,1706 DEXTER AVE N,rs 04-26-16   Vegetation overgrowth onto ROW of sidewalk.
1037322,740 11TH AVE E,04/26/16 - Vacant building violations
1037321,2448 NE NORTHGATE WAY,ST 4/26/16 No more than 3 motor vehicles allowed on lot.
1037320,9032 17TH AVE SW,04/26/16 DW Vacate and close due no payment of utility bills.
1037319,4561 S LUCILE ST,Land Use Code Violation.  Outdoor storage.
1037318,7531 13TH AVE SW,4/15/16 rf Observed subject property to no be in compliance.
1037317,2700 RAINIER AVE S,04/26/16 DW Observed plastic garbage bags placed along the handrailings for the laborer works to place thier trash and debris.
1037316,3919 14TH AVE S,04/26/16 DW Observed outdoor junk storage  against the side of the building.
1037315,3115 WETMORE AVE S,04/26/16 DW Observed outdoor storage of trash and debris inside the fence.
1037314,9646 53RD AVE S,Land Use Code Violation.  Outdoor junk and storage.  Inoperable Vehicles.  Parking limit for SF zone exceeding 3 vehicles.
1037313,4809 42ND AVE S,Land Use Code Violation.  Inoperable vehicles.
1037312,3409 S JUNEAU ST,04/22/16 DW Observed out door storage and possible blocking easement for the entire development
1037311,5519 S FLETCHER ST,Weeds and Vegetation Ordinance Violation.
1037310,2016 SW TRENTON ST,4/15/16 rf Observed subject property to not be in compliance.
1037309,1220 BOYLSTON AVE,Housing and Bldg Maintenance Code Violation
1037308,1702 DEXTER AVE N,rs 04-25-16  Vegetation overgrowth onto the ROW of sidewalk.
1037307,1700 DEXTER AVE N,rs 04-25-16  Vegetation overgrowth onto ROW of sidewalk.
1037306,6409 BEACON AVE S,"04/25/16 DW Observed vehicles being parked in the required front yard setback, roosters on the property"
1037305,6714 CARLETON AVE S,04/21/16 DW Observed junk storage in the front and rear yard.
1037304,1500 SW MYRTLE ST,4/15/16 rf Observed subject property to not be in compliance.
1037303,11700 SAND POINT WAY NE,ST 4/25/16 Any inoperable vehicles must be removed or made operable.
1037303,11700 SAND POINT WAY NE,ST 4/25/16 Any inoperable vehicles must be removed or made operable.
1037302,9006 3RD AVE S,"04/21/16 DW Observed outdoor junk storage vehicles exceeding the total number allowed, and working on vehicles."
1037301,9034 3RD AVE S,04/22/16 DW Observed outdoor junk storage on the front porch and number of vehicles exceeding 3 for SF Zone
1037300,4550 S HENDERSON ST,Housing and Building Maintenance Code Standards Violation.
1037299,822 S CLOVERDALE ST,04/25/16 DW Observed inoperable vehicles parked on the east side of the apartment complex along with outdoor storage.
1037298,827 S CLOVERDALE ST,Duplicate - See Case #1035620
1037297,3945 S ELMGROVE ST,Land Use Code Violation. Outdoor junk and storage.
1037296,714 24TH AVE S,"Bradrick 4.22.16 Moderate outdoor storage, much of it from the ongoing remodel."
1037296,714 24TH AVE S,"Bradrick 4.22.16 Moderate outdoor storage, much of it from the ongoing remodel."
1037295,1627 SW WEBSTER ST,4/15/16 rf Observed subject property to not be in compliance.
1037294,2214 E SPRUCE ST,"Bradrick 3.17.16 Vacant, Closed, Violation--minor outdoor junk and trash."
1037293,6325 24TH AVE SW,4/14/16 rf Observed subject property to not be in compliance.
1037292,2620 NW 56TH ST,Repairing decks on a multi-family building requires a permit and inspections from SDCI.
1037291,2616 NW 56TH ST,Repairing decks on a multi-family building requires a permit and inspections from SDCI.
1037290,1213 E SHELBY ST,Replacement of all lower level decking with untreated cedar at floating home in slip #13 without shoreline exemption
1037289,4306 SW JUNEAU ST,4/20/16 ej- Observed outdoor junk on the balcony of apartment units.
1037288,5617 32ND AVE SW,4/20/16 ej- Observed outdoor storage on property.
1037288,5617 32ND AVE SW,4/20/16 ej- Observed outdoor storage on property.
1037287,1922 AIRPORT WAY S,Land Use Code Violation - outdoor junk storage
1037286,5719 S BANGOR ST,Land Use Code Violation.  Outdoor storage.
1037285,2027 S WASHINGTON ST,Bradrick 4.22.16 Massive outdoor junk storage.
1037284,5446 32ND AVE SW,4/20/16 ej- Observed outdoor junk storage on the property.
1037283,8400 14TH AVE SW,4/14/16 rf Observed subject property to not be in compliance.
1037282,5947 32ND AVE SW,4/20/16 ej- Observed outdoor junk storage on the property.
1037281,9032 17TH AVE SW,04/21/16 DW E.O. for no power.
1037280,7118 28TH AVE SW,4/20/16 ej- Observed massive amount of outdoor junk storage on the property.
1037279,9033 17TH AVE SW,4/20/16 ej- Observed outdoor junk storage and parking in the required front yard.
1037278,1220 S HOLGATE ST,02/10/16 DW I left a voice message requesting to schedule an inspection.
1037277,3615 NE 115TH ST,ST 4/21/16 Inoperable vehicles must be removed or made operable.
1037276,8157 11TH AVE SW,4/20/16 ej- Observed vegetation encroaching onto the sidewalk along SW Thistle St
1037275,1014 SW PORTLAND ST,"4/20/16 ej-Observed outdoor junk storage such as but not limited to, tire and wood pallets on the property."
1037274,736 BELMONT PL E,Application for a Tenant Relocation License.  Total units 4; total units occupied: 1.  Demolition.
1037273,6820 51ST AVE S,Land Use Code Violation.  Garage rental as principal use.
1037272,1611 SW WEBSTER ST,4/20/16 ej- Observed outdoor junk storage on the property.
1037271,7719 15TH AVE SW,"4/20/16 ej- Observed outdoor junk storage such as but not limited to cut tree limbs, toilet, metal cabinet and other miscellaneous items on the property."
1037270,4835 DELRIDGE WAY SW,Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(1) - Sub-tenant illegally locked out by either owner or main tenant.
1037269,838 28TH AVE S,Bradrick 4.20.16 Heavy vegetation over the sidewalk.
1037268,8907 20TH AVE NE,ST 4/20/16 Person living in motorhome on private property.
1037267,2645 NW 90TH ST,Erosion control measures are not in place per the permit 6416421. Install silt fencing & straw wattles. Site is also under the supervision of Geotech Engineer. Inspector will monitor.
1037266,10010 DENSMORE AVE N,Grade changes along N and E property lines to be address prior to final under permit 6408217.
1037265,6115 S PILGRIM ST,Land Use Code Violation.
1037264,9013 6TH AVE NW,Excavating in ECA steep slope without permits and inspections.
1037264,9013 6TH AVE NW,Excavating in ECA steep slope without permits and inspections.
1037263,714 N 95TH ST,4/19/16 DG I received two emails this morning regarding construction starting before 7am. One complainant sent video showing an excavator moving dirt at 6:48am. Both complainants had the same details regarding starting time today. I will issue a citation
1037262,3025 NE 130TH ST,"ST 4/6/16 Junk storage including but not limited to bags of trash, loose wood, used materials and pallets must be removed."
1037261,9818 ROOSEVELT WAY NE,Demolished portion of SFR and partially reconstructed addition and alteration without permits and inspections.
1037261,9818 ROOSEVELT WAY NE,Demolished portion of SFR and partially reconstructed addition and alteration without permits and inspections.
1037260,6301 RAINIER AVE S,Land Use Code Violation.  Use not permitted.
1037259,1917 EASTLAKE AVE E,HBMC violation.
1037258,4722 2ND AVE NE,Constructing new retaining wall over 4 ft in height without permits and inspections.
1037257,3200 E UNION ST,04/20/2016 ED- Violation of HBMC.
1037256,1800 E OLIVE WAY,"Interior alterations begun without permit and inspections, including construction and electrical."
1037255,1005 NE 72ND ST,Tree removed and other trees topped in steep slope ECA area. Revegetation plan required.
1037254,707 WESTLAKE AVE N,Signs for Art Marble 21 installed without a permit.
1037253,2324 W NEWTON ST,"Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(1)(a), notice to terminate does not corrospond with the end of a regular rental period.  Less than 90 days notice given without permission of SDCI."
1037252,7740 16TH AVE SW,4/14/16 rf Observed subject property to not be in compliance.
1037251,1514 N 40TH ST,"Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(1)(a), failure to state a just cause reason."
1037250,2236 YALE AVE E,Condo Conversion-4 Units
1037249,1501 S DONOVAN ST,"04/18/16 DW Observed tires, inoperable vehicle, trash, vegetation and debris dumped on the vacant lot"
1037197,9208 12TH AVE SW,4/5/16 rf Observed subject property to be in compliance.
1037248,1040 S DONOVAN ST,04/18/16 DW Observed a recreational boat parked in the rear of the property adjacent to the alley way which is creating a nuisance. The boat is placed on a trailer. There is a foul odor coming from the boat.
1037247,9028 14TH AVE SW,"Gutting a 3 bedroom, 2 bathroom SFR with a finished basement requires a permit and inspections from SDCI."
1037246,2601 12TH AVE W,Cedar trees removed in protected zone; revised plans are required. (zoning review required for trees and PL review)
1037245,2001 13TH AVE S,"Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(1)(a), failure to state a just cause reason for the termination."
1037244,5930 34TH AVE SW,4/18/16 rf Observed sugject property to not be in compliance.
1037243,6420 FLORA AVE S,04/19/16 DW The vegetation is overhanging into the street/sidewalk r-o-w
1037242,4526 55TH AVE NE,ST 4/19/16 Recreational accessory structure being used as dwelling unit.
1037241,6553 DIBBLE AVE NW,04/19/2016 ED- Cars parked in required side yard.
1037241,6553 DIBBLE AVE NW,04/19/2016 ED- Cars parked in required side yard.
1037240,7124 31ST AVE SW,4/7/16 rf Observed subject property to not be in compliance.
1037239,816 NW 52ND ST,04/19/2016 ED- Veg encroaching on prow.
1037239,816 NW 52ND ST,04/19/2016 ED- Veg encroaching on prow.
1037238,3528 NE 130TH ST,rs 04-18-16  Junk storage and inoperable vehicle in driveway.
1037237,5024 35TH AVE NE,ST 4/18/16 HBMC violations.
1037237,5024 35TH AVE NE,ST 4/18/16 HBMC violations.
1037236,2145 N 133RD ST,04/18/2016 ED- JUNK STORAGE FOUND ON PROPERTY.
1037235,346 NW 89TH ST,04/18/2016 Ed- Junk Storage found on property.
1037234,2336 44TH AVE SW,Application for a Tenant Relocation License: Total units: 1; Total units occupied: 1.  Demolition.
1037233,612 N 45TH ST,Application for a Tenant Relocation License: Total units: 2; Total units occupied: 2.  Demolition.
1037232,207 17TH AVE,Land Use Code Violation - fence over 4ft height in front setback
1037231,1740 1ST AVE S,Off premises directional sign for Filson installed without a permit.
1037230,1506 NW 61ST ST,"Excavation in proximity of the NW PL exposed some roots of tree marked for protection per plans, permit 6407331. Arborist report & recommendations required to care for tree."
1037229,10535 INTERLAKE AVE N,ST 1//11/16 Storage container in yard needs to be removed or pernitted.
1037228,4019 16TH AVE SW,Land Use Violation - Marijuana grow in residential structure without LCB license
1037227,2020 S JACKSON ST,4/14/16 DG complainant sent me a video regarding the project on S Jackson St. This may be the source of noise she blamed on the project at 214 20th Ave S.
1037226,4808 S FRONTENAC ST,Land Use Code Violation.  Outdoor Junk and Storage.
1037225,621 18TH AVE S,Application for a Tenant Relocation License.  Total units: 2; total units occupied: 1.  Demolition.
1037224,9029 16TH AVE SW,04/14/16 EO
1037223,5134 48TH AVE S,Land Use Code Violation.  Outdoor junk and storage.
1037223,5134 48TH AVE S,Land Use Code Violation.  Outdoor junk and storage.
1037222,5402 S CLOVERDALE ST,Land Use Code Violation.  Outdoor junk and storage.
1037221,114 ALASKAN WAY S,Land Use Code Violation - changes to exterior without permit in special review district
1037220,2843 NW 91ST ST,07/10/13 dw land use violations exist
1037219,14327 FREMONT AVE N,01/14/15 Vacant building violations
1037218,6224 CARLETON AVE S,Land Use Code Violation.  Outdoor junk and storage.  Inoperable vehicles.  More than 3 vehicles parked on SF lot.
1037217,1311 N 79TH ST,"rs 04-13-16  This citation replaces 1036384, waived because of administrative error by inspector.   Junk storage of various items incuding but not limited to plastic bins, plastic tarps, and building materials being stored in drive way."
1037216,4002 NE 135TH ST,09/18/15 Vacant building violations
1037215,13029A 3RD AVE NE,"ST 4/13/16 Junk storage including but not limited to salvaged wood, old car door and other used car parts, loose wood, cement blocks, metal pieces and other salvaged and use materials must be removed."
1037214,4405 CORLISS AVE N,Permit 6529723 issued 4/15/16 for interior alterations begun w/o permits & inspections.
1037213,12340 33RD AVE NE,"rs 04-13-16   HBMC violations.  Sliding door in living room letting water/moisture in, creating wet floor and damage to carpet and subflooring."
1037212,8511 19TH AVE NW,04/13/2016 ED- Junk storage found on property.
1037212,8511 19TH AVE NW,04/13/2016 ED- Junk storage found on property.
1037211,2201 NW 64TH ST,04/13/2016 ED- Accumulation of junk found on property.
1037211,2201 NW 64TH ST,04/13/2016 ED- Accumulation of junk found on property.
1037210,6115 S PILGRIM ST,HBMC Violation.
1037209,3008 NE 95TH ST,ST 4/13/16 Vegetation encroaches sidewalk and street. Sidewalk to be clear from edge to edge up to 8 ft. above sidewalk and street to be clear up to 14 ft. above street.
1037208,3925 M L KING JR WAY S,"Remodeling a commercial building including, but not limited to, changing window sizes and installing new beams requires a permit & inspections from SDCI."
1037207,6743 15TH AVE NW,04/07/2016 ED- Violations of HBMC.
1037206,6215 20TH AVE NW,monitoring
1037205,1022 NE 127TH ST,ST 4/12/16 Trailer home located in required front yard.
1037205,1022 NE 127TH ST,ST 4/12/16 Trailer home located in required front yard.
1037204,6118 BEACON AVE S,Violation of the Seattle Just Cause Ordinance - SMC 22.206.160(C)(1)(A) - Failure to state a just cause reason for the termination.
1037203,10423 62ND AVE S,Weeds and Vegetation Ordinance Violation.
1037203,10423 62ND AVE S,Weeds and Vegetation Ordinance Violation.
1037202,4710 UNIVERSITY WAY NE,Unapproved sign (sign removed 04/14/2016) and mechanical equipment installed on historic exterior of Wilsonian Bld contrary to SMC 25.12.670.
1037201,1513 SW HOLDEN ST,4/5/16 rf Observed subject property to not be in compliance.
1037200,1513 SW HOLDEN ST,4/5/16 rf Observed subject property to not be in compliance.
1037199,7748 16TH AVE SW,"4/5/16 rf Observed outdoor junk stoarage of various items including but not limited to building materials, wood, and parking of boat/water craft in required side yard."
1037198,6759 16TH AVE SW,4/5/16 rf Observed subject property to not be in compliance.
1037196,1251 S CLOVERDALE ST,HOUSING CODE VIOLATIONS
1037195,723 23RD AVE,Bradrick 4.8.16 Outdoor junk storage in the back yard.
1037194,9238 13TH AVE SW,Bradrick 3.25.16 Vacant and Open.
1037193,903 UNION ST,Application for a Tenant Relocation License.  Total units:  106; total units occupied:  106.  Substantial rehabilitation.
1037192,7951 7TH AVE SW,"Remodeling 4 bedroom 2.75 bathroom SFR w/o permits & inspections including, but not limited to, raising the 2nd story back deck and adding a roof to the deck. Shed in req'd south yard built w/o permit not allowed (see Permit 6177852). Permit 6177852 never rec'd final approval."
1037191,8631 17TH AVE SW,Bradrick 4.8.16 Outdoor junk and storage behind the house.
1037191,8631 17TH AVE SW,Bradrick 4.8.16 Outdoor junk and storage behind the house.
1037190,1432 30TH AVE,12 - 14 ft unshored cuts along North & South property lines. Provide immediate stabilization & install erosion control measures. Work to be monitored by Geotech Engineer. Work is not per approved plans under permit 6456646.
1037189,2211 24TH AVE E,Work is actually taking place at 2064 23rd AVE E under SS Repair permit 6511692.
1037188,1848 WESTLAKE AVE N,Business sign copy changed to Lether & Associates without a permit.
1037187,8029 ASHWORTH AVE N,Tree protection is per the approved plans under permit 6493106 as of 4/12/16.
1037186,4154 41ST AVE S,03/11/16 DW I left a voice message @ 9:11am requesting to schedule an inspection.
1037185,9462 OLSON PL SW,Bradrick 4.7.16 Outdoor junk and storage including vehicles.
1037184,1414 NE 56TH ST,ST 4/7/16 HBMC violations.
1037184,1414 NE 56TH ST,ST 4/7/16 HBMC violations.
1037183,1441 NW 59TH ST,04/07/2016 ED- Trees hanging lower than 8 ft over sidewalk.
1037183,1441 NW 59TH ST,04/07/2016 ED- Trees hanging lower than 8 ft over sidewalk.
1037182,903 UNION ST,Application for a Tenant Relocation License.  Total units:  35; total units occupied:  35.  Removal of use restrictions.
1037181,305 ERIE AVE,Weeds and Vegetation Ordinance Violation
1037180,1801 E YESLER WAY,Housing and Bldg Maintenance Code Violation
1037179,9738 14TH AVE NW,04/06/2016 ED- Junk storage found on property.
1037178,11907 LAKESIDE PL NE,New retaining walls built in ECA steep slope area without permits and inspections.
1037177,8700 2ND AVE NW,04/06/2016 ED- Junk found on property.
1037176,1701 37TH AVE,Erosion control measures are not in place as per permit 6300390. Inspector to monitor.
1037175,12739 LAKE CITY WAY NE,"ST 4/6/16 Junk storage including but not limited to bags of trash, loose wood, used materials and pallets must be removed."
1037174,9820 TRITON DR NW,Addition/alterations on rooftop of single family residence without permits and inspections.
1037173,5908 FAUNTLEROY WAY SW,3/29/16 rf Observed subject property to not be in compliance.
1037172,6002 3RD AVE NW,Pipe has been reduced to contain discharge on private property. Drainage is no longer discharging directly onto public ROW.
1037172,6002 3RD AVE NW,Pipe has been reduced to contain discharge on private property. Drainage is no longer discharging directly onto public ROW.
1037171,10015 42ND AVE SW,Constructing a roof addition to a garage extending towards or possibly into the public alley requires a permit & inspections. STOP WORK ORDER posted 4/5/16.
1037170,1819 WESTLAKE AVE N,Numerous attempts to work with sign owner (Lether & Assoc law firm); incomplete application submitted 01/29/2016 remains incomplete.
1037169,1848 WESTLAKE AVE N,Business sign changed (for new tenant) without a permit.
1037168,8004 39TH AVE SW,4/5/16 rf Observed subject property not in compliance.
1037168,8004 39TH AVE SW,4/5/16 rf Observed subject property not in compliance.
1037166,1110 14TH AVE,Land Use Code Violation.  Illegal Unit.
1037165,1110 14TH AVE,HBMC Violation & Zoning Violation - Illegal Dwelling Unit.
1037164,3232 FUHRMAN AVE E,New drainage is discharging onto Portage Bay Pl E without permit and inspections. Discharging drainage to the right of way is not allowed.
1037163,4740 DELRIDGE WAY SW,3/31/16 rf Observed parking in the required yard/setback of subject property.
1037162,1110 14TH AVE,Land Use Code Violation. Illegal Unit.
1037161,7713 RAINIER AVE S,Land Use Code Violation.  Outdoor junk and storage.  Inoperable vehicle.
1037160,10340 AURORA AVE N,Construction without permit
1037159,5917 34TH AVE SW,3/29/16 rf Observed subject property to not be in compliance.
1037158,6379 DELRIDGE WAY SW,3/29/16 rf Observed subject property to not be in compliance.
1037157,1110 14TH AVE,Violation of the Housing & Building Maintenance Code Standards.
1037156,6316 22ND AVE SW,3/29/16 rf Observed subject property to not be in compliance.
1037155,7509 12TH AVE SW,3/29/16 rf Observed subject property to not be in compliance.
1037154,308 22ND AVE S,Housing and Bldg Maintenance Code Violation
1037153,1257 S CLOVERDALE ST,HOUSING VIOLATIONS
1037152,214 E BOSTON ST,04/01/16 - Vacant building violations
1037151,1406 37TH AVE,04/01/16 Vacant building violations
1037150,7510 15TH AVE NW,Violation of the Tenant Relocation Assistance Ordinance. Reduction of Services.
1037149,4118 20TH AVE SW,HOUSING VIOLATIONS
1037148,4348 S HENDERSON ST,Land Use Code Violation.  Outdoor Storage.
1037147,538 LAKESIDE AVE S,Signs installed shoreside of Avana Apts in violation of SMC 23.60A.212.
1037146,1501 26TH AVE S,Land Use Code Violation.  Outdoor junk storage.  Inoperable Vehicle.
1037145,7262 RAINIER AVE S,Land Use Code Violation.
1037145,7262 RAINIER AVE S,Land Use Code Violation.
1037144,210 NW 101ST ST,Grading Code Violation; approximately 300 cubic yards of soil stock piled onsite without grading permit.
1037143,1509 STURGUS AVE S,Application for a Tenant Relocation License.  Total units: 1; Total units occupied: 1.  Demolition
1037143,1509 STURGUS AVE S,Application for a Tenant Relocation License.  Total units: 1; Total units occupied: 1.  Demolition
1037142,13306 20TH AVE NE,rs 03-31-16  Shed over 12 feet tall.  Owner to reduce to required height limitations per code.  Property rear yard is 25 feet by 74 feet = 1850 sq ft; 40% coverage allows for 740 sq feet.
1037141,8448 54TH AVE S,Land Use Code Violation. Outdoor junk and storage.
1037141,8448 54TH AVE S,Land Use Code Violation. Outdoor junk and storage.
1037140,9023 38TH AVE S,Land Use Code Violation.  Outdoor junk and storage.
1037139,10701 LINDEN AVE N,"rs 03-31-16 Junk storage  in front yard.  Junk storage located on N 107th St side of the house is on the ROW and not in the side yard, reported to SPU Alex Tonel."
1037138,9627 53RD AVE S,Land Use Code Violation.  Inoperable Vehicle parked in required yard.
1037137,2711 S LANE ST,Bradrick 3.31.16 The total failure and collapse of the carport.
1037136,12209 7TH AVE NW,Install erosion control measures as previously directed by Site Inspector. TESC not per approved plans under permit 6407204
1037135,6810 40TH AVE NE,Erosion control measures are not in place as required under permit 6497712. Site Inspector will monitor. Permit 6497712 - replacing existing driveway.
1037134,1500 16TH AVE,"Performing soft demo & interior alterations in Units 1 & 9 without permits & inspections. Work includes kitchen, bath, laundry closet alterations & structural deck repair."
1037133,5209 RUSSELL AVE NW,03/31/2016 ED- HBMC Violations on property.
1037132,1010 S DEARBORN ST,2/25/16 ej- Observed outdoor junk storage on the property no limited to abandon encampment.
1037131,7942 16TH AVE SW,"Bradrick 3.30.16 Vacant, Open to entry and minor outdoor junk storage."
1037130,8755 PHINNEY AVE N,03/30/16 Vacant building violations
1037129,8759 PHINNEY AVE N,03/30/16 Vacant building violations
1037128,8148 16TH AVE SW,Roofed structure constructed/reconstructed in the required south side yard without a permit has been removed as of 4/11/16.
1037128,8148 16TH AVE SW,Roofed structure constructed/reconstructed in the required south side yard without a permit has been removed as of 4/11/16.
1037127,1288 NW BLAKELY CT,"Work is not per approved plans under permit 6394378. Submit revised plans for foundation for Cistern (located in side yard in ECA area) and all related piping connections & discharge. (Route to Drainage, ECA, zoning & ord/structural)"
1037126,3638 50TH AVE NE,Trees removed along Northern property line in ECA steep slope & potential slide. Permit coaching under proj # 6412321 called for Small project waiver.
1037106,10419 ROOSEVELT WAY NE,rs 03-28-16  Various HMBC violations.
1037125,7515 AURORA AVE N,Replacing windows & siding does not require permit. No alterations that require permit from SDCI were visible from sidewalk or through windows. Sidewalk had been closed to perform window replacement. Contact SDOT regarding sidewalk closure.
1037124,5314 8TH AVE NE,Constructing a shed in the back yard larger than 120 sq ft without permits and inspections.
1037123,7555 25TH AVE NE,03/30/16 New Owner - vacant building violations
1037122,11813 BEACON AVE S,Bradrick 3.30.16 Multiple cars on the property.
1037121,9043 18TH AVE SW,Bradrick 3.30.16 Squatter junk on the property.
1037120,9036 4TH AVE SW,3/29/16 rf Observed subject propety to not be in compliance.
1037119,5016 21ST AVE NE,Spoil piles at back of sidewalk without erosion control measures in place. Inspector to monitor. Inspections pending for SS Permit
1037118,4029 7TH AVE NE,ST /3/29/16 Violation of permit conditions.
1037117,172 17TH AVE,02/26/16 Vacant building violations
1037116,818 17TH AVE,Foundation repair (raising a house on cribbing several feet to replace foundation) exceeds the scope of STFI Permit 6518563. A plan review permit is required. STOP WORK ORDER posted 3/29/16.
1037115,8700 2ND AVE NW,Constructing addition to existing garage without permits and inspections.
1037114,5744 37TH AVE NE,ST 3/29/16 Inspected upper floor and there is a kitchen upstairs and owner said there was a kitchen in basement with an oven too.  Also HBMC violations in utility room.
1037113,5744 37TH AVE NE,ST 3/29/16 Inspected upper floor and there is a kitchen upstairs and owner said there was a kitchen in basement with an oven too.
1037112,7201 EAST MARGINAL WAY S,3/29/16 No progress made on permit.  Operating a salvage yard without permit
1037111,900 17TH AVE,02/19/16 referred to VB Inspector
1037110,1151 N 94TH ST,03/29/2016 ED- HBMC violations.
1037109,8512 DIBBLE AVE NW,01/11/2016 ED- Will send letter to inspect. 03/29/2016 ED- Illegal unit downstairs.
1037108,,
1037107,5471 S OTHELLO ST,"Abandoned vessel at 5471 S Othello St, tied to dock at neighboring property 7326 Bowlyn Pl S.  Vessel owner is not property owner.  Vessel has sunk.Associated police report 2016-6226"
1037105,4063 RAINIER AVE S,3/24/16 sh.  Weeds and Vegetation Ordinance Violation and Land Use Code Violation.
1037104,8639 31ST AVE SW,"3/14/16 rf Observed outdoor junk storage of various items including but not limited to building materials, pallets, and plastic containers."
1037103,2350 N 115TH ST,Retaining walls over 4 ft in height constructed in front yard; deck in backyard constructed up to PL (in required setback) without permits and inspections.
1037102,6049 SEAVIEW AVE NW,"Caller says additional tables have been added at the lower level of Rays, an unallowed expansion of use in the shoreline zone."
1037101,8724 SAND POINT WAY NE,Application for a Tenant Relocation License.  Total units: 1; Total units occupied: 1.  Demolition.
1037100,8732 SAND POINT WAY NE,Application for a Tenant Relocation License.  Total units: 2; Total units occupied: 2.  Demolition.
1037099,1507 NE RAVENNA BLVD,ST 3/25/16 Vegetation encroaches street. Street to be clear up to 14 ft. above street.
1037098,11045 35TH AVE NE,rs 03-25-16  Illegal dwelling unit (basement) in single family structure w/i single family zone.
1037097,106 CHERRY ST,Remodeling a commercial space into an art gallery (Center on Contempory Art) requires a permit and inspections from SDCI.
1037096,5046 35TH AVE NE,ST 3/25/16 Vegetation encroaches sidewalk and street. Sidewalk to be clear concrete edge to concrete edge up to 8 ft. above sidewalk and street to be clear up to 14 ft. above street.
