id,Action Type,Work Type,Value,Location_id
89,DEMOLITION,No plan review,$0.00,
90,ADD/ALT,Plan Review,$100000.00,
91,ADD/ALT,No plan review,$6000.00,
92,ADD/ALT,No plan review,$10000.00,
93,DEMOLITION,No plan review,$0.00,
94,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
95,ADD/ALT,Plan Review,$75000.00,
96,ADD/ALT,Plan Review,$30000.00,
97,ADD/ALT,No plan review,$15000.00,
98,ADD/ALT,No plan review,$60000.00,
99,NEW,Plan Review,$198429.00,
100,NEW,Plan Review,$198429.00,
101,ADD/ALT,No plan review,$5000.00,
102,ADD/ALT,No plan review,$12000.00,
103,ADD/ALT,Plan Review,$200000.00,
104,ADD/ALT,Plan Review,$400000.00,
105,ADD/ALT,Plan Review,$70000.00,
106,NEW,Plan Review,$204547.00,
107,NEW,Plan Review,$238449.00,
108,NEW,Plan Review,$238449.00,
109,NEW,Plan Review,$212116.00,
110,NEW,Plan Review,$212116.00,
111,NEW,Plan Review,$218673.00,
112,NEW,Plan Review,$218673.00,
113,NEW,Plan Review,$217904.00,
114,NEW,Plan Review,$217904.00,
115,NEW,Plan Review,$216804.00,
116,NEW,Plan Review,$216804.00,
117,ADD/ALT,Plan Review,$845966.00,
118,NEW,Plan Review,$163913.00,
119,DEMOLITION,No plan review,$0.00,
120,NEW,Plan Review,$180978.00,
121,NEW,Plan Review,$180978.00,
122,ADD/ALT,No plan review,$2000.00,
123,DEMOLITION,No plan review,$0.00,
124,DEMOLITION,No plan review,$0.00,
125,NEW,Plan Review,$360383.00,
126,ADD/ALT,Plan Review,$120000.00,
127,ADD/ALT,Plan Review,$45000.00,
128,DEMOLITION,No plan review,$0.00,
129,NEW,Plan Review,$529058.00,
130,NEW,Plan Review,$480858.00,
131,ADD/ALT,Plan Review,$100000.00,
132,ALTER,Plan Review,$97052.00,
133,ADD/ALT,No plan review,$67611.00,
134,ADD/ALT,No plan review,$15000.00,
135,ADD/ALT,No plan review,$50000.00,
136,ADD/ALT,No plan review,$50000.00,
137,ADD/ALT,Plan Review,$20000.00,
138,ADD/ALT,Plan Review,$3150.00,
139,ADD/ALT,Plan Review,$110000.00,
140,ADD/ALT,Plan Review,$30882.00,
141,ADD/ALT,No plan review,$6000.00,
142,ADD/ALT,No plan review,$100000.00,
143,ADD/ALT,No plan review,$120000.00,
144,ADD/ALT,No plan review,$36000.00,
145,ADD/ALT,No plan review,$20000.00,
146,ADD/ALT,No plan review,$55000.00,
147,ADD/ALT,No plan review,$55000.00,
148,ADD/ALT,No plan review,$150000.00,
149,ADD/ALT,No plan review,$42600.00,
150,NO CONSTRUCTION,Plan Review,$250000.00,
151,NEW,Plan Review,$489586.00,
152,ADD/ALT,No plan review,$50000.00,
153,ADD/ALT,No plan review,$50000.00,
154,ALTER,Plan Review,$150000.00,
155,ADD/ALT,Plan Review,$50000.00,
156,ADD/ALT,Plan Review,$128930.00,
157,ADD/ALT,Plan Review,$134053.00,
158,DEMOLITION,No plan review,$0.00,
159,DEMOLITION,No plan review,$0.00,
160,ALTER,Plan Review,$780000.00,
161,ADD/ALT,No plan review,$1200.00,
162,NEW,Plan Review,$488295.00,
163,ADD/ALT,Plan Review,$20000.00,
164,ADD/ALT,No plan review,$45000.00,
165,ADD/ALT,Plan Review,$45500.00,
166,DEMOLITION,No plan review,$0.00,
167,ADD/ALT,No plan review,$5000.00,
168,ADD/ALT,No plan review,$5000.00,
169,GRADING,Plan Review,$0.00,
170,ADD/ALT,No plan review,$10000.00,
171,ADD/ALT,No plan review,$20000.00,
172,NO CONSTRUCTION,Plan Review,$0.00,
173,ADD/ALT,No plan review,$25000.00,
174,ADD/ALT,No plan review,$8000.00,
175,ADD/ALT,No plan review,$50000.00,
176,DEMOLITION,No plan review,$0.00,
177,NEW,Plan Review,$365998.00,
178,ADD/ALT,Plan Review,$335953.00,
179,ADD/ALT,Plan Review,$75000.00,
180,ADD/ALT,Plan Review,$3000.00,
181,ADD/ALT,Plan Review,$5000.00,
182,ADD/ALT,Plan Review,$105891.00,
183,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
184,ADD/ALT,No plan review,$10000.00,
185,ADD/ALT,No plan review,$82300.00,
186,ADD/ALT,No plan review,$800000.00,
187,ADD/ALT,No plan review,$250000.00,
188,ADD/ALT,No plan review,$160000.00,
189,ADD/ALT,No plan review,$3500.00,
190,ADD/ALT,Plan Review,$74246.00,
191,ADD/ALT,No plan review,$10000.00,
192,ADD/ALT,Plan Review,$318250.00,
193,DEMOLITION,No plan review,$0.00,
194,DEMOLITION,No plan review,$0.00,
195,DEMOLITION,No plan review,$0.00,
196,NEW,Plan Review,$316365.00,
197,NEW,Plan Review,$500000.00,
198,NEW,Plan Review,$524397.00,
199,ALTER,Plan Review,$3800000.00,
200,ADD/ALT,Plan Review,$100000.00,
201,ADD/ALT,Plan Review,$1.00,
202,ADD/ALT,Plan Review,$20000.00,
203,ADD/ALT,No plan review,$150000.00,
204,ADD/ALT,No plan review,$10000.00,
205,ADD/ALT,No plan review,$20000.00,
206,ADD/ALT,Plan Review,$97372.00,
207,ADD/ALT,No plan review,$100000.00,
208,NEW,Plan Review,$959932.00,
209,ADD/ALT,No plan review,$4000.00,
210,ADD/ALT,No plan review,$110000.00,
211,ADD/ALT,No plan review,$100000.00,
212,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
213,ADD/ALT,No plan review,$2260.00,
214,ADD/ALT,Plan Review,$55869.00,
215,NEW,Plan Review,$450000.00,
216,ADD/ALT,Plan Review,$5000.00,
217,,Plan Review,$0.00,
218,ADD/ALT,No plan review,$150000.00,
219,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
220,NEW,Plan Review,$3880443.00,
221,ADD/ALT,No plan review,$20000.00,
222,NEW,Plan Review,$1450000.00,
223,NEW,Plan Review,$391269.00,
224,NEW,Plan Review,$545380.00,
225,NEW,Plan Review,$545380.00,
226,DEMOLITION,No plan review,$0.00,
227,ADD/ALT,No plan review,$2000.00,
228,NEW,Plan Review,$492613.00,
229,ADD/ALT,Plan Review,$75000.00,
230,NEW,Plan Review,$655704.00,
231,ADD/ALT,Plan Review,$25000.00,
232,ALTER,Plan Review,$2749950.00,
233,GRADING,Plan Review,$0.00,
234,,Plan Review,$0.00,
235,GRADING,Plan Review,$0.00,
236,ADD/ALT,No plan review,$22000.00,
237,ADD/ALT,No plan review,$22000.00,
238,ADD/ALT,No plan review,$22000.00,
239,ADD/ALT,Plan Review,$930000.00,
240,ADD/ALT,Plan Review,$4718.00,
241,ADD/ALT,No plan review,$5000.00,
242,ADD/ALT,No plan review,$25000.00,
243,ADD/ALT,No plan review,$4000.00,
244,DEMOLITION,No plan review,$0.00,
245,NEW,Plan Review,$420821.00,
246,ADD/ALT,Plan Review,$112228.00,
247,ADD/ALT,Plan Review,$44514.00,
248,NEW,Plan Review,$527142.00,
249,DEMOLITION,No plan review,$0.00,
250,ADD/ALT,Plan Review,$213102.00,
251,,Plan Review,$0.00,
252,NEW,Plan Review,$280254.00,
253,NEW,Plan Review,$280254.00,
254,ADD/ALT,Plan Review,$60700.00,
255,ADD/ALT,Plan Review,$325000.00,
256,ADD/ALT,Plan Review,$325000.00,
257,ADD/ALT,No plan review,$1000.00,
258,ALTER,Plan Review,$96252.00,
259,ALTER,Plan Review,$200000.00,
260,ADD/ALT,No plan review,$38310.00,
261,ADD/ALT,No plan review,$38310.00,
262,ADD/ALT,No plan review,$9000.00,
263,ADD/ALT,No plan review,$50000.00,
264,ALTER,Plan Review,$764880.00,
265,NEW,Plan Review,$205144.00,
266,NEW,Plan Review,$441969.00,
267,NEW,Plan Review,$205144.00,
268,NEW,Plan Review,$205144.00,
269,ADD/ALT,No plan review,$32000.00,
270,ADD/ALT,No plan review,$250000.00,
271,ADD/ALT,Plan Review,$10000.00,
272,NEW,Plan Review,$306707.00,
273,DEMOLITION,No plan review,$0.00,
274,ALTER,Plan Review,$0.00,
275,DEMOLITION,No plan review,$0.00,
276,ADD/ALT,Plan Review,$80000.00,
277,ADD/ALT,Plan Review,$83497.00,
278,ADD/ALT,Plan Review,$20000.00,
279,DEMOLITION,No plan review,$0.00,
280,NEW,Plan Review,$261923.00,
281,NEW,Plan Review,$263015.00,
282,DEMOLITION,No plan review,$0.00,
283,NEW,Plan Review,$1512967.00,
284,ADD/ALT,Plan Review,$150000.00,
285,NEW,Plan Review,$423657.00,
286,ADD/ALT,Plan Review,$5000.00,
287,ADD/ALT,Plan Review,$175000.00,
288,ADD/ALT,Plan Review,$60000.00,
289,ADD/ALT,Plan Review,$78586.00,
290,NEW,Plan Review,$283099.00,
291,ADD/ALT,Plan Review,$179842.00,
292,ADD/ALT,No plan review,$40000.00,
293,ADD/ALT,No plan review,$18000.00,
294,GRADING,Plan Review,$0.00,
295,DEMOLITION,No plan review,$0.00,
296,ADD/ALT,No plan review,$6000.00,
297,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
298,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
299,ADD/ALT,No plan review,$10000.00,
300,NEW,Plan Review,$27807204.00,
301,ADD/ALT,No plan review,$40000.00,
302,DEMOLITION,No plan review,$0.00,
303,ADD/ALT,No plan review,$25000.00,
304,NEW,Plan Review,$597240.00,
305,ADD/ALT,No plan review,$15000.00,
306,ADD/ALT,No plan review,$2000.00,
307,ADD/ALT,Plan Review,$10019.00,
308,ADD/ALT,Plan Review,$30000.00,
309,ADD/ALT,Plan Review,$51000.00,
310,DEMOLITION,No plan review,$0.00,
311,DEMOLITION,No plan review,$0.00,
312,NEW,Plan Review,$392209.00,
313,NEW,Plan Review,$182063.00,
314,NEW,Plan Review,$182063.00,
315,NEW,Plan Review,$200607.00,
316,DEMOLITION,No plan review,$0.00,
317,NEW,Plan Review,$394889.00,
318,DEMOLITION,No plan review,$0.00,
319,ADD/ALT,Plan Review,$203000.00,
320,ADD/ALT,No plan review,$50000.00,
321,ADD/ALT,Plan Review,$259311.00,
322,NEW,Plan Review,$231950.00,
323,NEW,Plan Review,$508596.00,
324,NEW,Plan Review,$508596.00,
325,DEMOLITION,No plan review,$0.00,
326,ADD/ALT,Plan Review,$35000.00,
327,ADD/ALT,Plan Review,$175000.00,
328,ADD/ALT,Plan Review,$20000.00,
329,ADD/ALT,Plan Review,$73010.00,
330,ADD/ALT,Plan Review,$130000.00,
331,ADD/ALT,No plan review,$15000.00,
332,CURB CUT,No plan review,$0.00,
333,ADD/ALT,No plan review,$80000.00,
334,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
335,ADD/ALT,No plan review,$1000.00,
336,ADD/ALT,Plan Review,$12500.00,
337,ADD/ALT,Plan Review,$1000.00,
338,ADD/ALT,No plan review,$207990.00,
339,DEMOLITION,No plan review,$0.00,
340,DEMOLITION,No plan review,$0.00,
341,DEMOLITION,No plan review,$0.00,
342,DEMOLITION,No plan review,$0.00,
343,NEW,Plan Review,$186714.00,
344,NEW,Plan Review,$186714.00,
345,DEMOLITION,No plan review,$0.00,
346,DEMOLITION,No plan review,$0.00,
347,NEW,Plan Review,$323300.00,
348,NEW,Plan Review,$323300.00,
349,ADD/ALT,Plan Review,$50000.00,
350,NEW,Plan Review,$429923.00,
351,ADD/ALT,Plan Review,$4025.00,
352,ADD/ALT,Plan Review,$43046.00,
353,ADD/ALT,Plan Review,$300000.00,
354,ADD/ALT,Plan Review,$80000.00,
355,ADD/ALT,Plan Review,$300000.00,
356,ADD/ALT,Plan Review,$115000.00,
357,ADD/ALT,Plan Review,$750000.00,
358,ADD/ALT,Plan Review,$7500.00,
359,ADD/ALT,Plan Review,$25000.00,
360,ADD/ALT,Plan Review,$4000.00,
361,ADD/ALT,Plan Review,$2000.00,
362,ADD/ALT,Plan Review,$90619.00,
363,NEW,Plan Review,$386674.00,
364,ADD/ALT,Plan Review,$72136.00,
365,ADD/ALT,Plan Review,$155000.00,
366,ADD/ALT,Plan Review,$40000.00,
367,ADD/ALT,Plan Review,$30000.00,
368,ADD/ALT,No plan review,$60000.00,
369,ADD/ALT,No plan review,$21000.00,
370,ADD/ALT,No plan review,$6853.00,
371,ALTER,Plan Review,$4500000.00,
372,ALTER,Plan Review,$6000000.00,
373,ALTER,Plan Review,$6000000.00,
374,ADD/ALT,No plan review,$10000.00,
375,ADD/ALT,No plan review,$8840.00,
376,ADD/ALT,No plan review,$8840.00,
377,ADD/ALT,No plan review,$100000.00,
378,ADD/ALT,No plan review,$12000.00,
379,ADD/ALT,No plan review,$15000.00,
380,ADD/ALT,No plan review,$38000.00,
381,ALTER,Plan Review,$341786.00,
382,ADD/ALT,No plan review,$1400.00,
383,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
384,ADD/ALT,No plan review,$55000.00,
385,ADD/ALT,No plan review,$72237.00,
386,DEMOLITION,No plan review,$0.00,
387,ADD/ALT,Plan Review,$1000000.00,
388,ADD/ALT,No plan review,$20000.00,
389,ADD/ALT,No plan review,$45000.00,
390,ADD/ALT,No plan review,$5800.00,
391,ALTER,Plan Review,$10505000.00,
392,ADD/ALT,No plan review,$35000.00,
393,ADD/ALT,No plan review,$35000.00,
394,ADD/ALT,Plan Review,$2000.00,
395,ADD/ALT,Plan Review,$2000.00,
396,ALTER,Plan Review,$100000.00,
397,DEMOLITION,No plan review,$0.00,
398,NEW,Plan Review,$8356111.00,
399,NEW,Plan Review,$775923.00,
400,NEW,Plan Review,$0.00,
401,NEW,Plan Review,$151012894.00,
402,ADD/ALT,Plan Review,$150000.00,
403,NEW,Plan Review,$1427490.00,
404,ADD/ALT,No plan review,$13000.00,
405,ALTER,Plan Review,$250000.00,
406,ADD/ALT,Plan Review,$140000.00,
407,ADD/ALT,Plan Review,$700000.00,
408,ADD/ALT,Plan Review,$250000.00,
409,ADD/ALT,Plan Review,$100000.00,
410,ADD/ALT,Plan Review,$95776.00,
411,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
412,ADD/ALT,Plan Review,$17000.00,
413,ADD/ALT,Plan Review,$15000.00,
414,NEW,Plan Review,$382477.00,
415,ADD/ALT,Plan Review,$17000.00,
416,ADD/ALT,Plan Review,$7000.00,
417,ADD/ALT,Plan Review,$12000.00,
418,ADD/ALT,Plan Review,$88500.00,
419,NEW,Plan Review,$1723983.00,
420,ADD/ALT,Plan Review,$1392367.00,
421,ADD/ALT,Plan Review,$4718.00,
422,NEW,Plan Review,$612904.00,
423,ADD/ALT,No plan review,$45000.00,
424,ADD/ALT,Plan Review,$6400.00,
425,ADD/ALT,No plan review,$25000.00,
426,ADD/ALT,No plan review,$20000.00,
427,ADD/ALT,Plan Review,$30000.00,
428,ADD/ALT,No plan review,$12500.00,
429,ADD/ALT,No plan review,$15000.00,
430,ADD/ALT,No plan review,$30000.00,
431,ADD/ALT,No plan review,$22000.00,
432,ADD/ALT,No plan review,$8000.00,
433,NEW,Plan Review,$1056557.00,
434,ADD/ALT,Plan Review,$145000.00,
435,ADD/ALT,Plan Review,$15000.00,
436,NEW,Plan Review,$6585178.00,
437,ADD/ALT,Plan Review,$4502.00,
438,ADD/ALT,Plan Review,$116119.00,
439,ADD/ALT,No plan review,$29000.00,
440,ADD/ALT,No plan review,$15000.00,
441,ADD/ALT,No plan review,$15000.00,
442,ADD/ALT,No plan review,$22000.00,
443,ALTER,Plan Review,$400000.00,
444,ADD/ALT,No plan review,$25000.00,
445,ADD/ALT,No plan review,$25000.00,
446,ALTER,Plan Review,$1900000.00,
447,ADD/ALT,No plan review,$31000.00,
448,ADD/ALT,No plan review,$106100.00,
449,,Plan Review,$0.00,
450,ADD/ALT,No plan review,$64500.00,
451,ADD/ALT,No plan review,$2000.00,
452,ADD/ALT,No plan review,$15000.00,
453,ADD/ALT,Plan Review,$10000.00,
454,ADD/ALT,Plan Review,$10000.00,
455,ADD/ALT,No plan review,$14600.00,
456,NEW,Plan Review,$445054.00,
457,ADD/ALT,Plan Review,$101442.00,
458,ADD/ALT,No plan review,$32000.00,
459,DEMOLITION,No plan review,$0.00,
460,NEW,Plan Review,$1000.00,
461,ADD/ALT,Plan Review,$74000.00,
462,ADD/ALT,No plan review,$50000.00,
463,ADD/ALT,No plan review,$3000.00,
464,ADD/ALT,No plan review,$6500.00,
465,ADD/ALT,Plan Review,$12549.00,
466,ADD/ALT,Plan Review,$65000.00,
467,NEW,Plan Review,$758860.00,
468,ADD/ALT,Plan Review,$60000.00,
469,ADD/ALT,Plan Review,$100000.00,
470,DEMOLITION,No plan review,$0.00,
471,DEMOLITION,No plan review,$0.00,
472,ADD/ALT,No plan review,$10000.00,
473,NEW,Plan Review,$513998.00,
474,ADD/ALT,Plan Review,$400000.00,
475,ALTER,Plan Review,$500000.00,
476,ADD/ALT,Plan Review,$70693.00,
477,NEW,Plan Review,$409225.00,
478,ADD/ALT,Plan Review,$25000.00,
479,ADD/ALT,Plan Review,$87886.00,
480,ADD/ALT,Plan Review,$260000.00,
481,ADD/ALT,Plan Review,$110000.00,
482,ADD/ALT,Plan Review,$275000.00,
483,ADD/ALT,Plan Review,$25000.00,
484,ADD/ALT,No plan review,$3000.00,
485,NEW,Plan Review,$66905924.00,
486,ADD/ALT,Plan Review,$150000.00,
487,ADD/ALT,Plan Review,$28500.00,
488,ADD/ALT,Plan Review,$15000.00,
489,NEW,Plan Review,$488635.00,
490,DEMOLITION,No plan review,$0.00,
491,NEW,Plan Review,$425693.00,
492,ADD/ALT,No plan review,$20000.00,
493,ADD/ALT,No plan review,$4000.00,
494,ADD/ALT,No plan review,$10000.00,
495,ADD/ALT,No plan review,$10000.00,
496,ADD/ALT,No plan review,$10000.00,
497,NEW,Plan Review,$69990.00,
498,DEMOLITION,No plan review,$0.00,
499,ADD/ALT,Plan Review,$107017.00,
500,ADD/ALT,No plan review,$6000.00,
501,ADD/ALT,No plan review,$196000.00,
502,ADD/ALT,Plan Review,$116000.00,
503,ADD/ALT,Plan Review,$10000.00,
504,ADD/ALT,Plan Review,$3000.00,
505,ADD/ALT,Plan Review,$4000000.00,
506,ADD/ALT,Plan Review,$12700.00,
507,ADD/ALT,Plan Review,$18000.00,
508,ADD/ALT,Plan Review,$20000.00,
509,NEW,Plan Review,$197146.00,
510,ADD/ALT,No plan review,$25000.00,
511,ADD/ALT,Plan Review,$13396.00,
512,ADD/ALT,Plan Review,$25000.00,
513,ADD/ALT,No plan review,$10000.00,
514,ADD/ALT,No plan review,$10000.00,
515,ADD/ALT,Plan Review,$172815.00,
516,,Plan Review,$0.00,
517,ADD/ALT,Plan Review,$258966.00,
518,NEW,Plan Review,$1083330.00,
519,ADD/ALT,Plan Review,$78840.00,
520,ADD/ALT,Plan Review,$20000.00,
521,ADD/ALT,Plan Review,$15000.00,
522,ADD/ALT,Plan Review,$260745.00,
523,ALTER,Plan Review,$55000.00,
524,ADD/ALT,No plan review,$32000.00,
525,ADD/ALT,Plan Review,$100000.00,
526,ADD/ALT,Plan Review,$516500.00,
527,ADD/ALT,Plan Review,$146522.00,
528,ALTER,Plan Review,$125550.00,
529,ALTER,Plan Review,$3500000.00,
530,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,
531,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,
532,DEMOLITION,No plan review,$0.00,
533,ADD/ALT,Plan Review,$80000.00,
534,NEW,Plan Review,$223976.00,
535,NEW,Plan Review,$223976.00,
536,NEW,Plan Review,$231102.00,
537,DEMOLITION,No plan review,$0.00,
538,ADD/ALT,Plan Review,$25000.00,
539,ADD/ALT,Plan Review,$85000.00,
540,ADD/ALT,Plan Review,$10000.00,
541,NEW,Plan Review,$701606.00,
542,DEMOLITION,No plan review,$0.00,
543,NEW,Plan Review,$388788.00,
544,DEMOLITION,No plan review,$0.00,
545,ADD/ALT,No plan review,$4000.00,
546,ADD/ALT,Plan Review,$75000.00,
547,ADD/ALT,No plan review,$20000.00,
548,NEW,Plan Review,$478740.00,
549,DEMOLITION,No plan review,$0.00,
550,ADD/ALT,Plan Review,$25000.00,
551,ADD/ALT,No plan review,$12000.00,
552,NEW,Plan Review,$662180.00,
553,ADD/ALT,No plan review,$28000.00,
554,ADD/ALT,No plan review,$15000.00,
555,ADD/ALT,No plan review,$15000.00,
556,ADD/ALT,Plan Review,$80796.00,
557,ADD/ALT,Plan Review,$15000.00,
558,ADD/ALT,No plan review,$12000.00,
559,ADD/ALT,No plan review,$12000.00,
560,ADD/ALT,No plan review,$20000.00,
561,ADD/ALT,Plan Review,$30000.00,
562,ADD/ALT,Plan Review,$475000.00,
563,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
564,ADD/ALT,No plan review,$2759.00,
565,NEW,Plan Review,$2250000.00,
566,,Plan Review,$0.00,
567,NEW,Plan Review,$454785.00,
568,NEW,Plan Review,$454785.00,
569,DEMOLITION,No plan review,$0.00,
570,NO CONSTRUCTION,No plan review,$0.00,
571,ADD/ALT,No plan review,$15000.00,
572,ALTER,Plan Review,$266617.00,
573,ADD/ALT,No plan review,$100000.00,
574,ADD/ALT,No plan review,$55000.00,
575,NEW,Plan Review,$263758.00,
576,ADD/ALT,Plan Review,$12000.00,
577,ADD/ALT,Plan Review,$6075.00,
578,ADD/ALT,No plan review,$12000.00,
579,ADD/ALT,Plan Review,$444256.00,
580,ADD/ALT,Plan Review,$20000.00,
581,ADD/ALT,No plan review,$1508.00,
582,ADD/ALT,Plan Review,$35000.00,
583,ADD/ALT,Plan Review,$4750.00,
584,ADD/ALT,Plan Review,$4500.00,
585,ADD/ALT,Plan Review,$4000.00,
586,ALTER,Plan Review,$0.00,
587,ADD/ALT,Plan Review,$108345.00,
588,ADD/ALT,Plan Review,$15000.00,
589,ADD/ALT,Plan Review,$10000.00,
590,ADD/ALT,Plan Review,$110411.00,
591,ADD/ALT,Plan Review,$200000.00,
592,ADD/ALT,Plan Review,$76468.00,
593,ADD/ALT,Plan Review,$40000.00,
594,ADD/ALT,Plan Review,$20000.00,
595,ADD/ALT,Plan Review,$75000.00,
596,ADD/ALT,Plan Review,$20000.00,
597,ADD/ALT,No plan review,$60000.00,
598,ADD/ALT,No plan review,$50000.00,
599,ADD/ALT,Plan Review,$0.00,
600,NEW,Plan Review,$324318.00,
601,ADD/ALT,No plan review,$155000.00,
602,ADD/ALT,No plan review,$155000.00,
603,ADD/ALT,No plan review,$16000.00,
604,ADD/ALT,No plan review,$40000.00,
605,ADD/ALT,Plan Review,$1100000.00,
606,ADD/ALT,Plan Review,$8500.00,
607,ADD/ALT,No plan review,$6000.00,
608,ADD/ALT,No plan review,$15000.00,
609,ADD/ALT,No plan review,$30000.00,
610,ADD/ALT,No plan review,$30000.00,
611,ADD/ALT,No plan review,$28000.00,
612,ADD/ALT,No plan review,$90000.00,
613,ADD/ALT,No plan review,$1300.00,
614,ADD/ALT,No plan review,$1300.00,
615,ADD/ALT,No plan review,$1300.00,
616,ADD/ALT,Plan Review,$1000000.00,
617,ADD/ALT,Plan Review,$200000.00,
618,ADD/ALT,Plan Review,$227857.00,
619,ADD/ALT,Plan Review,$50000.00,
620,ADD/ALT,Plan Review,$650000.00,
621,ADD/ALT,Plan Review,$357500.00,
622,ALTER,Plan Review,$3200000.00,
623,ADD/ALT,Plan Review,$45000.00,
624,NEW,Plan Review,$667235.00,
625,ADD/ALT,Plan Review,$54395.00,
626,ADD/ALT,Plan Review,$165000.00,
627,ADD/ALT,Plan Review,$40000.00,
628,ADD/ALT,No plan review,$25000.00,
629,ADD/ALT,No plan review,$29000.00,
630,ADD/ALT,No plan review,$29000.00,
631,ADD/ALT,Plan Review,$70000.00,
632,DEMOLITION,No plan review,$0.00,
633,ADD/ALT,Plan Review,$70000.00,
634,ADD/ALT,Plan Review,$15000.00,
635,NEW,Plan Review,$214514.00,
636,NEW,Plan Review,$214514.00,
637,NEW,Plan Review,$214514.00,
638,NEW,Plan Review,$214514.00,
