id,name,phone_num,address_id
49,Seattle Public Library Lake City,(206) 684-7518,
50,Seattle Public Library Madrona,(206) 684-4705,
51,Seattle Public Library Magnolia,(206) 386-4225,
52,Seattle Public Library Main,(206) 386-4636,
53,Seattle Public Library Montlake,(206) 684-4720,
54,Seattle Public Library New Holly,(206) 760-3296,
55,Seattle Public Library Northeast,(206) 684-7539,
56,Seattle Public Library Northgate,(206) 386-1980,
57,Seattle Public Library Queen Anne,(206) 386-4227,
58,Seattle Public Library Rainier Beach,(206) 386-1906,
59,Seattle Public Library South Park,(206) 615-1688,
60,Seattle Public Library Southwest,(206) 684-7455,
61,Seattle Public Library University,(206) 684-4063,
62,Seattle Public Library Wallingford,(206) 684-4088,
63,Seattle Public Library West Seattle,(206) 684-7444,
64,Spring Street Center (Subud Pacific Northwest),(206) 422-5002,
65,Artspace Hiawatha Lofts,(206) 709-7611,
66,Impact Hub Seattle,(206) 430-6007,
67,Works Progress,(206) 466-1624,
68,The Project Room,(206) 499-9641,
69,ArtFX Studio Gallery,,
70,ActivSpace North Seattle,(206) 529-1488,
71,Alki Bathhouse Studio,(206) 684-7430,
72,Annex Theatre,(206) 728-0933,
73,Arts West,(206) 938-0339,
74,Artspace Tashiro Kaplan Lofts and the Angle & Corridor Gallery,(206) 223-1160,
75,Belle and Wissell/Oxbow,(206) 322-7908,
76,Danse Perdue's Psychomachia Theater,(206) 383-4105,
77,Design Commission Gallery,(206) 223-7709 ,
78,El Centro de la Raza,(206) 329-9442,
79,FRED Wildlife Refuge,(206) 588-6959,
80,Frye Art Museum,(206) 622-9250,
81,Hard Rock Café,(206) 204-2233,
82,Interbay Worklofts,(206) 286-3550,
83,Jack Straw,(206) 634-0919,
84,Metrix Create Space,(206) 357-9406,
85,Mini Mart City Park,,
86,Nordic Museum,(206) 789-5707,
87,Of the Earth,(206) 462-7022,
88,Rainier Chapter House DAR,(206) 323-0600,
89,Seattle Center EMP and Sky Church,(206) 770-2700,
90,Seattle Center Mural Ampitheater,(206) 684-7200,
91,Seattle Center Pacific Science Center,(206) 443-2001,
92,Seattle Center Pavilion,(206) 684-7200,
93,Art On The Ridge,,
94,Seattle Center Seattle Children's Museum,(206) 441-1768,
95,St. Paul's Episcopal Church,(206) 282-0786,
96,Storefronts Seattle/Shunpike,(206) 905-1026,
97,University of Washington Samuel E. Kelly Ethnic Cultural Center,(206) 543-4635,
98,WA State Holocaust Ed Center,(206) 774-2201,
99,Washington Hall,(206) 316-7613,
100,West of Lenin,(206) 352-1777,
101,Youngstown Cultural Arts Center,(206) 935-2999,
102,Century Ballroom,(206) 324-7263,
103,Town Hall,(206) 652-4255,
104,The Josephine and Friends of NW 65th (CLOSED),(206) 543-0065,
105,Avast Recording Co,(206) 633-3926,
106,Columbia City Theater,(206) 722-3009,
107,Crybaby Studios,(206) 660-0117,
108,Egg Studios/Popllama Products,,
109,El Corazon,(206) 262-0482,
110,Flying House Productions,(206) 323-0750,
111,Georgetown Records and Fantagraphics Books,(206) 762-5638,
112,Gravelvoice,,
113,Haller Lake United Methodist Church,(206) 362-5383,
114,Hollow Earth Radio,(206) 588-5437,
115,Jazz Night School,(206) 722-6061,
116,KXSU Radio,(206) 296-6000,
117,Music Center of Northwest,(206) 526-8443,
118,Nectar,(206) 632-2020,
119,Neumos/Barboza,(206) 709-9442,
120,Orbit Audio,(206) 381-1244,
121,Rockit Community Arts and Garden House,(206) 323-7733,
122,Royal Room,(206) 906-9920,
123,Sea Monster Lounge,(206) 992-1120,
124,Benaroya Hall,(206) 215-4800,
125,Sonic Boom,(206) 297-2666,
126,Sunset Tavern,(206) 784-4880,
127,The Chapel Performance Space at Good Shepherd Center,(206) 547-8127,
128,Tim's Tavern,(206) 789-9005,
129,Tractor Tavern,(206) 789-3599,
130,Triple Door Theater and Musicquarium Lounge,(206) 838-4333,
131,5th Avenue Theatre,(206) 625-1900,
132,A Contemporary Theatre (ACT),(206) 292-7660,
133,ARC Dance,(206) 352-0798,
134,Caravan Gallery-Parlor and Roadside Attractions,(206) 799-1180,
135,Columbia City Gallery SEEDArts,(206) 760-9843,
136,Crocodile,(206) 441-4618,
137,Duwamish Longhouse,(206) 431-1582,
138,Empty Sea Studios,(206) 329-9442,
139,Erickson Theater ,(206) 427-5207,
140,Freehold Theatre and Lab Studio,(206) 323-7499,
141,Fremont Abbey Arts Center,(206) 414-8325,
142,Full Tilt Ballard,(206) 297-3000,
143,Full Tilt Columbia City,(206) 226-2740,
144,Geisa Dutra Piano Studio,(206) 295-6590,
145,Ghost Light Theatricals/The Ballard Underground,(206) 395-5458,
146,Kenyon Hall,(206) 937-3613,
147,L.A.B at Seattle Drum School of Music,(206)364-8815,
148,Lee Center for the Arts,(206) 296-5373,
149,New City Theater,(206) 271-4430,
150,Northwest Puppet Center/ Carter Family Marionettes Fremont,(206) 523-2579,
151,On the Boards,(206) 217-9886,
152,Open Flight Studio,(206) 632-0067,
153,Rendezvous & Jewel Box Theater,(206) 441-5823,
154,Sand Point Arts & Cultural Exchange,(206) 245-5457,
155,Satori Lab in Inscape,(513) 600-0815,
156,School of Acrobatics & New Circus Arts (SANCA),(206) 652-4433,
157,Seattle Center Key Arena ,(206) 684-7200,
158,Seattle Center McCaw Hall,(206) 733-9725,
159,Seattle Center Seattle Children's Theatre,(206) 441-3322,
160,Seattle Center Seattle Repertory Theatre at Leo K,(206) 443-2222,
161,Seattle Center SIS Productions/ReAct & Pork Filled Players at Prima Vera Arts Center,(206) 323-9443,
162,Seattle Center Vera Project,(206) 956-8372,
163,Seattle Center/Center House Theatre,(206) 684-7200,
164,Seattle Central Community College Broadway Performance Hall,(206) 325-3113,
165,Seattle Conservatory of Music,(206) 632-6715,
166,Seattle Public Theater,(206) 524-1300,
167,Showbox SODO,(206) 628-3151,
168,Skylark Café & Club,(206) 935-2111,
169,Spectrum Dance Theater,(206) 325-4161,
170,St Rigsby and His Amazing Silhouettes,,
171,STG Moore Theatre,(206) 467-5510,
172,STG Neptune Theatre,(206) 682-1414,
173,STG Paramount Theatre,(206) 902-5500,
174,Stone Soup Theatre/DownStage Theatre,(206) 388-9212,
175,Taproot Theatre,(206) 781-9707,
176,Teatro ZinZanni,(206) 802-0015,
177,The Market Theater,(206) 587-2414,
178,Theater Schmeater,(206) 324-5801,
179,Theatre Off Jackson,(206) 340-1049,
180,Trinity Parish Church,(206) 332-7908,
181,Tula's,(206) 443-4221,
182,Unified Outreach Youth Arts,(206) 371-1139,
183,University of Washington Glenn Hughes Penthouse Theatre,(206) 543-5140,
184,University of Washington Hutchison Hall,(206) 543-5140,
185,University of Washington Jones Playhouse,(206)543-4880,
186,Vachon Gallery,(206) 296-2340,
187,Velocity Dance Center,(206) 325-8773,
188,Volunteer Park Ampitheater,(206) 684-4080,
189,Washington Ensemble Theatre,(206) 325-5105,
190,Northwest Puppet Center/ Carter Family Marionettes Maple Leaf,(206) 523-2579,
191,4Culture in Tashiro Kaplan,(206) 296-7580,
192,ALTspace,(206) 424-7863,
193,AudioLogic,(206) 817-8760,
194,Avalon Glassworks,(206) 937-6369,
195,Inscape Building,(206) 458-2716,
196,Tryptos Studio Collective,(206) 783-6997,
197,57 Biscayne,,
198,A/NT Gallery,(206) 233-0680,
199,Alki Arts,(206) 432-9936,
200,Art Xchange Gallery,(206) 839-0377,
201,Avanti Art and Design/Avanti Co-Op Gallery,(206) 784-8475,
202,Bherd Studios,(206) 234-8348,
203,C Art Gallery in Artspace Hiawatha Lofts,(206) 322-9374,
204,Canlis Glass,(206) 282-4428,
205,CoCA,(206) 728-1980,
206,Contactcreate,(206) 280-1230,
207,Danaca Design,(206) 524-0916,
208,Echo Echo Gallery,(206) 633-1236,
209,Edd Cox Fine Art,(206) 682-4046,
210,Form/Space Atelier,(206) 349-2509,
211,Foster/White Gallery,(206) 622-2833,
212,Fountainhead Gallery,(206) 285-4467,
213,Frame Central/North West Framing Cloud Gallery,(206) 720-2054,
214,Gage Academy of Art,(206) 323-4243,
215,Gallery 110 in Tashiro Kaplan,(206) 624-9336,
216,Gallery Context,(206) 553-9437,
217,Gallery IMA,(206) 625-0055,
218,Georgetown Trailer Park Mall,(206) 767-0331,
219,Ghost Gallery,(206) 832-6063,
220,Grover Thurston Gallery,(206) 223-0816,
221,Kate Alkarni Gallery,(206) 453-0043,
222,Kinsey Gallery,(206) 296-2340,
223,Krab Jab Studio,(206) 715-8593,
224,L x W x H,(206) 697-5156,
225,Lisa Harris Gallery,(206) 443-3315,
226,MIA Gallery,(206) 467-4927,
227,Miller School of Art,(206) 861-9265,
228,Municipal Tower Gallery,(206) 684-7171,
229,New Foundation,(206) 512-7247,
230,Northwest Woodworkers Gallery,(206) 625-0542,
231,Photographic Center Northwest,(206) 720-7222,
232,Platform Gallery in Tashiro Kaplan,(206) 323-2808,
233,Pound Arts,(206) 323-0557,
234,Pratt Fine Arts Center,(206) 328-2200,
235,Push/Pull,,
236,Q,(206) 352-2525,
237,RE Welch Gallery,(206) 264-8141,
238,Reel Grrls,(206) 323-0693,
239,RxsRKives Studio,,
240,Seattle ArtREsource (CLOSED),(206) 838-2695,
241,Steinbrueck Native Gallery,(206) 441-3821,
242,Tasty Gallery,(206) 706-3020,
243,The Legacy Ltd,(206) 624-6350,
244,Traver Gallery,(206) 587-6501,
245,True Love Art Gallery,(206) 227-3572,
246,Twilight Artist Collective,(206) 933-2444,
247,Vermillion Gallery,(206) 709-9797,
248,Vetri Glass Gallery,(206) 667-9608,
249,Wing Luke Museum,(206) 623-5124,
250,Woodside/Braseth Gallery,(206) 622-7243,
251,Davidson Galleries,(206) 624-7684,
252,Greg Kucera Gallery,(206) 624-0770,
253,Henry Art Museum,(206) 543-2280,
254,Prographica Gallery,(206) 322-3851,
255,Roq La Rue Gallery,(206) 374-8977,
256,Seattle Art Museum Olympic Sculture Park,(206) 654-3100,
257,Winston Wachter Fine Art,(206) 652-5855,
258,Adefua Cultural Exchange Workshop,(206) 722-6602,
259,Museum of Flight,(206) 764-5720,
260,Friends of KEXP,(206) 520-5800,
261,Broadway Bound Children's Theatre,(206) 526-5437,
262,Pipsqueak,,
263,Sundance Cinemas LLC-Sundance Seattle,(206) 633-0059,
264,Jeffrey Moose Gallery,(206) 467-6951,
265,Langston Hughes Performing Arts Institute,(206) 684-4757,
266,Museum of History and Industry (MOHAI),(206) 324-1126,
267,Seattle Youth Symphony,(206) 362-2300,
268,Longhouse Media,(206) 387-2468,
269,911 Media Arts Center,,
270,Admiral Theatre,,
271,Cornish College of the Arts-Beebe Building,,
272,Flatcolor Gallery,,
273,Bryan Ohno Gallery,,
274,Cornish College of the Arts- Main,,
275,Artforte Gallery,,
276,Cornish College of the Arts-Kerry Hall/Poncho Hall,,
277,Cornish College of the Arts- Notion,,
278,Cornish College of the Arts- Raisbeck Performance Hall,,
279,East West Bookshop,,
280,Bad Animals,,
281,Barnes & Noble- Westwood Village,,
282,Cornish College of the Arts- Annex,,
283,Edge of Glass Gallery,,
284,Elliott Bay Recording Inc,,
285,Azuma Gallery,,
286,Blue Moon Tavern,,
287,Cornish College of the Arts-Commons,,
288,Degenerate Art Ensemble,,
289,Eclectic Theater Company,(206) 679-3271,
290,Flury and Company,,
291,Baltic Room,,
292,Bemis Building,,
293,Blindfold Gallery (CLOSED),,
294,Electrokitty Recordings,,
295,Flamenco Gitana,,
296,George Center for Community,(206) 362-3325,
297,Barnes & Noble- Downtown,,
298,Barsuk Records,,
299,Cornish College of the Arts-Centennial Lab,,
300,Egan's Ballard Jam House,,
301,Francine Seders Gallery (CLOSED),,
302,Barnes & Noble-Northgate,,
303,Chihuly Garden and Glass ,,
304,Electric Coffin Studio,,
305,Gallery 1412,,
306,Central District Forum for Arts & Ideas,,
307,De Cajon Project,,
308,Easy Street Records,,
309,Fremont Studios,,
310,Hanson Scott Gallery,,
311,High Dive,,
312,Harvard Exit Theatre (CLOSED),,
313,Patrician Cameron Gallery (CLOSED),,
314,Pink Door,,
315,Re-bar,,
316,Seattle Academy of Arts and Sciences,,
317,M. Rosetta Hunter Art Gallery - Seattle Central Community College,,
318,Seattle Grip & Lighting,,
319,Union Cultural Center,,
320,"HeART, the Gallery",,
321,Laundry Room Studio,,
322,Planet Afua,,
323,Howard House,,
324,Nagomi Tea House,,
325,Sub Pop Records,,
326,Rain City Rock Camp for Girls,(206) 659-5471 ,
327,Landmark Seven Gables Theatre,,
328,LUCID Lounge,(206) 402-3042,
329,Master Works,,
330,MLK Community Center-Ewajo Dance Center and F.A.M.E.,,
331,Jupiter Studios,,
332,Kirsten Gallery,,
333,Landmark Varsity Theatre,,
334,AMC Pacific Place 11,,
335,Seattle Scenic Studios,,
336,Slim's Last Chance,,
337,WaMu Theater,,
338,Landmark Guild 45th,,
339,Lo-Fi Performance Gallery,,
340,Makerhaus,,
341,Regal Meridian 16,,
342,Paragon,,
343,Pilchuck Glass School Office (CLOSED/MOVED),,
344,Southeast Seattle Community Youth Orchestra ,,
345,Seattle Arts & Lectures,,
346,Seattle Film Institute,(206) 568-4387,
347,Stage One Theatre- North Seattle Community College,(206) 934-3708,
348,Washington State Arts Alliance,,
349,Nu Black Arts West Theatre ,(206) 329-3328,
350,Seattle Teaching Artist Network,,
351,Left Bank Books,,
352,Ostara Group,,
353,"Seattle Pacific University McKinley Hall-Kreider Art Gallery, E.E. Bach Theater",,
354,Sisko Gallery,,
355,New West Edition,,
356,AMC Loews Oak Tree 6,,
357,Little Red Hen,,
358,National Film Festival for Talented Youth (NFFTY),,
359,Rare Medium,,
360,Sanctuary Art Center,(206) 522-6256,
361,Seattle Aquarium,,
362,Seattle Fandango Project in El Centro De La Raza,,
363,Tin Hat,,
364,Wilder Sound Studios,,
365,Seward Park Clay Studio,,
366,501 Commons,,
367,Heartland (CLOSED),,
368,New Orleans Creole Restaurant + Jazz Music (CLOSED),,
369,Northwest Tap Connection,,
370,Stonington Gallery,,
371,Cleopatra Park Audio Recording,,
372,Urban Wilderness Project,,
373,Hengda Dance Academy,(206) 287-9998,
374,Gansango Music & Dance,(206) 417-4679,
375,BallardWorks LLC,(206) 784-9987 ,
376,Highland Park Improvement Club,(206) 762-9825,
377,Ballard Alki Lodge IOOF-Ballard-Alki Lodge #170,(206) 782-9646,
378,Cafe Racer Espresso,(206) 523-5282,
379,Egyptian Theater,,
380,Cassandria Blackmore Studio,,
381,Arthur Murray Dance Studio,,
382,Meter Music School,(206) 355-6088,
383,The Northwest School,,
384,Fucko Alley Gallery,,
385,Highway 99 Blues Club,(206) 382-2171,
386,South Seattle Community College Little Theatre,,
387,Windows Art Gallery,(206) 632-7332,
388,Ballard Rock Rooms/Birds Nest,(206) 369-7588,
389,Superior Audio Service,(206) 369-7588,
390,Phinney Neighborhood Association,(206) 783-2244,
391,Urban Artworks in Inscape,(206) 292-4142,
392,Ltd. Art Gallery (CLOSED),(206) 457-2970,
393,Patricia Rovzar Gallery ,(206) 223-0273,
394,Versatile Arts,(866) 887-5256,
395,Georgetown Arts and Cultural Center,(206) 851-1538,
396,City Hall Lobby Gallery & Anne Focke Gallery,,
397,Ethnic Heritage Art Gallery at Seattle Municipal Tower,(206) 684-7171,
398,Capitol Club (CLOSED),,
399,Electric Tea Garden (CLOSED),,
400,Room 104 Gallery (CLOSED) in Tashiro Kaplan,,
401,New York Fashion Academy,(206) 352-2636,
402,Eritrean Association in Greater Seattle,,
403,"University of Washington 3D4M School of Art, Ceramic Metal Arts Building ",(206) 543-0970,
404,Fetherston Gallery (CLOSED),,
405,Abmeyer + Wood Fine Art,(206) 628-9501,
406,The Studio of Awesome (CLOSED),,
407,Planet Art,(206) 782-7455,
408,SRG Gallery,,
409,Sunny Arms Artist Cooperative,,
410,Blick Art Materials,,
411,MadArt,(206) 623-1180,
412,Massive Monkees Studios,Unavailable,
413,The Studios,(206) 582-3878,
414,Rainier Glass Studio,,
415,The White Rabbit (CLOSED),,
416,Art Stall Gallery,,
417,Conrow Porcelain Studio,,
418,Dakota Art Store,(206) 523-4830,
419,Seattle Pottery Supply,,
420,Ballard Academy of Music & Dance,,
421,Open Books,(206) 633-0811,
422,Victory Studios,"(206) 282-1776
",
423,University of Washington School of Music & Brechemin Auditorium ,(206) 543-1201,
424,Jamtown,,
425,Roaring Mouse Creative Arts Studio,,
426,Glasshouse Studios,,
427,Seattle Atelier,,
428,Densho: The Japanese American Legacy Project,,
429,Comet Tavern,,
430,University Book Store,(206) 685-9920,
431,Christian Grevstad Gallery,,
432,Northwest Art & Frame,,
433,The Art Study,,
434,Wikstrom Gallery,,
435,eXit Space School of Dance,,
436,My World Dance and Fitness Studio,(206) 861-2500,
437,Juan Alonso Studio,,
438,Ace Studios Gallery,,
439,Living Computer Museum,,
440,Daniel Smith Art Supplies,,
441,Artist & Craftsman Supply,,
442,Seattle Yarn,(206) 935-2010,
443,Clearwater Film LLC,,
444,University of Washington Meany Hall,(206) 543-4880,
445,Keys on Main,,
446,Emerald City Trapeze,,
447,The Ballet Studio,(206) 329-9166,
448,Anthony Peters' Tap Dance Seattle,,
449,Seattle University Bookstore,(206) 296-5820,
450,University of Washington Kane Walker-Ames Room,,
451,Khambatta Dance Company,,
452,Wall of Sound,,
453,Everyday Music,,
454,Design In Public,(206) 448-4938 x107,
455,Brace Point Pottery,,
456,Capitol Hill Block Party,,
457,High Voltage Music Store,,
458,Blowing Sands Glass Studio/Laura Frost Fine Arts Gallery,,
459,Studio Current,,
460,Georgetown Atelier,,
461,Civetta Dance Space,,
462,Eight and Sand Gallery,(206) 304-0394,
463,Pocket Theater,(303) 803-4589,
464,Between Cultures Gallery,,
465,Threshold Gallery at Mithun,,
466,Canoe Social Club,(206) 550-4818,
467,Glassy Eye Studio,,
468,Couth Buzzard Books,,
469,DASSdance Seattle,,
470,Vignettes Gallery at El Capitan Apartments,,
471,Atlas Theatre,,
472,Washington State Convention & Trade Center Gallery,,
473,Serafina,,
474,Vito's ,(206) 397-4053,
475,The Collaboratory,,
476,OutWest,,
477,Golden Age Collectibles,,
478,Woodcraft of Seattle,,
479,Alexander's Bead Bazaar,,
480,Mind Unwind Foundation,(206) 829-9128,
481,The Dreaming Comics and Games,,
482,Phoenix Comics & Games,,
483,Comics Dungeon,(206) 545-8373,
484,Arcane Comics & More,,
485,Mockingbird Books,,
486,Math 'n' Stuff,,
487,The Comic Stop U District,,
488,Ada's Technical Books,,
489,Singles Going Steady ,,
490,88 Keys Dueling Piano Bar,,
491,Storum Jewish Community Center,,
492,International Drop-In Center,,
493,Elderwise,(206) 774-6606,
494,Panda Photographic Laboratories Inc,(206) 285-7091,
495,Paper Source Queen Anne,,
496,American Music,,
497,Ethiopian Community Center,,
498,Aaron Brothers Art & Framing,,
499,Paper Source,,
500,World Beads,,
501,Neptune Music Co,,
502,Seattle Indian Center,,
503,Asian Resource Center,,
504,Glazer's Camera,,
505,Beadworld,,
506,Nancy's Sewing Basket,(206) 282-9112,
507,World Beads Capitol Hill,,
508,Comics Journal / Fantagraphics Books,,
509,Half Price Books,,
510,B L M F Literary Saloon,,
511,Hobby Lobby ,,
512,Hot Glass Color,,
513,The Comedy Underground,,
514,Pacific Fabrics and Crafts,,
515,Monster Art & Clothing,,
516,Stitches,,
517,The Hyogo Business and Cultural Center,,
518,The Color Group,(206) 281-1630,
519,Jo Ann Fabrics and Crafts Aurora,,
520,Porchlight Coffee & Records,,
521,Filipino Community Center,,
522,The Weaving Works,(206) 524-1221,
523,Paint the Town,,
524,Jo Ann Fabrics and Crafts,,
525,JCCCW Japanese Cultural & Community Center of WA,,
526,Russian Community Center,,
527,7 Point Studio and The Boro School,(206) 284-5277,
528,Drygood Design,,
529,Glassybaby University Village,,
530,Tall's Camera,,
531,"Photo-tronics, Inc.",,
532,Impress Cards and Crafts,,
533,Glassybaby Madrona,,
534,Venue Ballard,"(206) 789-3335
",
535,Off the Wall School of Music,,
536,Bell & Reed,,
537,Greenwood Violin Studio,,
538,Soul Cat Guitars,,
539,Washington Park Arboretum and Madison Park Graham Visitors Center,,
540,Georgetown Music Store,,
541,Kennelly Keys Music,,
542,Emerald City Guitars,,
543,Creative Music Adventures,,
544,Klondike Gold Rush National Historic Park,,
545,Allied Arts Foundation,,
546,Dusty Strings,,
547,Capitol Music Center,,
548,High Voltage Music Store,,
549,Metropolitan Music,,
550,A-1 Piano,,
551,Bill Matthews' Conga Joy,,
552,Art With A Heart,,
553,The Trading Musician,,
554,Oberloh Woodwind and Brass Works,,
555,Hillman Guitar Instruction,,
556,Fauntleroy Schoolhouse/Fauntleroy Community Service Agency,(425) 445-4064,
557,Scratch Deli,,
558,Guitar Center,,
559,The Music Factory,,
560,Central Area Senior Center,,
561,"Studio Instrument Rentals, Inc.",,
562,Equinox Studios,,
563,Central Saloon,,
564,The Drum Exchange,,
565,Thunder Road Guitars,,
566,Mode Music Studios,,
567,Sound Guitar Repair,,
568,Dance Underground,,
569,Gay City Health Project,(206) 860-6969,
570,Historic Seattle Dearborn House,,
571,Leif Erikson Lodge Sons of Norway,,
572,Mike and Mike's Guitar Bar,,
573,Seattle Sound Repair,,
574,Sunshine from Polynesia,(206) 282-0769,
575,Solid Repair,,
576,Monster Concerts INC DBA STUDIO SEVEN,(206) 286-1312,
577,Roseanne's School of Dance,,
578,Gallery Mack's Art Connection,,
579,University of Washington Health Sciences Library,(206) 543-3390,
580,University of Washington D Center,(206) 685-0949,
581,Capitol Cider,,
582,Jive Time,,
583,Silver Platters Northgate,,
584,Zions Gate Records,,
585,Light in the Attic Records,,
586,Ravenna-Eckstein Community Center & Yesler,,
587,Silver Platters SoDo,,
588,Holy Cow Records,,
589,Spin Cycle,,
590,Hawthorne Stereo,,
591,Bop Street Records,,
592,Golden Oldies,,
593,Tune HiFi,,
594,Mossy Bottom Records,,
595,Stormy Muffin Studios,,
596,Earwig Studio,,
597,C Art Gallery,,
598,Seattle Magazine/Tiger Oak Media Inc,,
599,Bremelo Press,,
600,Underwood Stables,,
601,Milagros Mexican Folk Art Gallery,,
602,Thrive Art School,(206) 522-1659,
603,Brooklyn Frame Shop,,
604,City Arts Magazine/Encore Media Group,,
605,Glass Art Society,,
606,Bayview Work Lofts,,
607,Baas Framing Studio & The Madison Art Collective,(206) 324-4742,
608,Canvas Paint & Sip,,
609,Northwest Encaustic,(206) 291-7775,
610,The Tudor Choir,,
611,Artech,,
612,10 Degrees,,
613,University of Washington Husky Union Building,(206) 543-8191,
614,Mack 9 Music Group,,
615,Seattle Metropolitan,,
616,Macha Monkey Productions,,
617,Senior Center of West Seattle,,
618,St. Clouds,,
619,Seattle Metropolitan Police Museum,,
620,The National Archives at Seattle,,
621,University of Washington Elisabeth C. Miller Library,,
622,Garfield Community Center,,
623,Image Journal,(206) 281-2988,
624,The Stranger,,
625,The Seattle Times,,
626,Ballard NW Senior Center,"(206) 297-0403
",
627,Seattle Weekly,,
628,Early Music Guild,"(206) 325-7066
",
629,Filipino American National Historical Society ,,
630,History House of Greater Seattle,,
631,University of Washington Drama Library,,
632,Gasworks Gallery,,
633,Unicorn,,
634,Pony,,
635,University Heights Center,,
636,The Bush School Speaker Series,,
637,Neighbours,,
638,Julia's on Broadway,,
639,"Igimo Art Station, LLC",(206) 760-3797,
640,University of Washington Q Center,(206) 897-1430,
641,Brass Tacks,,
642,University of Washington Gallagher Law Library,(206) 543-4089,
643,Cuff Complex,,
644,Seattle Eagle Tavern,,
645,Radio Variedades KXPA 1540 AM,(206) 571-3485,
646,Cafe Nordo,(206) 579-6215,
647,Seattle ReCreative,"(206) 659-9383
",
648,Circle of Art Studios,,
649,Rainier Valley Historical Society,(206) 723-1663,
650,The Curious Nest,,
651,Purlieu Hall,,
652,Magnolia Community Center,,
653,Northgate Community Center,,
654,Music4Life,(206) 409-3275,
655,Nupasa Art Studio & Gallery,,
656,Green Lake Community Center,,
657,Meadowbrook Community Center,,
658,Queen Anne Community Center,,
659,South Park Neighborhood and Senior Center,,
660,Moonphoto,(206) 783-3377,
661,ArtHouse,,
662,Prole Drift,,
663,Voda Studios,,
664,SoDo MakerSpace,,
665,Calypte Gallery,,
666,Bonfire at Panama Hotel,,
667,One Reel,,
668,NW Work Lofts,,
669,Lightbank Studio,,
670,The Factory,,
671,Jefferson Community Center,,
672,Greg Thompson Productions,,
673,Scarecrow Video,,
674,Urban Work Lofts,,
675,Kobo at Hibo,,
676,The Alice Gallery,(206) 853-9124,
677,Mainframe,,
678,Alki Community Center,,
679,IsGood Woodworks,,
680,The Lofts at 325 ,,
681,Seattle Creative Arts,,
682,Veronica Mt Baker Lofts,,
683,Bitter Lake Community Center,,
684,Montlake Community Center,,
685,High Point Community Center,,
686,Gallery Frames,,
687,Artspace Mt Baker Lofts,,
688,Earl Harper Studios,,
689,Bahia In Motion,(206) 819-3334,
690,REDred Photo School & Studio,,
691,ID/Chinatown Community Center,,
692,Miller Community Center,,
693,Van Asselt Community Center,,
694,Interstitial ,,
695,Laurelhurst Community Center,,
696,Magnuson Community Center,,
697,Delridge Community Center & Hiawatha,,
698,Addison on Fourth,,
699,Bootstrap Music,,
700,Swedish Hospital Art Collection,,
701,Service League Harborview Medical Center Art Collection,,
702,BJ Montoya Violin Studio,,
703,DeCajon Project,,
704,Rainier Beach Community Center,,
705,Da Projectz Music Recording Studio,,
706,Glass Eye Studio,,
707,Parlor Live Seattle,,
708,All Pilgrims Christian Church,,
