id,district,police_beat
414,B,B1
415,D,D1
416,D,D2
417,J,J3
418,B,B3
419,O,O2
420,W,W3
421,E,E2
422,S,S2
423,Q,Q1
424,U,U2
425,L,L2
426,M,M1
427,U,U1
428,M,M3
429,R,R1
430,E,E1
431,W,W1
432,B,B2
433,Q,Q3
434,F,F3
435,L,L1
436,F,F3
437,O,O1
438,B,B2
439,J,J1
440,J,J3
441,D,D3
442,C,C3
443,U,U3
444,E,E2
445,F,F1
446,G,G3
447,N,N2
448,B,B1
449,R,R2
450,N,N3
451,N,N3
452,E,E3
453,B,B1
454,C,C2
455,L,L3
456,L,L1
457,O,O1
458,J,J3
459,L,L3
460,F,F3
461,D,D1
462,U,U1
463,C,C2
464,J,J2
465,D,D3
466,D,D2
467,D,D2
468,J,J3
469,S,S2
470,L,L3
471,R,R3
472,Q,Q3
473,Q,Q3
474,S,S1
475,E,E1
476,U,U2
477,E,E1
478,M,M2
479,F,F2
480,J,J1
481,L,L1
482,E,E2
483,Q,Q2
484,U,U3
485,G,G3
486,K,K1
487,J,J3
488,U,U1
489,L,L1
490,N,N3
491,B,B3
492,R,R1
493,E,E3
494,M,M3
495,D,D1
496,N,N2
497,R,R3
498,B,B2
499,Q,Q3
500,G,G2
501,M,M3
502,N,N3
503,N,N2
504,W,W1
505,F,F2
506,R,R3
507,D,D2
508,M,M3
509,L,L3
510,L,L1
511,R,R3
512,L,L1
513,G,G1
514,J,J2
515,Q,Q3
516,L,L2
517,U,U2
518,R,R3
519,M,M2
520,E,E1
521,R,R3
522,D,D2
523,L,L3
524,M,M2
525,S,S3
526,L,L1
527,U,U1
528,N,N1
529,L,L2
530,K,K2
531,U,U1
532,M,M3
533,F,F2
534,K,K1
535,E,E2
536,B,B2
537,Q,Q3
538,Q,Q2
539,D,D2
540,U,U2
541,L,L1
542,N,N1
543,F,F1
544,B,B1
545,W,W3
546,E,E1
547,B,B1
548,J,J3
549,J,J3
550,L,L1
551,B,B3
552,Q,Q2
553,J,J2
554,N,N1
555,O,O3
556,U,U3
557,U,U3
558,F,F3
559,O,O1
560,N,N1
561,G,G3
562,K,K3
563,E,E1
564,U,U1
565,O,O2
566,W,W3
567,N,N2
568,W,W2
569,M,M2
570,D,D3
571,C,C1
572,U,U1
573,E,E2
574,E,E2
575,C,C2
576,F,F2
577,J,J1
578,O,O1
579,M,M2
580,L,L3
581,F,F3
582,C,C3
583,B,B3
584,J,J1
585,K,K3
586,S,S1
587,D,D3
588,F,F2
589,J,J2
590,C,C1
591,G,G3
592,K,K3
593,U,U3
594,B,B3
595,C,C1
596,Q,Q2
597,J,J1
598,U,U3
599,M,M2
600,B,B3
601,E,E1
602,F,F3
603,G,G3
604,G,G2
605,Q,Q2
606,M,M2
607,N,N2
608,D,D3
609,B,B1
610,99,99
611,Q,Q1
612,S,S3
613,Q,Q3
614,D,D1
615,E,E2
616,L,L3
617,U,U1
618,E,E2
619,L,L3
620,R,R1
621,O,O3
622,U,U3
623,Q,Q1
624,U,U2
625,S,S3
626,K,K3
627,B,B3
628,K,K3
629,R,R1
630,R,R2
631,D,D1
632,B,B1
633,K,K2
634,L,L1
635,Q,Q1
636,F,F3
637,F,F2
638,Q,Q2
639,S,S3
640,E,E1
641,L,L1
642,J,J1
643,W,W1
644,M,M2
645,J,J3
646,R,R1
647,B,B2
648,M,M2
649,M,M1
650,E,E3
651,W,W2
652,N,N1
653,D,D2
654,Q,Q3
655,E,E2
656,W,W1
657,Q,Q3
658,Q,Q3
659,K,K1
660,L,L2
661,J,J2
662,U,U2
663,O,O2
664,K,K3
665,N,N1
666,U,U1
667,99,99
668,W,W2
669,M,M3
670,D,D2
671,K,K2
672,E,E1
673,B,B2
674,U,U1
675,J,J3
676,R,R2
677,R,R1
678,D,D1
679,L,L2
680,N,N1
681,D,D3
682,F,F3
683,O,O1
684,O,O2
685,Q,Q3
686,E,E2
687,N,N3
688,C,C3
689,B,B1
690,B,B1
691,E,E2
692,D,D3
693,N,N1
694,W,W2
695,J,J3
696,U,U3
697,L,L2
698,J,J1
699,D,D2
700,E,E1
701,L,L2
702,L,L3
703,M,M2
704,J,J1
705,U,U2
706,M,M3
707,G,G1
708,B,B2
709,Q,Q3
710,D,D2
711,E,E2
712,B,B1
713,W,W2
714,D,D1
715,D,D1
716,U,U1
717,Q,Q3
718,K,K3
719,K,K1
720,G,G2
721,D,D3
722,M,M2
723,J,J1
724,L,L2
725,R,R2
726,C,C3
727,F,F1
728,L,L2
729,E,E2
730,U,U1
731,E,E2
732,U,U1
733,K,K1
734,W,W3
735,D,D3
736,M,M1
737,N,N3
738,E,E3
739,O,O3
740,U,U3
741,Q,Q2
742,N,N3
743,C,C3
744,O,O1
745,F,F2
746,M,M3
747,Q,Q3
748,G,G3
749,O,O1
750,O,O2
751,J,J2
752,R,R1
753,U,U2
754,O,O3
755,R,R1
756,G,G2
757,E,E1
758,C,C3
759,D,D2
760,F,F3
761,U,U1
762,Q,Q2
763,F,F3
764,E,E2
765,U,U1
766,E,E3
767,U,U2
768,R,R2
769,S,S1
770,O,O1
771,D,D3
772,M,M3
773,J,J1
774,B,B1
775,C,C3
776,N,N3
777,Q,Q1
778,E,E3
779,F,F1
780,R,R2
781,C,C3
782,R,R1
783,W,W1
784,D,D3
785,B,B3
786,S,S3
787,S,S3
788,S,S1
789,L,L2
790,B,B1
791,M,M2
792,W,W3
793,Q,Q2
794,U,U3
795,N,N3
796,J,J3
797,K,K1
798,B,B2
799,M,M2
800,B,B2
801,D,D2
802,N,N3
803,S,S2
804,B,B2
805,C,C1
806,R,R2
807,J,J1
808,B,B2
809,M,M1
810,C,C1
811,R,R2
812,M,M2
813,J,J1
814,J,J1
815,Q,Q3
816,J,J2
817,L,L1
818,J,J2
819,S,S3
820,D,D3
821,B,B1
822,J,J1
823,N,N2
824,F,F3
825,D,D1
826,W,W3
827,J,J2
828,G,G1
829,N,N2
830,B,B3
831,U,U1
832,G,G1
833,O,O1
834,G,G2
835,E,E2
836,N,N1
837,B,B1
838,F,F3
839,N,N3
840,B,B1
841,R,R2
842,W,W3
843,C,C2
844,E,E1
845,Q,Q2
846,G,G1
847,M,M3
848,M,M2
849,N,N1
850,N,N3
851,M,M3
852,E,E1
853,D,D3
854,E,E1
855,C,C3
856,L,L2
857,S,S1
858,E,E1
859,F,F2
860,E,E3
861,D,D3
862,G,G3
863,D,D2
864,G,G2
865,N,N3
866,K,K2
867,D,D3
868,S,S3
869,B,B3
870,J,J2
871,B,B2
872,B,B2
873,G,G3
874,K,K2
875,S,S3
876,W,W2
877,N,N3
878,L,L3
879,K,K1
880,L,L1
881,N,N3
882,N,N3
883,G,G1
884,K,K2
885,B,B2
886,L,L2
887,L,L2
888,E,E3
889,D,D2
890,B,B3
891,D,D3
892,S,S3
893,G,G3
894,D,D1
895,W,W3
896,M,M3
897,E,E1
898,S,S1
899,D,D2
900,W,W2
901,J,J3
902,U,U2
903,G,G1
904,N,N2
905,L,L3
906,B,B3
907,E,E2
908,M,M3
909,S,S3
910,L,L2
911,L,L2
912,B,B3
913,N,N2
914,U,U3
915,G,G3
916,M,M2
917,M,M1
918,U,U3
919,U,U3
920,W,W3
921,G,G1
922,J,J2
923,N,N3
924,N,N3
925,K,K1
926,J,J2
927,B,B3
928,B,B3
929,F,F2
930,J,J1
931,M,M1
932,K,K1
933,E,E1
934,G,G3
935,L,L3
936,Q,Q2
937,D,D2
938,S,S3
939,E,E1
940,M,M2
941,L,L3
942,Q,Q1
943,L,L2
944,F,F3
945,U,U2
946,L,L2
947,L,L1
948,E,E2
949,F,F2
950,B,B1
951,Q,Q3
952,N,N1
953,W,W3
954,B,B1
955,U,U1
956,Q,Q3
957,U,U2
958,Q,Q1
959,U,U2
960,R,R2
961,K,K3
962,L,L2
963,R,R2
964,Q,Q2
965,N,N3
966,C,C1
967,E,E2
968,S,S2
969,G,G1
970,O,O3
971,Q,Q3
972,D,D2
973,K,K3
974,G,G3
975,G,G3
976,F,F2
977,S,S3
978,E,E2
979,G,G3
980,G,G1
981,L,L3
982,D,D3
983,J,J2
984,K,K3
985,G,G3
986,R,R1
987,U,U3
988,E,E1
989,Q,Q2
990,M,M2
991,E,E1
992,J,J2
993,E,E1
994,U,U1
995,D,D3
996,Q,Q2
997,N,N1
998,D,D2
999,Q,Q1
1000,J,J1
1001,M,M3
1002,K,K2
1003,N,N3
1004,J,J1
1005,E,E1
1006,L,L2
1007,W,W3
1008,L,L2
1009,O,O1
1010,O,O1
1011,J,J1
1012,M,M3
1013,M,M3
1014,W,W2
1015,M,M3
1016,M,M1
1017,C,C3
1018,S,S3
1019,B,B2
1020,G,G3
1021,L,L2
1022,U,U3
1023,L,L1
1024,Q,Q3
1025,N,N3
1026,M,M1
1027,L,L1
1028,U,U3
1029,B,B1
1030,D,D2
1031,Q,Q1
1032,E,E2
1033,G,G3
1034,G,G3
1035,M,M3
1036,E,E3
1037,B,B1
1038,F,F2
1039,J,J3
1040,L,L3
1041,J,J3
1042,F,F3
1043,U,U1
1044,C,C1
1045,Q,Q3
1046,K,K1
1047,R,R1
1048,O,O3
1049,B,B3
1050,U,U2
1051,U,U1
1052,B,B1
1053,L,L3
1054,E,E1
1055,U,U1
1056,F,F2
1057,B,B3
1058,J,J3
1059,U,U2
1060,U,U1
1061,N,N2
1062,W,W2
1063,B,B2
1064,O,O1
1065,R,R2
1066,C,C2
1067,U,U2
1068,J,J2
1069,E,E1
1070,N,N2
1071,M,M3
1072,C,C1
1073,E,E2
1074,O,O2
1075,E,E2
1076,F,F2
1077,C,C3
1078,B,B3
1079,C,C2
1080,C,C1
1081,Q,Q2
1082,N,N2
1083,B,B2
1084,W,W3
1085,K,K2
1086,J,J3
1087,C,C2
1088,D,D1
1089,C,C3
1090,W,W3
1091,W,W2
1092,D,D1
1093,S,S3
1094,U,U1
1095,G,G3
1096,J,J1
1097,E,E2
1098,F,F1
1099,M,M1
1100,S,S3
1101,L,L2
1102,B,B2
1103,D,D1
1104,U,U2
1105,E,E2
1106,J,J3
1107,L,L3
1108,U,U3
1109,D,D2
1110,W,W2
1111,E,E1
1112,N,N1
1113,Q,Q3
1114,O,O1
1115,L,L2
1116,L,L2
1117,W,W2
1118,G,G3
1119,J,J3
1120,E,E1
1121,F,F3
1122,K,K2
1123,Q,Q2
1124,N,N1
1125,K,K1
1126,B,B3
1127,U,U1
1128,F,F2
1129,R,R1
1130,C,C1
1131,C,C2
1132,U,U1
1133,R,R2
1134,R,R2
1135,F,F3
1136,C,C3
1137,O,O2
1138,G,G1
1139,C,C3
1140,C,C1
1141,C,C1
1142,N,N2
1143,W,W3
1144,L,L3
1145,R,R2
1146,B,B3
1147,K,K2
1148,M,M2
1149,S,S2
1150,L,L3
1151,D,D1
1152,Q,Q2
1153,N,N1
1154,F,F1
1155,K,K1
1156,M,M2
1157,U,U1
1158,W,W1
1159,R,R1
1160,E,E2
1161,C,C2
1162,Q,Q1
1163,W,W3
1164,W,W3
1165,J,J3
1166,99,99
1167,Q,Q3
1168,G,G1
1169,M,M2
1170,M,M2
1171,K,K2
1172,C,C1
1173,R,R2
1174,O,O2
1175,K,K2
1176,L,L3
1177,R,R3
1178,J,J1
1179,F,F1
1180,C,C2
1181,L,L3
1182,E,E1
1183,F,F2
1184,E,E2
1185,L,L2
1186,O,O2
1187,B,B1
1188,N,N1
1189,B,B2
1190,B,B1
1191,D,D2
1192,B,B3
1193,N,N3
1194,R,R2
1195,O,O3
1196,L,L3
1197,M,M1
1198,M,M1
1199,M,M2
1200,N,N2
1201,J,J3
1202,U,U1
1203,E,E1
1204,S,S2
1205,B,B2
1206,Q,Q2
1207,S,S3
1208,Q,Q2
1209,R,R3
1210,K,K1
1211,U,U2
1212,U,U2
1213,D,D3
1214,C,C3
1215,B,B1
1216,C,C2
1217,U,U3
1218,Q,Q2
1219,U,U2
1220,R,R3
1221,Q,Q1
1222,F,F1
1223,E,E1
1224,L,L1
1225,M,M2
1226,S,S1
1227,W,W1
1228,J,J2
1229,D,D3
1230,E,E2
1231,K,K1
1232,O,O3
1233,Q,Q3
1234,M,M1
1235,L,L2
1236,S,S3
1237,W,W3
1238,W,W2
1239,N,N1
1240,Q,Q2
1241,D,D3
1242,W,W3
1243,Q,Q3
1244,E,E3
1245,F,F2
1246,G,G3
1247,M,M3
1248,O,O2
1249,C,C2
1250,J,J1
1251,R,R2
1252,L,L3
1253,W,W3
1254,F,F3
1255,E,E3
1256,M,M2
1257,S,S1
1258,S,S2
1259,E,E3
1260,C,C2
1261,U,U2
1262,M,M1
1263,N,N3
1264,C,C2
1265,E,E3
1266,E,E2
1267,D,D2
1268,J,J3
1269,N,N1
1270,F,F3
1271,C,C1
1272,Q,Q3
1273,C,C2
1274,G,G3
1275,B,B2
1276,G,G1
1277,L,L2
1278,E,E2
1279,M,M2
1280,E,E1
1281,Q,Q1
1282,F,F1
1283,C,C1
1284,U,U3
1285,B,B2
1286,S,S3
1287,J,J1
1288,D,D1
1289,E,E3
1290,D,D2
1291,C,C3
1292,K,K1
1293,S,S3
1294,D,D3
1295,N,N1
1296,L,L1
1297,J,J2
1298,J,J3
1299,J,J2
1300,W,W3
1301,Q,Q3
1302,Q,Q2
1303,K,K1
1304,M,M1
1305,K,K1
1306,U,U3
1307,J,J3
1308,N,N2
1309,O,O3
1310,Q,Q2
1311,L,L1
1312,N,N3
1313,C,C2
1314,D,D1
1315,S,S3
1316,S,S1
1317,B,B3
1318,Q,Q2
1319,B,B1
1320,U,U3
1321,Q,Q1
1322,Q,Q1
1323,J,J2
1324,J,J2
1325,K,K2
1326,G,G1
1327,N,N1
1328,G,G2
1329,O,O2
1330,M,M3
1331,M,M3
1332,W,W1
1333,F,F3
1334,G,G1
1335,B,B2
1336,S,S1
1337,N,N2
1338,D,D3
1339,L,L3
1340,J,J2
1341,E,E3
1342,K,K3
1343,O,O3
1344,R,R1
1345,E,E1
1346,E,E1
1347,S,S2
1348,W,W2
1349,U,U3
1350,W,W1
1351,D,D1
1352,B,B1
1353,W,W3
1354,M,M3
1355,B,B3
1356,F,F3
1357,M,M3
1358,B,B2
1359,O,O2
1360,R,R2
1361,N,N2
1362,U,U1
1363,C,C1
1364,G,G3
1365,N,N1
1366,C,C3
1367,W,W3
1368,G,G3
1369,R,R1
1370,U,U1
1371,U,U2
1372,L,L2
1373,L,L1
1374,R,R2
1375,Q,Q2
1376,Q,Q2
1377,D,D2
1378,U,U1
1379,J,J2
1380,O,O1
1381,N,N2
1382,W,W3
1383,U,U3
1384,S,S3
1385,U,U1
1386,M,M2
1387,D,D2
1388,W,W2
1389,U,U3
1390,99,99
1391,K,K1
1392,U,U2
1393,C,C2
1394,S,S3
1395,S,S2
1396,Q,Q2
1397,D,D2
1398,B,B3
1399,D,D1
1400,W,W3
1401,R,R1
1402,J,J3
1403,K,K3
1404,Q,Q2
1405,C,C1
1406,J,J2
1407,D,D1
1408,Q,Q1
1409,S,S3
1410,J,J2
1411,G,G2
1412,U,U3
1413,L,L3
1414,D,D1
1415,L,L2
1416,N,N1
1417,E,E1
1418,B,B1
1419,F,F2
1420,C,C3
1421,D,D1
1422,D,D3
1423,R,R1
1424,J,J1
1425,R,R3
1426,D,D1
1427,D,D2
1428,K,K2
1429,S,S3
1430,S,S2
1431,E,E3
1432,N,N3
1433,B,B3
1434,U,U1
1435,N,N3
1436,C,C3
1437,G,G2
1438,N,N1
1439,K,K1
1440,F,F3
1441,N,N3
1442,D,D2
1443,F,F3
1444,Q,Q3
1445,O,O2
1446,R,R3
1447,D,D3
1448,W,W2
1449,C,C2
1450,K,K2
1451,S,S3
1452,D,D3
1453,M,M2
1454,Q,Q1
1455,R,R3
1456,E,E3
1457,D,D1
1458,E,E1
1459,B,B3
1460,M,M2
1461,W,W1
1462,M,M3
1463,E,E1
1464,E,E2
1465,K,K1
1466,M,M1
1467,K,K3
1468,N,N1
1469,N,N2
1470,J,J3
1471,U,U2
1472,R,R2
1473,F,F2
1474,Q,Q2
1475,M,M1
1476,K,K1
1477,U,U3
1478,J,J2
1479,F,F2
1480,S,S3
1481,B,B1
1482,E,E2
1483,R,R2
1484,G,G3
1485,J,J3
1486,N,N2
1487,L,L1
1488,D,D1
1489,G,G2
1490,W,W3
1491,Q,Q2
1492,D,D1
1493,O,O1
1494,G,G1
1495,E,E2
1496,E,E2
1497,E,E3
1498,L,L1
1499,M,M3
1500,L,L1
1501,M,M2
1502,L,L1
1503,E,E2
1504,K,K3
1505,K,K1
1506,N,N1
1507,J,J3
1508,J,J2
1509,L,L1
1510,N,N2
1511,E,E1
1512,D,D1
1513,J,J1
1514,E,E3
1515,J,J1
1516,B,B1
1517,G,G1
1518,O,O2
1519,M,M3
1520,N,N3
1521,N,N1
1522,O,O3
1523,D,D1
1524,E,E1
1525,U,U2
1526,M,M3
1527,U,U2
1528,R,R3
1529,U,U2
1530,L,L2
1531,U,U3
1532,E,E1
1533,L,L3
1534,G,G2
1535,F,F1
1536,M,M2
1537,E,E1
1538,Q,Q2
1539,M,M3
1540,N,N3
1541,E,E2
1542,L,L1
1543,N,N2
1544,L,L2
1545,O,O2
1546,O,O3
1547,U,U2
1548,N,N1
1549,F,F3
1550,S,S3
1551,U,U2
1552,M,M1
1553,E,E3
1554,N,N1
1555,F,F3
1556,S,S1
1557,U,U2
1558,M,M3
1559,C,C2
1560,B,B1
1561,S,S3
1562,E,E3
1563,B,B1
1564,W,W3
1565,K,K3
1566,L,L3
1567,L,L3
1568,F,F1
1569,F,F3
1570,F,F2
1571,R,R2
1572,O,O2
1573,B,B2
1574,W,W3
1575,O,O2
1576,M,M2
1577,L,L1
1578,C,C1
1579,Q,Q3
1580,K,K3
1581,U,U2
1582,D,D3
1583,C,C2
1584,U,U3
1585,F,F1
1586,L,L3
1587,E,E1
1588,O,O3
1589,U,U3
1590,O,O1
1591,B,B1
1592,B,B2
1593,D,D1
1594,G,G3
1595,R,R3
1596,J,J1
1597,M,M1
1598,L,L1
1599,J,J2
1600,C,C3
1601,B,B3
1602,G,G2
1603,M,M2
1604,N,N3
1605,S,S3
1606,K,K1
1607,C,C3
1608,W,W3
1609,C,C2
1610,B,B2
1611,,
1612,G,G1
1613,L,L2
1614,N,N3
1615,R,R2
1616,E,E3
1617,D,D2
1618,F,F2
1619,L,L3
1620,J,J1
1621,L,L1
1622,C,C2
1623,N,N3
1624,B,B1
1625,D,D3
1626,M,M3
1627,Q,Q2
1628,O,O3
1629,W,W3
1630,J,J2
1631,99,99
1632,U,U1
1633,J,J2
1634,N,N1
1635,B,B2
1636,W,W1
1637,B,B2
1638,U,U3
1639,F,F1
1640,L,L1
1641,C,C1
1642,L,L1
1643,J,J2
1644,B,B2
1645,K,K1
1646,U,U1
1647,W,W3
1648,K,K1
1649,B,B2
1650,S,S3
1651,C,C2
1652,E,E3
1653,L,L2
1654,U,U3
1655,M,M2
1656,E,E3
1657,D,D1
1658,C,C2
1659,N,N2
1660,L,L2
1661,E,E3
1662,S,S3
1663,L,L3
1664,F,F3
1665,M,M3
1666,E,E2
1667,J,J2
1668,R,R2
1669,D,D3
1670,U,U2
1671,R,R1
1672,D,D2
1673,D,D1
1674,U,U2
1675,G,G3
1676,F,F2
1677,M,M2
1678,S,S3
1679,N,N1
1680,E,E1
1681,U,U3
1682,M,M3
1683,U,U1
1684,C,C3
1685,U,U1
1686,O,O1
1687,E,E2
1688,M,M1
1689,K,K1
1690,K,K3
1691,U,U3
1692,N,N3
1693,C,C3
1694,F,F1
1695,K,K3
1696,L,L3
1697,E,E1
1698,Q,Q1
1699,J,J1
1700,C,C3
1701,Q,Q2
1702,G,G2
1703,N,N3
1704,L,L1
1705,R,R1
1706,L,L1
1707,N,N3
1708,S,S1
1709,J,J2
1710,L,L2
1711,F,F2
1712,Q,Q3
1713,F,F1
1714,E,E2
1715,J,J1
1716,B,B3
1717,O,O1
1718,J,J2
1719,N,N1
1720,U,U2
1721,M,M1
1722,N,N2
1723,K,K3
1724,Q,Q3
1725,Q,Q1
1726,J,J2
1727,U,U1
1728,S,S1
1729,N,N3
1730,M,M1
1731,M,M1
1732,U,U3
1733,J,J2
1734,K,K2
1735,D,D3
1736,N,N1
1737,M,M2
1738,W,W2
1739,Q,Q1
1740,N,N3
1741,E,E3
1742,J,J2
1743,N,N1
1744,J,J2
1745,M,M1
1746,J,J2
1747,N,N1
1748,L,L3
1749,B,B3
1750,N,N2
1751,J,J3
1752,L,L3
1753,E,E3
1754,U,U1
1755,B,B2
1756,Q,Q1
1757,O,O3
1758,G,G3
1759,B,B2
1760,N,N3
1761,U,U2
1762,J,J2
1763,G,G1
1764,C,C3
1765,U,U3
1766,B,B2
1767,J,J2
1768,C,C2
1769,J,J3
1770,U,U1
1771,C,C3
1772,J,J3
1773,E,E3
1774,N,N3
1775,E,E1
1776,W,W2
1777,B,B2
1778,J,J1
1779,L,L3
1780,M,M1
1781,N,N1
1782,D,D3
1783,O,O2
1784,M,M1
1785,W,W2
1786,S,S3
1787,Q,Q1
1788,G,G1
1789,J,J3
1790,N,N3
1791,J,J2
1792,N,N2
1793,K,K2
1794,J,J2
1795,R,R2
1796,D,D1
1797,Q,Q2
1798,E,E3
1799,J,J3
1800,D,D1
1801,R,R2
1802,D,D1
1803,D,D2
1804,G,G3
1805,B,B2
1806,C,C3
1807,F,F1
1808,W,W1
1809,Q,Q2
1810,W,W3
1811,B,B3
1812,N,N1
1813,J,J1
1814,W,W2
1815,M,M1
1816,O,O3
1817,E,E2
1818,K,K1
1819,C,C3
1820,D,D3
1821,E,E3
1822,S,S3
1823,M,M3
1824,N,N3
1825,L,L2
1826,R,R2
1827,J,J1
1828,Q,Q1
1829,W,W1
1830,K,K1
1831,M,M3
1832,M,M1
1833,E,E1
1834,U,U1
1835,R,R3
1836,N,N3
1837,M,M1
1838,Q,Q2
1839,W,W3
1840,C,C2
1841,S,S3
1842,N,N2
1843,F,F1
1844,L,L2
1845,N,N3
1846,C,C2
