id,school_name,phone_number,address,zip_code,website,shape_id,grade_id,city_id
54,Bertschi School,206.324.5476,2227 10th Ave E,98102_4177,www.bertschi.org,NULL,NULL,NULL
55,Holy Rosary Elementary,206.937.7255,4142 42nd Ave SW,98116_4202,www.holyrosaryws.org,NULL,NULL,NULL
56,North Seattle French School,206.218.2175,6615 Dayton Ave N,98103_5215,www.northseattlefrenchschool.com,NULL,NULL,NULL
57,Puget Sound Community School,206.324.4350,660 S Dearborn St,98134_1328,www.pscs.org,NULL,NULL,NULL
58,O'Dea High School,206.622.6596,802 Terry Ave,98104_1294,www.odea.org,NULL,NULL,NULL
59,St. Catherine School,206.525.0582,8524 8th Ave NE,98115_3099,www.stcatherineschool.net,NULL,NULL,NULL
60,Bishop Blanchet High School,206.527.7711,8200 Wallingford Ave N,98103_4599,www.bishopblanchet.org,NULL,NULL,NULL
61,Northwest School,206.682.7309,1415 Summit Ave,98122_3619,www.northwestschool.org,NULL,NULL,NULL
62,Christ the King School,206.364.6890,415 N 117th St,98133_8309,www.ckseattle.org,NULL,NULL,NULL
63,Valley School,206.328.4475,309 31st Ave E,98112_4819,www.thevalleyschool.org,NULL,NULL,NULL
64,Seattle Girls School,206.709.2228,2706 S Jackson St ,98144_2442,www.seattlegirlsschool.org,NULL,NULL,NULL
65,Dartmoor School__Seattle,425.885.1123,9618 Roosevelt Way NE          ,98115_2236,www.dartmoor.org,NULL,NULL,NULL
66,Hope Lutheran School,206.935.8500,4456 42nd Ave SW,98116_4223,www.hopeseattle.org,NULL,NULL,NULL
67,Seattle Country Day School,206.284.6220,2619 4th Ave N,98109_1903,www.seattlecountryday.org,NULL,NULL,NULL
68,St. George School,206.762.0656,5117 13th Ave S,98108_2309,www.saintgeorgeseattle.org,NULL,NULL,NULL
69,Brightmont Academy_Seattle Campus,206.284.2300,9750 Third Ave NE  Ste 102   ,98115_2022,www.brightmontacademy.com ,NULL,NULL,NULL
70,Torah Day School of Seattle,206.722.1200,1625 S Columbia Way,98108,www.tdsseattle.org,NULL,NULL,NULL
71,University Child Development School,206.547.8237,5062 9th Ave NE,98105_3605,www.ucds.org,NULL,NULL,NULL
72,Seattle Hebrew Academy,206.323.5750,1617 Interlaken Dr E,98112_3499,www.seattlehebrewacademy.org,NULL,NULL,NULL
73,Seattle Amistad School,206.330.6373,2410 E Cherry,98122,seattleamistadschool.org,NULL,NULL,NULL
74,Fairview Christian School                                              ,206.526.0762,844 NE 78th St,98115_4202,www.fcsseattle.org,NULL,NULL,NULL
75,Holy Names Academy,206.323.4272,728 21st Ave E,98112_4058,www.holynames_sea.org,NULL,NULL,NULL
76,University Cooperative School,206.524.0653,5601 University Ave NE,98105_2619,www.ucoopschool.org,NULL,NULL,NULL
77,St. John School,206.783.0337,120 N 79th St,98103_4688,www.stjohnsea.org,NULL,NULL,NULL
78,Our Lady of Fatima School,206.283.7031,3301 W Dravus St,98199_2624,www.olfatima.org,NULL,NULL,NULL
79,St. Anne School,206.282.3538,101 W Lee St,98119_3321,www.stannesea.org,NULL,NULL,NULL
80,Derech Emunah dba Seattle Jewish Girls High School,206.790.1475,650 S Orcas   Suite 200,98108,www.derechemunah.com,NULL,NULL,NULL
