id,Address,Latitude,Longitude,Location
58,1913 7TH AVE,47.61487609,-122.33749589,"(47.61487609, -122.33749589)"
59,7414 34TH AVE NW,47.68283899,-122.40021794,"(47.68283899, -122.40021794)"
60,2326 CALIFORNIA AVE SW,47.58212466,-122.38612535,"(47.58212466, -122.38612535)"
61,7530 DETROIT AVE SW,47.53532717,-122.3378589,"(47.53532717, -122.3378589)"
62,7338 44TH AVE SW,47.53727246,-122.38822044,"(47.53727246, -122.38822044)"
63,8724 HOLMAN RD NW,47.69354613,-122.37581156,"(47.69354613, -122.37581156)"
64,8724 HOLMAN RD NW,47.69354613,-122.37581156,"(47.69354613, -122.37581156)"
65,3816 22ND AVE SW,47.56964185,-122.36084374,"(47.56964185, -122.36084374)"
66,4225 2ND AVE S,47.5654948,-122.33222511,"(47.5654948, -122.33222511)"
67,322 21ST AVE E,47.62208705,-122.30437139,"(47.62208705, -122.30437139)"
68,2320 S WARSAW ST,47.54424334,-122.30347684,"(47.54424334, -122.30347684)"
69,11 W ALOHA ST,47.62684241,-122.35737496,"(47.62684241, -122.35737496)"
70,331 N 84TH ST,47.6896596,-122.35388734,"(47.6896596, -122.35388734)"
71,331 N 84TH ST,47.6896596,-122.35388734,"(47.6896596, -122.35388734)"
72,3532 45TH AVE NE,47.654742,-122.27896603,"(47.654742, -122.27896603)"
73,322 21ST AVE E,47.62208705,-122.30437139,"(47.62208705, -122.30437139)"
74,318 NE NORTHGATE WAY,47.70911857,-122.32530577,"(47.70911857, -122.32530577)"
75,2135 NW 97TH ST,47.69946335,-122.38452127,"(47.69946335, -122.38452127)"
76,2135 NW 97TH ST,47.69946335,-122.38452127,"(47.69946335, -122.38452127)"
77,8100 8TH AVE S,47.53096937,-122.32270544,"(47.53096937, -122.32270544)"
78,9818 ROOSEVELT WAY NE,47.70095172,-122.31736905,"(47.70095172, -122.31736905)"
79,9818 ROOSEVELT WAY NE,47.70095172,-122.31736905,"(47.70095172, -122.31736905)"
80,6516 12TH AVE NE,47.67641731,-122.31535713,"(47.67641731, -122.31535713)"
81,1803 42ND AVE E,47.63471593,-122.27880622,"(47.63471593, -122.27880622)"
82,2021 7TH AVE,47.61523711,-122.33836402,"(47.61523711, -122.33836402)"
83,3814 NE 95TH ST,47.69763293,-122.28715111,"(47.69763293, -122.28715111)"
84,3814 NE 95TH ST,47.69763293,-122.28715111,"(47.69763293, -122.28715111)"
85,2545 37TH AVE W,47.64259821,-122.40526305,"(47.64259821, -122.40526305)"
86,2001 8TH AVE,47.61578904,-122.33727143,"(47.61578904, -122.33727143)"
87,4029 E MADISON ST,47.63392716,-122.28023081,"(47.63392716, -122.28023081)"
88,7112 48TH AVE S,47.53854212,-122.27241268,"(47.53854212, -122.27241268)"
89,6000 16TH AVE SW,47.54700382,-122.35308846,"(47.54700382, -122.35308846)"
90,608 NW 65TH ST,47.67623783,-122.36383881,"(47.67623783, -122.36383881)"
91,9728 34TH AVE SW,47.51585029,-122.37529798,"(47.51585029, -122.37529798)"
92,9728 34TH AVE SW,47.51585029,-122.37529798,"(47.51585029, -122.37529798)"
93,420 N 125TH ST,47.71979221,-122.3532256,"(47.71979221, -122.3532256)"
94,5201 RAVENNA AVE NE,47.66658485,-122.30373155,"(47.66658485, -122.30373155)"
95,5201 RAVENNA AVE NE,47.66658485,-122.30373155,"(47.66658485, -122.30373155)"
96,821 2ND AVE,47.60403796,-122.33498562,"(47.60403796, -122.33498562)"
97,1723 18TH AVE,47.61712226,-122.30922926,"(47.61712226, -122.30922926)"
98,819 BOYLSTON AVE,47.60969807,-122.32123566,"(47.60969807, -122.32123566)"
99,356 N 80TH ST,47.68714579,-122.35280382,"(47.68714579, -122.35280382)"
100,1300 1ST AVE,47.60740726,-122.33778279,"(47.60740726, -122.33778279)"
101,4878 BEACON AVE S,47.55881351,-122.3039544,"(47.55881351, -122.3039544)"
102,520 PIKE ST,47.61125861,-122.33495033,"(47.61125861, -122.33495033)"
103,1622 34TH AVE,47.61593215,-122.28892437,"(47.61593215, -122.28892437)"
104,8045 40TH AVE NE,47.68798827,-122.28557918,"(47.68798827, -122.28557918)"
105,6204 12TH AVE NE,47.67358147,-122.31540491,"(47.67358147, -122.31540491)"
106,4733 UNIVERSITY WAY NE,47.66411377,-122.31349388,"(47.66411377, -122.31349388)"
107,4147 52ND AVE SW,47.56529623,-122.39914037,"(47.56529623, -122.39914037)"
108,4758 23RD AVE SW,47.55938932,-122.36121115,"(47.55938932, -122.36121115)"
109,3532 45TH AVE NE,47.654742,-122.27896603,"(47.654742, -122.27896603)"
110,5011 S DAWSON ST,47.55470208,-122.27016583,"(47.55470208, -122.27016583)"
111,400 FAIRVIEW AVE N,47.62251637,-122.33391663,"(47.62251637, -122.33391663)"
112,1623 14TH AVE,47.61607339,-122.31465128,"(47.61607339, -122.31465128)"
113,3876 BRIDGE WAY N,47.65380862,-122.34354706,"(47.65380862, -122.34354706)"
114,5907 M L KING JR WAY S,47.54959277,-122.28822252,"(47.54959277, -122.28822252)"
115,4004 WHITMAN AVE N,47.65565276,-122.34572445,"(47.65565276, -122.34572445)"
116,5011 S DAWSON ST,47.55470208,-122.27016583,"(47.55470208, -122.27016583)"
117,2264 12TH AVE W,47.64055388,-122.37232759,"(47.64055388, -122.37232759)"
118,2264 12TH AVE W,47.64055388,-122.37232759,"(47.64055388, -122.37232759)"
119,1925 AIRPORT WAY S,47.58577803,-122.32187071,"(47.58577803, -122.32187071)"
120,,,,
121,2008 5TH AVE,47.61409589,-122.33914639,"(47.61409589, -122.33914639)"
122,666 S DEARBORN ST,47.59644968,-122.32416271,"(47.59644968, -122.32416271)"
123,1172 REPUBLICAN ST,47.62326774,-122.33324376,"(47.62326774, -122.33324376)"
124,2349 HARBOR AVE SW,47.58143778,-122.37511445,"(47.58143778, -122.37511445)"
125,5035 26TH AVE S,47.55625232,-122.29949098,"(47.55625232, -122.29949098)"
126,568 1ST AVE S,47.59639784,-122.33369863,"(47.59639784, -122.33369863)"
127,700 5TH AVE,47.60501319,-122.32989532,"(47.60501319, -122.32989532)"
128,2350 10TH AVE E,47.64079877,-122.31973853,"(47.64079877, -122.31973853)"
129,2600 14TH AVE W,47.6430824,-122.37464231,"(47.6430824, -122.37464231)"
130,2600 14TH AVE W,47.6430824,-122.37464231,"(47.6430824, -122.37464231)"
131,3657 44TH AVE SW,47.57038378,-122.38845804,"(47.57038378, -122.38845804)"
132,3853 E OLIVE ST,47.61629742,-122.28433878,"(47.61629742, -122.28433878)"
133,213 N 85TH ST,47.69033457,-122.35595009,"(47.69033457, -122.35595009)"
134,5601 6TH AVE S,47.55238936,-122.32763153,"(47.55238936, -122.32763153)"
135,1500H 42ND AVE E,47.63218946,-122.27848572,"(47.63218946, -122.27848572)"
136,2602 14TH AVE W,47.64311963,-122.37455224,"(47.64311963, -122.37455224)"
137,904 SW PORTLAND ST,47.53360759,-122.34751439,"(47.53360759, -122.34751439)"
138,904 SW PORTLAND ST,47.53360759,-122.34751439,"(47.53360759, -122.34751439)"
139,908 SW PORTLAND ST,47.53345889,-122.3475131,"(47.53345889, -122.3475131)"
140,908 SW PORTLAND ST,47.53345889,-122.3475131,"(47.53345889, -122.3475131)"
141,900 SW PORTLAND ST,47.53359902,-122.34733699,"(47.53359902, -122.34733699)"
142,900 SW PORTLAND ST,47.53359902,-122.34733699,"(47.53359902, -122.34733699)"
143,906 SW PORTLAND ST,47.53354336,-122.3475115,"(47.53354336, -122.3475115)"
144,906 SW PORTLAND ST,47.53354336,-122.3475115,"(47.53354336, -122.3475115)"
145,902 SW PORTLAND ST,47.53345701,-122.34732933,"(47.53345701, -122.34732933)"
146,902 SW PORTLAND ST,47.53345701,-122.34732933,"(47.53345701, -122.34732933)"
147,3932 1ST AVE NE,47.65476026,-122.32764222,"(47.65476026, -122.32764222)"
148,3932 1ST AVE NE,47.65476026,-122.32764222,"(47.65476026, -122.32764222)"
149,3934 1ST AVE NE,47.65476026,-122.32764222,"(47.65476026, -122.32764222)"
150,3934 1ST AVE NE,47.65476026,-122.32764222,"(47.65476026, -122.32764222)"
151,2312 19TH AVE S,47.58253933,-122.30787817,"(47.58253933, -122.30787817)"
152,,,,
153,6531 22ND AVE NW,47.67690596,-122.38456406,"(47.67690596, -122.38456406)"
154,2105 S ORCAS ST,47.55094183,-122.30578222,"(47.55094183, -122.30578222)"
155,2105 S ORCAS ST,47.55094183,-122.30578222,"(47.55094183, -122.30578222)"
156,5710 NE 56TH ST,47.66946873,-122.26638804,"(47.66946873, -122.26638804)"
157,11031 38TH AVE NE,47.70933846,-122.28833674,"(47.70933846, -122.28833674)"
158,2716 S DEARBORN ST,47.59581256,-122.2967795,"(47.59581256, -122.2967795)"
159,2716 S DEARBORN ST,47.59581256,-122.2967795,"(47.59581256, -122.2967795)"
160,6531 22ND AVE NW,47.67690596,-122.38456406,"(47.67690596, -122.38456406)"
161,1501 WESTERN AVE,47.60836515,-122.34158746,"(47.60836515, -122.34158746)"
162,1101 MADISON ST,47.6092117,-122.32426736,"(47.6092117, -122.32426736)"
163,2312 19TH AVE S,47.58253933,-122.30787817,"(47.58253933, -122.30787817)"
164,401 BOYLSTON AVE E,47.62215587,-122.3234374,"(47.62215587, -122.3234374)"
165,5555 17TH AVE S,47.55178156,-122.31139095,"(47.55178156, -122.31139095)"
166,5555 17TH AVE S,47.55178156,-122.31139095,"(47.55178156, -122.31139095)"
167,7701 13TH AVE SW,47.53416117,-122.35203527,"(47.53416117, -122.35203527)"
168,9240 3RD AVE NW,47.69729327,-122.36041576,"(47.69729327, -122.36041576)"
169,307 W MCGRAW ST,47.6394386,-122.3614632,"(47.6394386, -122.3614632)"
170,,,,
171,3300 W MCGRAW ST,47.63988645,-122.39997914,"(47.63988645, -122.39997914)"
172,508 NW 44TH ST,47.66065335,-122.36331587,"(47.66065335, -122.36331587)"
173,2211 ELLIOTT AVE,47.61170123,-122.34779196,"(47.61170123, -122.34779196)"
174,2401 UTAH AVE S,47.58181846,-122.33535751,"(47.58181846, -122.33535751)"
175,1020 5TH AVE N,47.62869012,-122.34719784,"(47.62869012, -122.34719784)"
176,2200 1ST AVE N,47.63846789,-122.35515891,"(47.63846789, -122.35515891)"
177,6506 41ST AVE SW,47.54454605,-122.38419114,"(47.54454605, -122.38419114)"
178,6506 41ST AVE SW,47.54454605,-122.38419114,"(47.54454605, -122.38419114)"
179,2500 3RD AVE W,47.64156611,-122.36058723,"(47.64156611, -122.36058723)"
180,2332 50TH AVE SW,47.58214494,-122.39425925,"(47.58214494, -122.39425925)"
181,1220 SW MASSACHUSETTS ST,47.58725053,-122.35194098,"(47.58725053, -122.35194098)"
182,3402 35TH AVE S,47.57232555,-122.28852691,"(47.57232555, -122.28852691)"
183,9315 22ND AVE NW,47.69670741,-122.38463834,"(47.69670741, -122.38463834)"
184,9315 22ND AVE NW,47.69670741,-122.38463834,"(47.69670741, -122.38463834)"
185,1505 WESTLAKE AVE N,47.63264186,-122.34172768,"(47.63264186, -122.34172768)"
186,5500 35TH AVE NE,47.66865435,-122.28997481,"(47.66865435, -122.28997481)"
187,2432 MAGNOLIA BLVD W,47.64057122,-122.41163507,"(47.64057122, -122.41163507)"
188,3916 CALIFORNIA AVE SW,47.56877206,-122.38633364,"(47.56877206, -122.38633364)"
189,5544 27TH AVE NE,47.66980327,-122.29818359,"(47.66980327, -122.29818359)"
190,5540 27TH AVE NE,47.66971513,-122.2981606,"(47.66971513, -122.2981606)"
191,900 4TH AVE,47.60587719,-122.33204966,"(47.60587719, -122.33204966)"
192,521 W RAYE ST,47.64289216,-122.36455691,"(47.64289216, -122.36455691)"
193,2813 3RD AVE W,47.64532597,-122.36115799,"(47.64532597, -122.36115799)"
194,3223 1ST AVE S,47.57495554,-122.33464746,"(47.57495554, -122.33464746)"
195,7502 30TH AVE NE,47.68322895,-122.29551058,"(47.68322895, -122.29551058)"
196,2833 10TH AVE E,47.64662429,-122.31996647,"(47.64662429, -122.31996647)"
197,2318 BELVIDERE AVE SW,47.58275181,-122.37922259,"(47.58275181, -122.37922259)"
198,2318 BELVIDERE AVE SW,47.58275181,-122.37922259,"(47.58275181, -122.37922259)"
199,2616 NW 56TH ST,47.6696779,-122.39094763,"(47.6696779, -122.39094763)"
200,2620 NW 56TH ST,47.66967726,-122.39115447,"(47.66967726, -122.39115447)"
201,303 S JACKSON ST,47.59871334,-122.32991008,"(47.59871334, -122.32991008)"
202,7509 AURORA AVE N,47.68361712,-122.34483744,"(47.68361712, -122.34483744)"
203,8118 LATONA AVE NE,47.68814115,-122.32541538,"(47.68814115, -122.32541538)"
204,1301 N NORTHLAKE WAY,47.6478881,-122.34214994,"(47.6478881, -122.34214994)"
205,432 NE RAVENNA BLVD,47.67825584,-122.32378041,"(47.67825584, -122.32378041)"
206,3905 43RD AVE S,47.56856499,-122.27988187,"(47.56856499, -122.27988187)"
207,1600 E JEFFERSON ST,47.60649299,-122.31122887,"(47.60649299, -122.31122887)"
208,2340 19TH AVE S,47.58169159,-122.30788217,"(47.58169159, -122.30788217)"
209,715 NW 90TH ST,47.6940849,-122.36543918,"(47.6940849, -122.36543918)"
210,1610 3RD AVE N,47.63352293,-122.3517169,"(47.63352293, -122.3517169)"
211,7353 16TH AVE NW,47.68289432,-122.37812059,"(47.68289432, -122.37812059)"
212,12613 8TH AVE NE,47.72095546,-122.32116265,"(47.72095546, -122.32116265)"
213,1211 E ALDER ST,47.60423386,-122.31548619,"(47.60423386, -122.31548619)"
214,2709 NOB HILL AVE N,47.6447013,-122.35087091,"(47.6447013, -122.35087091)"
215,2551 S RAYMOND ST,47.54839874,-122.29765754,"(47.54839874, -122.29765754)"
216,1550 N 115TH ST,47.71425408,-122.3369027,"(47.71425408, -122.3369027)"
217,1550 N 115TH ST,47.71425408,-122.3369027,"(47.71425408, -122.3369027)"
218,1536 N 115TH ST,47.71260184,-122.33783193,"(47.71260184, -122.33783193)"
219,3605 INTERLAKE AVE N,47.65078018,-122.34164912,"(47.65078018, -122.34164912)"
220,5432 SEWARD PARK AVE S,47.55253464,-122.26294632,"(47.55253464, -122.26294632)"
221,1214 10TH AVE W,47.63034486,-122.37016179,"(47.63034486, -122.37016179)"
222,7406 DAYTON AVE N,47.68286429,-122.35230175,"(47.68286429, -122.35230175)"
223,6235 AIRPORT WAY S,47.54785836,-122.31485079,"(47.54785836, -122.31485079)"
224,2024 21ST AVE S,47.58528985,-122.30501692,"(47.58528985, -122.30501692)"
225,1625 42ND AVE E,47.63417227,-122.27882509,"(47.63417227, -122.27882509)"
226,213 18TH AVE,47.60396324,-122.30930183,"(47.60396324, -122.30930183)"
227,4745 WEST MARGINAL WAY SW,47.5599854,-122.35222458,"(47.5599854, -122.35222458)"
228,4745 WEST MARGINAL WAY SW,47.5599854,-122.35222458,"(47.5599854, -122.35222458)"
229,1625 42ND AVE E,47.63417227,-122.27882509,"(47.63417227, -122.27882509)"
230,213 18TH AVE,47.60396324,-122.30930183,"(47.60396324, -122.30930183)"
231,1521 1ST AVE S,47.58872242,-122.33476028,"(47.58872242, -122.33476028)"
232,7100 35TH AVE SW,47.53888877,-122.37616203,"(47.53888877, -122.37616203)"
233,315 N 105TH ST,47.7046043,-122.35465715,"(47.7046043, -122.35465715)"
234,3625 INTERLAKE AVE N,47.65138279,-122.34174479,"(47.65138279, -122.34174479)"
235,2010 NE NORTHGATE WAY,47.70873634,-122.30566327,"(47.70873634, -122.30566327)"
236,3613 4TH AVE S,47.57070622,-122.33011958,"(47.57070622, -122.33011958)"
237,7944 9TH AVE SW,47.53062729,-122.3465078,"(47.53062729, -122.3465078)"
238,9618 20TH AVE NE,47.69900664,-122.30664528,"(47.69900664, -122.30664528)"
239,509 OLIVE WAY,47.61275016,-122.33686713,"(47.61275016, -122.33686713)"
240,2825 3RD AVE W,47.645496,-122.36118175,"(47.645496, -122.36118175)"
241,3714 38TH AVE S,47.57016195,-122.28472463,"(47.57016195, -122.28472463)"
242,601 BELMONT AVE E,47.62464104,-122.32445393,"(47.62464104, -122.32445393)"
243,509 OLIVE WAY,47.61275016,-122.33686713,"(47.61275016, -122.33686713)"
244,5012 SW GENESEE ST,47.56549837,-122.39690312,"(47.56549837, -122.39690312)"
245,8021 EARL AVE NW,47.68738966,-122.39234317,"(47.68738966, -122.39234317)"
246,321 N 79TH ST,47.68610283,-122.35437451,"(47.68610283, -122.35437451)"
247,3021 NE 130TH ST,47.72270038,-122.29521288,"(47.72270038, -122.29521288)"
248,5619 M L KING JR WAY S,47.55135818,-122.28860098,"(47.55135818, -122.28860098)"
249,3423 13TH AVE W,47.65105206,-122.37389786,"(47.65105206, -122.37389786)"
250,5600 6TH AVE S,47.55222356,-122.32636629,"(47.55222356, -122.32636629)"
251,6921 ROOSEVELT WAY NE,47.67916422,-122.31764267,"(47.67916422, -122.31764267)"
252,6409 FRANCIS AVE N,47.67568282,-122.35364961,"(47.67568282, -122.35364961)"
253,708 23RD AVE,47.60835107,-122.3025652,"(47.60835107, -122.3025652)"
254,3025 NE 130TH ST,47.72239375,-122.29518044,"(47.72239375, -122.29518044)"
255,6733 CARLETON AVE S,47.54154739,-122.32233118,"(47.54154739, -122.32233118)"
256,6735 CARLETON AVE S,47.54156806,-122.32253724,"(47.54156806, -122.32253724)"
257,6735 CARLETON AVE S,47.54156806,-122.32253724,"(47.54156806, -122.32253724)"
258,6733 CARLETON AVE S,47.54154739,-122.32233118,"(47.54154739, -122.32233118)"
259,10713 19TH AVE NE,47.70722649,-122.30880681,"(47.70722649, -122.30880681)"
260,5950 OAKHURST RD S,47.54957088,-122.26227391,"(47.54957088, -122.26227391)"
261,915 FEDERAL AVE E,47.62730261,-122.31948946,"(47.62730261, -122.31948946)"
262,4428 EVANSTON AVE N,47.66107524,-122.35075478,"(47.66107524, -122.35075478)"
263,240 2ND AVE S,47.60022466,-122.33128396,"(47.60022466, -122.33128396)"
264,1730 MINOR AVE,47.61695645,-122.32966644,"(47.61695645, -122.32966644)"
265,3400 AIRPORT WAY S,47.57271129,-122.32203385,"(47.57271129, -122.32203385)"
266,3400 AIRPORT WAY S,47.57271129,-122.32203385,"(47.57271129, -122.32203385)"
267,935 NW 64TH ST,47.67509018,-122.3702512,"(47.67509018, -122.3702512)"
268,935 NW 64TH ST,47.67509018,-122.3702512,"(47.67509018, -122.3702512)"
269,935 NW 64TH ST,47.67509018,-122.3702512,"(47.67509018, -122.3702512)"
270,2400 3RD AVE,47.61582105,-122.34616655,"(47.61582105, -122.34616655)"
271,320 NW 112TH ST,47.71073602,-122.36177041,"(47.71073602, -122.36177041)"
272,312 NE LONGWOOD PL,47.68446507,-122.32499461,"(47.68446507, -122.32499461)"
273,300 NW 47TH ST,47.66308039,-122.36102269,"(47.66308039, -122.36102269)"
274,550 TERRY AVE N,47.62398599,-122.3367397,"(47.62398599, -122.3367397)"
275,2553 CRESTMONT PL W,47.64199062,-122.40767079,"(47.64199062, -122.40767079)"
276,2553 CRESTMONT PL W,47.64199062,-122.40767079,"(47.64199062, -122.40767079)"
277,9205 35TH AVE SW,47.52083977,-122.37705399,"(47.52083977, -122.37705399)"
278,9205 35TH AVE SW,47.52083977,-122.37705399,"(47.52083977, -122.37705399)"
279,3215 MAGNOLIA BLVD W,47.64918257,-122.41457615,"(47.64918257, -122.41457615)"
280,3215 MAGNOLIA BLVD W,47.64918257,-122.41457615,"(47.64918257, -122.41457615)"
281,537 N 137TH ST,47.7280012,-122.35178829,"(47.7280012, -122.35178829)"
282,2819 3RD AVE W,47.64548531,-122.36142945,"(47.64548531, -122.36142945)"
283,2819 3RD AVE W,47.64548531,-122.36142945,"(47.64548531, -122.36142945)"
284,4039 FAUNTLEROY WAY SW,47.56676084,-122.37431341,"(47.56676084, -122.37431341)"
285,2676 NE UNIVERSITY VILLAGE ST,47.66364172,-122.29776403,"(47.66364172, -122.29776403)"
286,2676 NE UNIVERSITY VILLAGE ST,47.66364172,-122.29776403,"(47.66364172, -122.29776403)"
287,2021 7TH AVE,47.61523711,-122.33836402,"(47.61523711, -122.33836402)"
288,701 5TH AVE,47.60454089,-122.33073506,"(47.60454089, -122.33073506)"
289,1420 5TH AVE,47.6105508,-122.33467931,"(47.6105508, -122.33467931)"
290,2019 S FERDINAND ST,47.55811296,-122.30645523,"(47.55811296, -122.30645523)"
291,2019 S FERDINAND ST,47.55811296,-122.30645523,"(47.55811296, -122.30645523)"
292,1500 16TH AVE,47.61429209,-122.31124863,"(47.61429209, -122.31124863)"
293,12016 DAYTON AVE N,47.71654337,-122.35261838,"(47.71654337, -122.35261838)"
294,1201 3RD AVE,47.60723772,-122.33612134,"(47.60723772, -122.33612134)"
295,1534 17TH AVE S,47.58890186,-122.31031376,"(47.58890186, -122.31031376)"
296,1536 17TH AVE S,47.58888973,-122.3102822,"(47.58888973, -122.3102822)"
297,1538 17TH AVE S,47.58887191,-122.31034188,"(47.58887191, -122.31034188)"
298,1538 17TH AVE S,47.58887191,-122.31034188,"(47.58887191, -122.31034188)"
299,2825B NE 105TH ST,47.70373305,-122.29585063,"(47.70373305, -122.29585063)"
300,321 15TH AVE E,47.62129736,-122.31316717,"(47.62129736, -122.31316717)"
301,4215 RAINIER AVE S,47.56523993,-122.28886386,"(47.56523993, -122.28886386)"
302,6213 37TH AVE NE,47.67433997,-122.28835122,"(47.67433997, -122.28835122)"
303,6213 37TH AVE NE,47.67433997,-122.28835122,"(47.67433997, -122.28835122)"
304,500 FAIRVIEW AVE N,47.62345613,-122.33409713,"(47.62345613, -122.33409713)"
305,7009 SEWARD PARK AVE S,47.53952385,-122.26776348,"(47.53952385, -122.26776348)"
306,10110 GREENWOOD AVE N,47.7026942,-122.35506018,"(47.7026942, -122.35506018)"
307,3811 CORLISS AVE N,47.65356257,-122.33177107,"(47.65356257, -122.33177107)"
308,5408 26TH AVE NE,47.66829243,-122.29920108,"(47.66829243, -122.29920108)"
309,3322 W GOVERNMENT WAY,47.6599128,-122.40053034,"(47.6599128, -122.40053034)"
310,213 W KINNEAR PL,47.62753282,-122.35987352,"(47.62753282, -122.35987352)"
311,213 W KINNEAR PL,47.62753282,-122.35987352,"(47.62753282, -122.35987352)"
312,213 W KINNEAR PL,47.62753282,-122.35987352,"(47.62753282, -122.35987352)"
313,325 N 90TH ST,47.69405026,-122.35455042,"(47.69405026, -122.35455042)"
314,1118 15TH AVE E,47.62942146,-122.312255,"(47.62942146, -122.312255)"
315,4616 44TH AVE S,47.56124328,-122.2778681,"(47.56124328, -122.2778681)"
316,1215 N 44TH ST,47.65977697,-122.34303857,"(47.65977697, -122.34303857)"
317,7036 43RD AVE NE,47.68062871,-122.28262296,"(47.68062871, -122.28262296)"
318,1817 28TH AVE W,47.63577601,-122.39336097,"(47.63577601, -122.39336097)"
319,3229 38TH AVE SW,47.57466437,-122.38060811,"(47.57466437, -122.38060811)"
