id,Type,Description,Value
3023935,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between 5 parcels of land. Proposed parcel sizes are: A) 3,750 sq. ft.; B) 3,750 sq. ft.; C) 3,780 sq. ft.; D) 3,752 sq. ft. and E) 3,781 sq. ft.",$0.00
3024064,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6481996. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023901,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units is under Project #6462604. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023894,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6477273. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023883,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow a 2-unit, 3-story rowhouse in an environmentally critical area. Parking for two vehicles to be provided. Existing structure to be demolished. Environmental Review includes future unit lot subdivision.",$280000.00
3023785,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units is under Project #6414042. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots. Environmental review conducted under Project #3017515.,$0.00
3023779,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units is under Project #6331558. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023180,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6485885. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023780,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units is under Project #6414041. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3024208,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A) 5,431 sq. ft. and B) 5,510 sq. ft. Existing structures are to be demolished.",$0.00
3023750,ENVIRONMENTALLY CRITICAL AREA,Land Use Application to allow a single family residence in an environmentally critical area.,$360000.00
3022527,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land.  Proposed parcel sizes are: A) 7,891 sq. ft. and B) 5,000 sq. ft.",$0.00
3020587,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW","Land Use Application to allow four, 2-unit townhomes (8 units total) in an environmentally critical area. Parking for 8 vehicles to be provided. Existing structures to be demolished. Environmental review include future Unit Lot Subdivision.",$888000.00
3020189,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",Land Use Application to allow a 7-story structure containing 135 apartments and 4 live-work units. Parking for 124 vehicles to be provided within the structure.,$15200000.00
3023958,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units is under Project #6434362. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3022468,SPECIAL EXCEPTION,"Land Use Application to allow a two story, single family dwelling in an environmentally critical area. Parking to be located on the site.",$173775.00
3024116,SHORT PLAT,"Land Use Application to subdivide one parcel of land into two parcels of land. Proposed sizes are: A) 1,601 sq. ft. and B) 3,398 sq. ft. Existing structures to be demolished.",$0.00
3023885,SEPA THRESHOLD DETERMINATION,Land Use Application to allow a 2-unit rowhouse with attached garages in an environmentally critical area. Parking for two vehicles to be provided. Existing structure to be demolished. Environmental Review includes future unit lot subdivision.,$280000.00
3022250,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW","Land Use Application to allow two 3-story, two unit townhouse structures (4 units total) in an environmentally critical area. Parking for four vehicles to be provided. Existing structure to be demolished. Environmental review includes future unit lot subdivision.",$950000.00
3022720,LOT BOUNDARY ADJUSTMENT PLAT,Land use application to adjust the boundary between three parcels of land resulting in to two parcels of land.,$0.00
3024150,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units is under Project #6490496. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3024103,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units are under Project #6507767. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3024011,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6476329. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023880,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6457930. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023430,SEPA THRESHOLD DETERMINATION,"Land Use Application to demolish a 14,992 sq. ft. institution (church).",$10000.00
3020906,"COUNCIL ACTION, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",Council Land Use Action to rezone a parcel of land from C1-65 to C1-85. Project includes land use application to allow an eight story building containing 143 hotel rooms and 113 apartments. Parking for 195 vehicles to be provided below grade. Existing buildings to be demolished.,$28000000.00
3023893,SHORT PLAT,Land Use Application to subdivide one development site into six unit lots. The construction of residential units is under Project #6481785. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3013294,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT, SHORELINE SPECIAL USE","Shoreline Substantial Development to allow improvements to the Seattle Ferry Terminal at Colman Dock. Replace the main terminal building, King County passenger only ferry facility, vehicle queuing, loading and unloading area, and passenger bridge. Construct a new entry building. Replace and reconfigure the timber pile portion of the dock, remove 2,600 timber piles and replace with 618 new steel and concrete piles. Project includes removal of a bulkhead and 7,700 cu. yds. of contaminated fill and",$5413035.00
3022655,SEPA THRESHOLD DETERMINATION,Land Use Application to change the use from auto repair to towing service.,$1000.00
3018292,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",Land Use Application to allow a 4-story apartment building containing 25 units. No proposed parking. Existing structure to be demolished.,$1080000.00
3023524,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6469888. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023618,SHORT PLAT,Land Use Application to subdivide one development site into seven unit lots. The construction of residential units is under Project #6472951. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023393,SEPA THRESHOLD DETERMINATION,Land Use Application to allow two 3-story single family residences in an environmentally critical area. Parking for two vehicles to be provided. Existing structure to be demolished. Environmental review includes future unit lot subdivision.,$475000.00
3022641,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",Land Use Application to allow a 4-story apartment building containing 27 small efficiency dwelling units. Existing structure to be demolished.,$1004696.00
3021266,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 6-story structure containing 110 apartments above 4,738 sq. ft. of commercial at ground level. Parking for 118 vehicles to be provided in three levels below grade.",$1500000.00
3024093,LOT BOUNDARY ADJUSTMENT PLAT,"Land Use application to adjust the boundary between two parcels of land. Proposed sizes are: A)3,399 sq. ft.; B) 1,600 sq. ft.  Existing structures to remain.",$0.00
3024093,LOT BOUNDARY ADJUSTMENT PLAT,"Land Use application to adjust the boundary between two parcels of land. Proposed sizes are: A)3,399 sq. ft.; B) 1,600 sq. ft.  Existing structures to remain.",$0.00
3018379,DESIGN REVIEW WITH EDG,EDG to allow a six story mixed-use building.,$0.00
3024024,LOT BOUNDARY ADJUSTMENT PLAT,"Land Use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A) 6,665 sq. ft.; B) 6,665 sq. ft. Existing single family units to remain and garage to be removed.",$0.00
3023025,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to change the use of existing structure from mini-warehouse to 110 hotel rooms, 50 apartments and retail. Project includes the addition of 8 stories to an existing 6 story building for a total of 14 stories.",$15255000.00
3019337,DESIGN REVIEW WITH EDG,Land Use Application to allow a 3-story assisted living facility. Parking for 36 vehicles to be provided on adjacent site at 5210 S Brandon St. Existing structure to be demolished.,$1433359.00
3024092,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are:A)1,705.1 sq ft b)2,317.8 sq ft",$0.00
3024098,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow a 25,000 sq. ft. retail building (grocery store). Surface parking for 76 vehicles will be provided, 15 spaces are by covenant parking. Demolition of existing structure is being reviewed under project 3022094. Project to be considered with project 3022094 for shared lighting, parking and access.",$5500000.00
3023717,SHORT PLAT,"Land Use application to subdivide one parcel of land into two parcels of land. Proposed sizes are: Y) 4,020 sq. ft. and Z) 4,020 sq. ft. Existing structure to be demolished.",$0.00
3022094,SEPA THRESHOLD DETERMINATION,"Land Use Application to demolish a 2-story 36,408 sq. ft. building and allow a two story, 14,600 sq. ft. retail building. Surface parking for 58 vehicles will be provided, 15 spaces are by covenant parking. To be considered with project 3024098 for shared lighting, access, and parking.",$3500000.00
3024046,LOT BOUNDARY ADJUSTMENT PLAT,Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are:A) B),$0.00
3023912,ADMINISTRATIVE CONDITIONAL USE,Land Use Application to locate a minor communication utility (Verizon Wireless) on Seattle City Light utility pole #1308481 within the right-of-way. The project includes attaching one antennas and one equipment enclosure to the existing pole. Final decision on placement of antennas will be made by Seattle City Light.,$5000.00
3023483,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units is under Project #6470077. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3024191,LOT BOUNDARY ADJUSTMENT PLAT,"Land Use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A)2,568 sq. ft.; B) 6,519 sq. ft. Existing structures to be demolished.",$0.00
3023631,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",Land Use Application to allow a four unit rowhouse structure with shared access to surface parking for seven vehicles. To be considered with Project #3022700 for shared access. Existing structures to be demolished. Environmental review includes future unit lot subdivision.,$630000.00
3022700,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",Land Use Application to allow a three unit townhouse structure with shared access to surface parking for seven vehicles. To be considered with Project #3023631 for shared access.  Existing structures to be demolished. Environmental review includes future unit lot subdivision.,$700000.00
3018203,,"- Demolition of existing garage, construction of new basement.",$0.00
3024124,SHORT PLAT,"Land Use Application to subdivide one parcel into three parcels of land. Proposed parcel sizes are:  XX) 1,170 sq. ft., YY) 732 sq.ft. and ZZ) 990 sq. ft. The construction of the live-work units was approved under Project #6484656.",$0.00
3023983,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units are under Project #6465117. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023863,SHORT PLAT,"Land Use Application to subdivide one parcel into three parcels of land. Proposed parcel sizes are: A) 785 sq. ft., B) 740 sq. ft.; and C) 4,244 sq. ft. Project also includes a unit lot subdivision of Parcel C into five unit lots. The construction of residential units is under Project #6419594. The subdivision of Parcel C is only for the purpose of allowing sale or lease of the unit lots. Development standards for Parcel C will be applied to Parcel C as a whole and not to each of the new unit lo",$0.00
3022087,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 14 story office, retail, and apartment building with 6-stories of office and 80 apartments. Parking for 370 vehicles in below grade garage. An Addendum to the South Lake Union Height and Density Environmental Impact Statement (EIS) is being prepared.",$100000000.00
3020932,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to construct 24-story structure containing 283 apartment above 9,900 sq. ft. of ground floor retail. Parking for 249 vehicles will be located below grade.",$60200000.00
3020590,LOT BOUNDARY ADJUSTMENT PLAT,Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are:A)8852SF; B)4133SF,$0.00
3023891,ADMINISTRATIVE CONDITIONAL USE,Application to locate a minor communication utility (Verizon) on a new Seattle City Light utility pole #1367212 within the right-of-way. The project includes attaching one panel antennas and one equipment enclosure to the new pole. Final decision on placement of antennas will be made by Seattle City Light.,$20000.00
3024099,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6463593. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023287,ADMINISTRATIVE CONDITIONAL USE,"Land Use Application to allow a new minor communication facility, low power FM Radio antenna, to the top of an existing institution within existing bell tower (University Methodist Temple).",$2500.00
3024113,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between three parcels of land. Proposed parcel sizes are: A) 5,210 sq ft., B) 4,162 sq ft. and C) 4,297 sq. ft. Existing structure on Parcel C to be demolished.",$0.00
3024010,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units is under Project #6490598. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023514,SHORT PLAT,Land Use Application to subdivide one development site into seven unit lots. The construction of residential units is under Project #6470572. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3022233,SEPA THRESHOLD DETERMINATION,"Land Use Application to establish use as outdoor storage (Seattle Iron & Metals Corp.). Project also includes 2,575 cu. yds. of grading. Existing shed to remain.",$25000.00
3023066,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow a three-story, four unit rowhouse in an environmentally critical area. Parking for four vehicles to be provided.  Existing structure to be demolished.  Environmental review includes future unit lot subdivision.",$1100000.00
3019395,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",Land Use Application to subdivide two parcels into four parcels of land in an environmentally critical area. Proposed parcel sizes are:,$0.00
3018093,"SEPA THRESHOLD DETERMINATION, SHORT PLAT","Land Use Application to subdivide two parcel into seven parcels of land and one tract in an environmentally critical area.  Proposed parcel sizes are: A) 7,200 sq. ft.; B) 7,200 sq. ft.; C) 7,200 sq. ft.; D) 7,336 sq. ft.; E) 7,272 sq. ft.; F) 8,113 sq. ft.; G) 7,401 sq. ft.; and H) 20,159 sq. ft.  Existing structures to be demolished.",$0.00
3020955,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 100-story structure containing 1,020 residential units and 100 hotel rooms above 20,000 sq. ft. of street level retail with a portion on second the level and 85,000 sq. ft. of office. Parking for 750 vehicles to be provided. Existing structures to be demolished. An Addendum to the Downtown Height & Density Environmental Impact Statement is being prepared.",$395000000.00
3016850,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT","Shoreline Substantial Development Application to demolish and replace existing bridge, bridge piles, walkway and in-water floating walkway (Seattle Dept of Transportation, Fairview Ave N Bridge Replacement Project). A temporary work trestle will be installed. The new bridge will include new viewing areas, sidewalks and a two-way bicycle track. Project includes shoreline mitigation and installation of two stormwater outfalls. Determination of Non-Significance prepared by Seattle Department of Tra",$27000000.00
3024030,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units are under Project #6512887. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3024030,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units are under Project #6512887. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023844,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land.  Proposed parcel sizes are: A) 2,221 sq. ft. and B) 2,625 sq. ft.",$0.00
3023801,SHORT PLAT,Land Use Application to subdivide one development site into six unit lots. The construction of residential units is under Project #6352649. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots. Environmental review conducted under 3014787.,$0.00
3022652,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT","Shoreline Substantial Development to allow a 3-story addition consisting of 48,350 sq. ft. of office to an existing landmark structure (Maritime Building). Parking for 85 vehicles to be provided within the structure. Project includes interior renovation of existing five stories.",$40000000.00
3018316,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",Land Use Application to allow a 4-story apartment building containing 37 small efficiency dwelling units. Parking for 18 vehicles to be provided at and below grade. Existing structure to be demolished.,$2500000.00
3024168,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between four parcels of land resulting in three parcels of land. Proposed parcel sizes are:A)5,539 sq ft B)4,804 sq ft C)6,784 sq ft. Existing structure to be demolished",$0.00
3024023,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units is under Project #6473480. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3024018,SHORT PLAT,"Land Use Application to subdivide one parcel into four parcels of land. Proposed parcel sizes are:  A) 632 sq. ft., B) 698 sq. ft., C) 720 sq. ft.; and, D) 3,937 sq. ft.  Project also includes a unit lot subdivision of Parcel D into four unit lots. The construction of residential and live-work units is being reviewed under Project #6474666. The unit lot subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the parent",$0.00
3023836,SHORT PLAT,Land Use Application to subdivide one development site into eight unit lots. The construction of residential units are under Project #6484451. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023796,SHORELINE DEVELOPMENT,"Shoreline Substantial Development application to allow improvements to the end of S Fontanelle St (SDOT Shoreline Street End project). Project includes installing public art, stairs, seating area and landscaping.",$40000.00
3023794,LOT BOUNDARY ADJUSTMENT PLAT,"Land Use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A) 5,198 SQ. FT; B) 5,196 SQ. FT. Existing structure to be demolished.",$0.00
3024032,SHORT PLAT,"Land Use Application to subdivide two parcels into three parcels of land. Proposed parcel sizes are: A) 3,905 sq. ft., B) 3,895 sq. ft.; and, C) 3,903 sq. ft. Existing structures to be demolished.",$0.00
3023633,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION, VARIANCE",Land Use Application to allow a two unit rowhouse structure with attached garage in an environmentally critical area.,$675000.00
3020534,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 9-story, structure containing 98 residential units 4,250 sq. ft. of commercial space located at street level. Parking for 114 vehicles located below grade. Existing structure to be demolished.",$10000000.00
3024063,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow a transitional encampment for up to 100 people on approximately 35,671 sq. ft. site. Project includes tents, 16 small houses and accessory facilities. (already permitted under #6515612).",$1.00
3023988,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6409023. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023873,ADMINISTRATIVE CONDITIONAL USE,Land Use Application to locate a minor communication utility (Verizon) on a new Seattle City Light utility pole #1374905 within the right-of-way. The project includes attaching two panel antennas to the new pole. Final decision on placement of antennas will be made by Seattle City Light.,$75000.00
3020829,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6478301. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3020481,VARIANCE,VARIANCE DENIED by HE on 2/10/16 MH,$50000.00
3024004,LOT BOUNDARY ADJUSTMENT PLAT,"Land Use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A) 6,934 sq. ft; B) 3,863 sq. ft. Existing structure to remain.",$0.00
3023930,SHORT PLAT,Land Use Application to subdivide one development site into seven unit lots. The construction of residential units is under Project #6113835. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023819,SHORT PLAT,"Land Use Application to subdivide one parcel into three parcels of land. Proposed parcel sizes are: A) 5,891 sq. ft., B) 5,825 sq. ft.; and C) 5,705 sq. ft. Existing structure to be demolished.",$0.00
3022079,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land. Proposed parcel sizes are:  A) 782 sq. ft. and B) 1,960 sq. ft. Project also includes a unit lot subdivision of Parcel B into two unit lots. The construction of residential and live-work units is being reviewed under Project #6488874. The unit lot subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the parent parcel of the unit lot subdivision an",$0.00
3023386,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A) 595,564 sq ft. and B) 21,128 sq ft. Existing structure is to remain.",$0.00
3023237,SHORELINE DEVELOPMENT,"Shoreline Substantial Development Application to allow improvements to the end of S Warsaw St (SDOT Shoreline Street End project).  The project includes landscaping a 14,051 sq. ft. area to create a shoreline park and installing public art.",$26000.00
3020423,LOT BOUNDARY ADJUSTMENT PLAT,Land Use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: AA) 3863 sq. ft.; BB) 3864 sq. ft.Existing structure to remain.,$0.00
3023800,SHORT PLAT,Land Use Application to subdivide one development site into six unit lots. The construction of residential units is under Project #6396997. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots. Environmental review conducted under 3014794.,$0.00
3023747,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units is under Project #6501208. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023351,SHORT PLAT,"Land Use Application to subdivide one parcel of land into two parcels of land. Proposed parcel sizes are: Y) 7,218 sq. ft. and Z) 5,376 sq. ft. Existing structure to remain.",$0.00
3022126,VARIANCE,Land Use Application to allow a 500 sq. ft. addition to an existing building (Peralta Orthodontics).,$10000.00
3020507,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow demolition of a 2,732 sq. ft. portion of an existing structure. Project also includes 750 cu. yds. of grading.",$5000.00
3023669,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units are under Project #6480632. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3015236,,CANCELLED DUE TO INACTIVITY-1/21/15-RC,$0.00
3023928,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units are under Project #6490497. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots. Environmental Review conducted under 3021275.,$0.00
3023486,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land. Proposed parcel sizes are: A) 2,593 sq. ft. and B) 2,593 sq. ft. Existing structure to be demolished.",$0.00
3023720,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land.  Proposed sizes are: A) 1,697 sq. ft. and B) 3,295 sq. ft. Existing structures to be demolished.",$0.00
3023175,LOT BOUNDARY ADJUSTMENT PLAT,"Land Use application to adjust the boundaries between two parcels of land. Proposed parcel sizes are: A) 3,591 sq. ft; B) 3,164 sq. ft. Existing structure to remain.",$0.00
3023715,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units are under Project #6441158. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023961,"SEPA THRESHOLD DETERMINATION, SHORT PLAT","Land Use Application to subdivide two parcels into three parcels of land in an environmentally critical area. Proposed parcel sizes are: A) 5,002 sq. ft., B) 5,013 sq. ft.; and, C) 5,130 sq. ft.",$0.00
