id,ApplicationDate,DecisionDate,Appealed,Status
76,04/04/2016,,N,Application Accepted
77,04/04/2016,,N,Application Accepted
78,04/04/2016,,N,Application Accepted
79,04/04/2016,,N,Application Accepted
80,03/27/2016,,N,Application Accepted
81,04/04/2016,,N,Application Accepted
82,04/04/2016,,N,Application Accepted
83,04/04/2016,,N,Application Accepted
84,04/01/2016,,N,Application Accepted
85,04/01/2016,,N,Application Accepted
86,03/31/2016,,N,Application Accepted
87,03/31/2016,,N,Application Accepted
88,03/31/2016,,N,Application Accepted
89,03/31/2016,,N,Application Accepted
90,03/31/2016,,N,Application Accepted
91,03/31/2016,,N,Application Accepted
92,03/30/2016,,N,Application Accepted
93,03/30/2016,,N,Application Accepted
94,03/30/2016,,N,Application Accepted
95,03/30/2016,04/28/2016,N,Decision Published
96,03/30/2016,,N,Application Accepted
97,03/29/2016,,N,Application Accepted
98,03/29/2016,,N,Application Accepted
99,03/29/2016,,N,Application Accepted
100,03/29/2016,,N,Application Accepted
101,03/28/2016,,N,Application Accepted
102,03/28/2016,,N,Application Accepted
103,03/28/2016,,N,Application Accepted
104,03/28/2016,,N,Application Accepted
105,09/15/2015,,N,CANCELLED
106,03/25/2016,,N,Application Accepted
107,03/25/2016,,N,Application Accepted
108,03/25/2016,,N,Application Accepted
109,03/25/2016,,N,Application Accepted
110,03/24/2016,,N,Application Accepted
111,03/24/2016,,N,Application Accepted
112,03/23/2016,,N,Application Accepted
113,03/23/2016,,N,Application Accepted
114,03/22/2016,,N,Application Accepted
115,03/22/2016,,N,Application Accepted
116,03/22/2016,,N,Application Accepted
117,03/22/2016,,N,Application Accepted
118,03/21/2016,,N,Application Accepted
119,,,N,CANCELLED
120,03/21/2016,,N,Application Accepted
121,03/21/2016,,N,Application Accepted
122,03/18/2016,,N,Application Accepted
123,03/18/2016,,N,Application Accepted
124,03/18/2016,,N,Application Accepted
125,03/17/2016,,N,Application Accepted
126,03/17/2016,,N,Application Accepted
127,03/17/2016,,N,Application Accepted
128,03/17/2016,,N,Application Accepted
129,03/17/2016,,N,Application Accepted
130,03/16/2016,,N,Application Accepted
131,03/16/2016,,N,Application Accepted
132,03/16/2016,,N,Application Accepted
133,03/16/2016,,N,Application Accepted
134,03/16/2016,,N,Application Accepted
135,03/16/2016,,N,Application Accepted
136,03/16/2016,,N,Application Accepted
137,03/16/2016,,N,Application Accepted
138,03/15/2016,04/20/2016,N,Decision Published
139,03/15/2016,,N,Application Accepted
140,03/15/2016,,N,Application Accepted
141,03/15/2016,,N,Application Accepted
142,03/14/2016,,N,Application Accepted
143,03/14/2016,,N,Application Accepted
144,03/11/2016,,N,Application Accepted
145,03/11/2016,,N,Application Accepted
146,12/23/2004,12/21/2006,N,Permit Finaled
147,03/11/2016,,N,Application Accepted
148,03/11/2016,,N,Application Accepted
149,03/11/2016,,N,Application Accepted
150,03/11/2016,,N,Application Accepted
151,03/11/2016,,N,Application Accepted
152,03/11/2016,,N,Application Accepted
153,03/10/2016,,N,Application Accepted
154,03/10/2016,,N,Application Accepted
155,03/10/2016,,N,Application Accepted
156,03/09/2016,,N,Application Accepted
157,03/09/2016,,N,Application Accepted
158,03/09/2016,,N,Application Accepted
159,,,N,
160,03/08/2016,,N,Application Accepted
161,03/08/2016,,N,Application Accepted
162,03/08/2016,,N,Application Accepted
163,03/08/2016,,N,Application Accepted
164,03/08/2016,,N,Application Accepted
165,03/08/2016,,N,Application Accepted
166,03/07/2016,,N,Application Accepted
167,03/07/2016,04/27/2016,N,Permit Issued
168,03/07/2016,,N,Application Accepted
169,03/07/2016,,N,Application Accepted
170,03/07/2016,,N,Application Accepted
171,03/07/2016,,N,Application Accepted
172,08/13/2015,,N,Application Accepted
173,03/04/2016,03/31/2016,N,Decision Published
174,03/04/2016,,N,Application Accepted
175,03/04/2016,,N,Application Accepted
176,03/03/2016,,N,Application Accepted
177,03/03/2016,,N,Application Accepted
178,03/03/2016,,N,Application Accepted
179,03/03/2016,,N,Application Accepted
180,03/03/2016,,N,Application Accepted
181,03/02/2016,04/26/2016,N,Decision Published
182,03/02/2016,,N,Application Accepted
183,03/02/2016,,N,Application Accepted
184,03/02/2016,,N,Application Accepted
185,03/02/2016,,N,Application Accepted
186,03/01/2016,,N,Application Accepted
187,03/01/2016,,N,Application Accepted
188,03/01/2016,,N,Application Accepted
189,02/29/2016,,N,Application Accepted
190,02/29/2016,,N,Application Accepted
191,02/29/2016,,N,Application Accepted
192,02/29/2016,,N,Application Accepted
193,02/26/2016,,N,Application Accepted
194,02/26/2016,03/28/2016,N,Decision Published
195,02/26/2016,,N,Application Accepted
196,02/26/2016,,N,Application Accepted
197,02/25/2016,,N,Application Accepted
198,02/25/2016,,N,Application Accepted
199,02/25/2016,,N,Application Accepted
200,02/25/2016,04/25/2016,N,Decision Published
201,02/25/2016,,N,Application Accepted
202,02/24/2016,04/18/2016,N,Decision Published
203,02/24/2016,,N,Application Accepted
204,02/23/2016,03/28/2016,N,Decision Published
205,02/22/2016,,N,Application Accepted
206,02/22/2016,,N,Application Accepted
207,02/22/2016,,N,Application Accepted
208,02/22/2016,,N,Application Accepted
209,02/19/2016,,N,Application Accepted
210,02/19/2016,,N,Application Accepted
211,02/16/2016,,N,Application Accepted
212,02/19/2016,,N,Application Accepted
213,02/18/2016,04/21/2016,N,Decision Published
214,02/18/2016,,N,Application Accepted
215,02/17/2016,,N,Application Accepted
216,02/17/2016,,N,Application Accepted
217,02/16/2016,04/12/2016,N,Decision Published
218,02/16/2016,,N,Application Accepted
219,02/16/2016,,N,Application Accepted
220,02/16/2016,,N,Application Accepted
221,02/16/2016,,N,Application Accepted
222,02/16/2016,,N,Application Accepted
223,02/16/2016,,N,Application Accepted
224,02/16/2016,,N,Application Accepted
225,02/12/2016,,N,Application Accepted
226,02/12/2016,,N,Application Accepted
227,02/11/2016,,N,Application Accepted
228,02/11/2016,03/31/2016,N,Decision Published
229,02/10/2016,,N,Application Accepted
230,02/10/2016,,N,Application Accepted
231,02/10/2016,,N,Application Accepted
232,02/09/2016,,N,Application Accepted
233,02/09/2016,,N,Application Accepted
234,02/09/2016,03/31/2016,N,Decision Published
235,02/09/2016,,N,Application Accepted
236,02/08/2016,,N,Application Accepted
237,02/08/2016,03/30/2016,N,Permit Closed
238,02/08/2016,,N,Application Accepted
239,02/08/2016,,N,Application Accepted
240,02/08/2016,,N,Application Accepted
241,02/08/2016,,N,Application Accepted
242,02/08/2016,,N,Application Accepted
243,02/08/2016,,N,Application Accepted
244,02/08/2016,,N,Application Accepted
245,02/05/2016,,N,Application Accepted
246,02/05/2016,04/28/2016,N,Decision Published
247,02/05/2016,,N,Application Accepted
248,02/05/2016,,N,Application Accepted
249,02/05/2016,,N,Application Accepted
250,02/05/2016,06/10/2013,N,Application Accepted
251,02/04/2016,,N,Application Accepted
252,02/04/2016,,N,Application Accepted
253,02/03/2016,,N,Application Accepted
254,02/03/2016,,N,Application Accepted
255,02/03/2016,,N,Application Accepted
256,02/03/2016,,N,Application Accepted
257,02/03/2016,,N,Application Accepted
258,02/03/2016,03/17/2016,N,Decision Published
259,02/03/2016,,N,Application Accepted
260,02/02/2016,,N,Application Accepted
261,02/02/2016,04/20/2016,N,Decision Published
262,02/02/2016,,N,Application Accepted
263,02/01/2016,,N,Application Accepted
264,02/01/2016,,N,Application Accepted
265,02/01/2016,,N,Application Accepted
266,02/01/2016,,N,Application Accepted
267,02/01/2016,,N,Application Accepted
268,02/01/2016,03/17/2016,N,Permit Issued
269,02/01/2016,,N,Application Accepted
270,01/30/2016,,N,Notice and Reviews Completed
271,01/29/2016,04/26/2016,N,Decision Published
272,01/29/2016,04/28/2016,N,Decision Published
273,01/28/2016,,N,Application Accepted
274,01/28/2016,04/11/2016,N,Decision Published
275,01/28/2016,,N,Application Accepted
276,01/28/2016,,N,Application Accepted
277,01/28/2016,,N,Application Accepted
278,01/28/2016,,N,Application Accepted
279,01/28/2016,,N,Application Accepted
280,01/28/2016,,N,Application Accepted
281,01/27/2016,03/24/2016,N,Permit Closed
282,01/27/2016,,N,Application Accepted
283,01/27/2016,,N,Application Accepted
284,01/26/2016,,N,Application Accepted
285,01/25/2016,,N,Application Accepted
286,01/25/2016,,N,Application Accepted
287,01/25/2016,01/14/2016,N,Application Accepted
288,01/24/2016,03/22/2016,N,Decision Published
289,01/24/2016,,N,Application Accepted
290,01/23/2016,04/28/2016,N,Decision Published
291,01/23/2016,,N,Application Accepted
292,01/23/2016,,N,Application Accepted
293,01/23/2016,,N,Application Accepted
294,01/23/2016,,N,Application Accepted
295,01/23/2016,,N,Application Accepted
296,01/22/2016,,N,Application Accepted
297,01/22/2016,,N,Notice and Reviews Completed
298,01/22/2016,,N,Notice and Reviews Completed
299,01/21/2016,,N,Application Accepted
300,01/21/2016,,N,Notice and Reviews Completed
301,01/21/2016,,N,Application Accepted
302,01/21/2016,,N,Application Accepted
303,01/20/2016,,N,Application Accepted
304,01/20/2016,04/20/2016,N,Decision Published
305,01/20/2016,,N,Application Accepted
306,01/20/2016,,N,Application Accepted
307,01/20/2016,,N,Application Accepted
308,01/20/2016,,N,Application Accepted
309,01/19/2016,02/11/2016,N,Decision Published
310,01/19/2016,09/14/2015,N,Application Accepted
311,01/19/2016,,N,Application Accepted
312,01/18/2016,,N,Application Accepted
313,01/15/2016,,N,Application Accepted
314,01/15/2016,03/03/2016,N,Decision Published
315,01/15/2016,12/02/2015,N,Application Accepted
316,01/15/2016,12/02/2015,N,Application Accepted
317,01/14/2016,,N,Notice and Reviews Completed
318,01/14/2016,,N,Notice and Reviews Completed
319,01/14/2016,,N,Notice and Reviews Completed
320,01/14/2016,04/25/2016,N,Decision Published
321,01/14/2016,,N,Application Accepted
322,01/13/2016,,N,Notice and Reviews Completed
323,01/13/2016,,N,Application Accepted
324,01/12/2016,,N,Application Accepted
325,01/12/2016,,N,Notice and Reviews Completed
326,01/12/2016,,N,Application Accepted
327,,,N,
328,01/12/2016,,N,Application Accepted
329,01/12/2016,,N,Application Accepted
330,01/11/2016,,N,Application Accepted
331,01/11/2016,,N,Application Accepted
332,01/11/2016,04/11/2016,N,Decision Published
333,01/11/2016,,N,Application Accepted
334,01/11/2016,,N,Application Accepted
335,01/11/2016,02/16/2016,N,Decision Published
336,01/11/2016,04/25/2016,N,Decision Published
337,01/07/2016,,N,Application Accepted
338,01/07/2016,,N,Application Accepted
339,01/07/2016,03/07/2016,N,Decision Published
340,01/07/2016,,N,Application Accepted
341,01/06/2016,01/28/2016,N,Decision Published
342,01/06/2016,,N,Application Accepted
343,01/06/2016,04/14/2016,N,Decision Published
344,01/06/2016,,N,Application Accepted
345,01/06/2016,02/25/2016,N,Decision Published
346,01/06/2016,,N,Application Accepted
347,01/06/2016,,N,Application Accepted
348,01/05/2016,,N,Application Accepted
349,01/05/2016,,N,Application Accepted
350,01/04/2016,04/11/2016,N,Decision Published
351,01/04/2016,03/28/2016,N,Decision Published
352,01/04/2016,04/25/2016,N,Decision Published
353,01/04/2016,,N,Application Accepted
354,01/04/2016,,N,Application Accepted
355,12/31/2015,,N,Application Accepted
356,12/30/2015,,N,Application Accepted
357,12/30/2015,,N,Application Accepted
358,12/30/2015,03/21/2016,N,Permit Closed
359,12/30/2015,03/24/2016,N,Decision Published
360,12/30/2015,,N,Application Accepted
361,12/30/2015,04/04/2016,N,Permit Issued
362,12/30/2015,02/25/2016,N,Permit Issued
363,12/29/2015,03/17/2016,N,Decision Published
364,12/29/2015,04/21/2016,N,Decision Published
365,12/29/2015,,N,Application Accepted
366,09/04/2014,,N,CANCELLED
367,12/28/2015,,N,Application Accepted
368,12/28/2015,,N,Application Accepted
369,12/28/2015,04/25/2016,N,Decision Published
370,12/28/2015,02/18/2016,N,Permit Closed
371,12/28/2015,,N,Application Accepted
372,12/24/2015,,N,Application Accepted
373,12/23/2015,04/18/2016,N,Decision Published
374,12/22/2015,04/25/2016,N,Decision Published
375,12/22/2015,04/04/2016,N,Permit Issued
376,12/22/2015,,N,Application Accepted
377,12/21/2015,,N,CANCELLED
378,12/21/2015,03/21/2016,N,Decision Published
379,12/21/2015,03/24/2016,N,Decision Published
380,12/21/2015,,N,Application Accepted
381,12/18/2015,02/04/2016,N,Permit Issued
382,12/18/2015,03/03/2016,N,Decision Published
383,12/18/2015,04/21/2016,N,Decision Published
384,12/18/2015,04/28/2016,N,Decision Published
385,12/18/2015,,N,Application Accepted
386,12/18/2015,,N,Application Accepted
387,12/17/2015,03/08/2016,N,Decision Published
388,12/17/2015,02/22/2016,N,Permit Closed
389,12/17/2015,,N,Application Accepted
390,12/17/2015,,N,Application Accepted
391,12/17/2015,04/14/2016,N,Decision Published
392,12/17/2015,,N,Application Accepted
393,12/17/2015,02/04/2016,N,Permit Issued
394,12/17/2015,,N,Application Accepted
395,12/16/2015,,N,Application Accepted
396,12/16/2015,,N,Application Accepted
397,12/16/2015,04/28/2016,N,Decision Published
398,12/16/2015,04/21/2016,N,Decision Published
399,12/16/2015,04/14/2016,N,Decision Published
400,12/16/2015,,N,Application Accepted
401,12/16/2015,,N,Application Accepted
402,12/16/2015,,N,Application Accepted
403,12/16/2015,03/21/2016,N,Decision Published
404,12/16/2015,,N,Application Accepted
405,12/15/2015,,N,Application Accepted
406,12/15/2015,,N,Application Accepted
407,12/15/2015,,N,Application Accepted
408,12/14/2015,,N,Application Accepted
409,12/14/2015,03/28/2016,N,Permit Closed
410,12/14/2015,,N,Application Accepted
411,12/14/2015,04/07/2016,N,Decision Published
412,12/14/2015,,N,Application Accepted
413,12/14/2015,02/11/2016,N,Permit Closed
414,12/14/2015,12/07/2015,N,Application Accepted
415,12/11/2015,,N,Application Accepted
416,12/11/2015,,N,Application Accepted
417,12/10/2015,,N,Application Accepted
418,12/10/2015,01/19/2016,N,Permit Closed
419,12/10/2015,03/31/2016,N,Decision Published
420,12/09/2015,,N,Application Accepted
421,12/09/2015,03/21/2016,N,Permit Issued
422,12/09/2015,,N,Notice and Reviews Completed
423,12/09/2015,03/31/2016,N,Decision Published
424,12/08/2015,03/14/2016,N,Permit Issued
425,12/08/2015,03/14/2016,N,Permit Issued
426,12/08/2015,,N,Application Accepted
427,12/08/2015,04/11/2016,N,Decision Published
428,12/08/2015,01/28/2016,N,Decision Published
429,12/08/2015,,N,Application Accepted
430,12/08/2015,,N,Application Accepted
431,12/07/2015,03/21/2016,N,Permit Closed
432,12/07/2015,,N,Application Accepted
433,12/04/2015,,N,Application Accepted
434,12/04/2015,12/31/2015,N,Permit Closed
435,12/04/2015,,N,Application Accepted
436,12/04/2015,,N,Application Accepted
437,12/03/2015,03/03/2016,N,Permit Closed
438,12/03/2015,02/11/2016,N,Permit Closed
439,12/03/2015,02/22/2016,N,Decision Published
440,12/02/2015,01/28/2016,N,Permit Closed
441,12/02/2015,02/04/2016,N,Decision Published
442,12/02/2015,,N,Application Accepted
443,12/01/2015,,N,Application Accepted
444,11/30/2015,03/17/2016,N,Permit Closed
445,11/30/2015,02/08/2016,N,Permit Closed
446,11/30/2015,,N,Application Accepted
447,11/30/2015,,N,Application Accepted
448,11/30/2015,,N,Application Accepted
449,11/25/2015,,N,Application Accepted
450,11/25/2015,,N,Application Accepted
451,11/25/2015,,N,Notice and Reviews Completed
452,11/25/2015,,N,Application Accepted
453,11/24/2015,,N,Application Accepted
454,11/24/2015,01/28/2016,N,Permit Issued
455,11/23/2015,03/31/2016,N,Permit Closed
456,11/23/2015,02/25/2016,N,Permit Closed
457,11/23/2015,,N,Application Accepted
458,11/21/2015,,N,Application Accepted
459,11/21/2015,04/07/2016,N,Decision Published
460,11/20/2015,04/19/2016,N,Permit Closed
461,11/20/2015,,N,Application Accepted
462,11/20/2015,,N,Application Accepted
463,11/20/2015,01/13/2016,N,Permit Closed
464,11/20/2015,03/24/2016,N,Decision Published
465,11/20/2015,01/28/2016,N,Permit Closed
466,11/20/2015,,N,Application Accepted
467,11/20/2015,,N,Application Accepted
468,11/19/2015,03/24/2016,N,Decision Published
469,11/19/2015,,N,Application Accepted
470,11/19/2015,10/05/2015,N,Application Accepted
471,11/19/2015,,N,Application Accepted
472,11/18/2015,03/08/2016,N,Decision Published
473,11/18/2015,,N,Application Accepted
474,11/18/2015,,N,Application Accepted
475,11/18/2015,,N,Application Accepted
476,11/17/2015,04/21/2016,N,Decision Published
477,07/21/2008,10/02/2008,N,CANCELLED
478,11/17/2015,02/25/2016,N,Decision Published
479,11/17/2015,03/07/2016,N,Decision Published
480,11/16/2015,02/02/2016,N,Permit Closed
481,11/16/2015,10/01/2015,N,Application Accepted
482,11/16/2015,,N,Application Accepted
483,11/16/2015,,N,Application Accepted
484,11/14/2015,03/21/2016,N,Decision Published
485,11/14/2015,03/31/2016,N,Decision Published
486,11/14/2015,03/31/2016,N,Decision Published
487,11/14/2015,,N,Application Accepted
488,11/13/2015,01/27/2016,N,Decision Published
489,11/02/2015,,N,Application Accepted
490,11/13/2015,01/11/2016,N,Permit Closed
491,11/13/2015,02/04/2016,N,Permit Closed
492,11/13/2015,01/14/2016,N,Permit Closed
493,11/13/2015,,N,Application Accepted
494,11/13/2015,09/09/2015,N,Application Accepted
495,11/12/2015,03/17/2016,N,Permit Issued
496,11/12/2015,01/19/2016,N,Permit Closed
497,11/12/2015,04/28/2016,N,Decision Published
498,11/12/2015,03/17/2016,N,Permit Issued
499,11/12/2015,12/10/2015,N,Permit Issued
500,11/12/2015,12/07/2015,N,Permit Issued
501,11/12/2015,,N,Application Accepted
502,11/12/2015,,N,Application Accepted
503,11/12/2015,,N,Application Accepted
504,11/12/2015,,N,Application Accepted
505,11/12/2015,,N,Application Accepted
506,11/11/2015,03/14/2016,N,Decision Published
507,11/11/2015,,N,Application Accepted
508,11/10/2015,,N,Application Accepted
509,11/09/2015,,N,Application Accepted
510,11/09/2015,03/03/2016,N,Permit Closed
511,11/07/2015,04/22/2016,N,Decision Published
512,11/06/2015,,N,Application Accepted
513,10/30/2015,03/31/2016,N,Decision Published
514,11/06/2015,02/08/2016,N,Permit Closed
515,11/06/2015,,N,Application Accepted
516,11/06/2015,02/11/2016,N,Decision Published
517,11/06/2015,,N,Application Accepted
518,11/05/2015,12/17/2015,N,Permit Closed
519,11/05/2015,02/16/2016,N,Permit Closed
520,11/05/2015,01/21/2016,N,Permit Issued
521,11/04/2015,,N,Notice and Reviews Completed
522,11/04/2015,12/21/2015,N,Permit Closed
523,11/04/2015,,N,Application Accepted
524,11/04/2015,,N,Application Accepted
525,10/15/2015,11/19/2015,N,Permit Closed
526,11/04/2015,,N,Application Accepted
527,11/03/2015,12/10/2015,N,Permit Closed
528,11/02/2015,12/31/2015,N,Permit Closed
529,11/02/2015,01/28/2016,N,Decision Published
530,11/02/2015,,N,Application Accepted
531,11/02/2015,,N,Application Accepted
532,11/02/2015,12/10/2015,N,Permit Closed
533,11/02/2015,01/28/2016,N,Permit Closed
534,11/02/2015,12/14/2015,N,Permit Issued
535,11/02/2015,03/14/2016,N,Permit Issued
536,11/02/2015,02/18/2016,N,Permit Issued
537,11/02/2015,,N,Application Accepted
538,10/30/2015,02/11/2016,N,Permit Closed
539,10/30/2015,02/11/2016,N,Permit Closed
540,10/30/2015,04/25/2016,N,Decision Published
541,10/30/2015,,N,Application Accepted
542,10/30/2015,,N,Application Accepted
543,10/29/2015,02/25/2016,N,Permit Issued
544,10/29/2015,12/17/2015,N,Decision Published
545,10/28/2015,01/07/2016,N,Permit Issued
546,10/28/2015,04/25/2016,N,Decision Published
547,10/28/2015,03/24/2016,N,Permit Issued
548,10/28/2015,,N,Application Accepted
549,10/28/2015,01/04/2016,N,Permit Issued
550,,,N,CANCELLED
551,10/28/2015,03/24/2016,N,Permit Issued
552,10/28/2015,,N,Application Accepted
553,10/27/2015,,N,Application Accepted
554,10/27/2015,12/03/2015,N,Permit Closed
555,10/27/2015,12/14/2015,N,Permit Issued
556,10/27/2015,,N,Application Accepted
557,10/27/2015,,N,Application Accepted
558,10/27/2015,,N,Application Accepted
559,10/26/2015,12/10/2015,N,Permit Issued
560,10/26/2015,02/11/2016,N,Permit Closed
561,10/23/2015,01/11/2016,N,Permit Closed
562,10/23/2015,12/17/2015,N,Permit Closed
563,,,N,
564,10/23/2015,01/19/2016,N,Permit Issued
565,10/23/2015,,N,Application Accepted
566,10/22/2015,12/22/2015,N,Permit Closed
567,10/22/2015,,N,Application Accepted
568,10/22/2015,11/30/2015,N,Permit Finaled
569,10/22/2015,,N,Application Accepted
570,10/22/2015,12/21/2015,N,Permit Issued
571,10/22/2015,,N,Application Accepted
572,10/21/2015,,N,Application Accepted
573,10/21/2015,02/01/2016,N,Permit Closed
574,10/21/2015,12/03/2015,N,Permit Closed
575,10/21/2015,03/17/2016,N,Decision Published
576,10/21/2015,,N,Application Accepted
577,10/21/2015,10/02/2015,N,Application Accepted
578,10/21/2015,,N,Application Accepted
579,10/21/2015,,N,Application Accepted
580,10/21/2015,,N,Application Accepted
581,10/21/2015,,N,Application Accepted
582,10/20/2015,01/07/2016,N,Permit Closed
583,10/20/2015,,N,Application Accepted
584,10/16/2015,,N,Application Accepted
585,10/16/2015,02/04/2016,N,Permit Closed
586,10/16/2015,02/04/2016,N,Permit Closed
587,10/16/2015,12/14/2015,N,Permit Issued
588,10/16/2015,,N,Application Accepted
589,10/16/2015,09/23/2015,N,Application Accepted
590,10/16/2015,03/17/2016,N,Decision Published
591,10/15/2015,,N,Application Accepted
592,10/15/2015,04/07/2016,N,Decision Published
593,10/15/2015,,N,Application Accepted
594,10/14/2015,,N,Application Accepted
595,10/14/2015,12/09/2015,N,Permit Closed
596,10/13/2015,,N,Application Accepted
597,10/13/2015,04/25/2016,N,Decision Published
598,10/13/2015,12/03/2015,N,Permit Issued
599,10/12/2015,12/31/2015,N,Permit Issued
600,10/12/2015,,N,Application Accepted
601,10/11/2015,03/03/2016,N,Decision Published
602,10/09/2015,02/25/2016,N,Permit Closed
603,10/09/2015,11/19/2015,N,Permit Closed
604,,,N,CANCELLED
605,10/09/2015,11/23/2015,N,Permit Closed
606,10/09/2015,03/07/2016,N,Permit Issued
607,10/09/2015,,N,Application Accepted
608,10/09/2015,,N,Notice and Reviews Completed
609,10/09/2015,03/10/2016,N,Permit Issued
610,10/09/2015,,N,Application Accepted
611,10/09/2015,,N,Application Accepted
612,10/08/2015,12/10/2015,N,Permit Closed
613,10/07/2015,11/03/2015,N,Permit Closed
614,10/07/2015,,N,Application Accepted
615,10/07/2015,02/25/2016,N,Permit Closed
616,10/07/2015,12/31/2015,N,Decision Published
617,,,N,
618,10/07/2015,12/17/2015,N,Permit Closed
619,10/07/2015,12/14/2015,N,Permit Closed
620,10/07/2015,,N,Application Accepted
621,10/07/2015,,N,Application Accepted
622,10/06/2015,04/11/2016,N,Decision Published
623,10/06/2015,,N,Application Accepted
624,10/05/2015,,N,Application Accepted
625,10/05/2015,,N,Application Accepted
626,10/05/2015,,N,CANCELLED
627,10/02/2015,02/01/2016,N,Permit Closed
628,10/02/2015,01/14/2016,N,Permit Closed
629,10/02/2015,01/14/2016,N,Permit Closed
630,10/02/2015,,N,Application Accepted
631,10/01/2015,12/17/2015,N,Permit Closed
632,10/01/2015,,N,Application Accepted
633,10/01/2015,,N,Application Accepted
634,10/01/2015,,N,Application Accepted
635,10/01/2015,,N,Application Accepted
636,10/01/2015,,N,Application Accepted
637,10/01/2015,03/28/2016,N,Permit Issued
638,09/30/2015,01/25/2016,N,Permit Closed
639,09/30/2015,,N,Application Accepted
640,09/30/2015,,N,Application Accepted
641,09/29/2015,,N,CANCELLED
642,09/29/2015,,N,Application Accepted
643,09/28/2015,,N,Application Accepted
644,,,N,
645,09/25/2015,01/21/2016,N,Permit Closed
646,09/25/2015,10/22/2015,N,Permit Closed
647,09/25/2015,02/29/2016,N,Decision Published
648,09/25/2015,,N,Application Accepted
649,09/25/2015,02/08/2016,N,Permit Closed
650,09/24/2015,,N,CANCELLED
651,09/24/2015,01/14/2016,N,Permit Issued
652,09/24/2015,02/11/2016,N,Permit Closed
653,09/24/2015,01/11/2016,N,Permit Closed
654,09/24/2015,,N,Application Accepted
655,09/24/2015,,N,Application Accepted
656,09/24/2015,02/04/2016,N,Decision Published
657,09/24/2015,12/21/2015,N,Permit Issued
658,09/24/2015,,N,Application Accepted
659,09/23/2015,12/17/2015,N,Permit Closed
660,09/23/2015,01/14/2016,N,Permit Issued
661,09/23/2015,03/10/2016,N,Permit Issued
662,09/23/2015,,N,Application Accepted
663,09/22/2015,04/21/2016,N,Decision Published
664,09/22/2015,03/21/2016,N,Permit Issued
665,09/22/2015,04/04/2016,N,Permit Issued
666,09/21/2015,,N,Application Accepted
667,09/21/2015,03/21/2016,N,Decision Published
668,09/21/2015,01/25/2016,N,Permit Closed
669,09/15/2015,,N,Application Accepted
670,09/21/2015,,N,Application Accepted
671,09/21/2015,,N,Application Accepted
672,09/21/2015,,N,Application Accepted
