id,case_type,description,case_group
22,HOUSING / ZONING,Unlawful floating platform accessory to FOWR 806 @ Slip B-2. Platform/float is dilapidated & listing.,ZONING
23,CITATION,Land Use Code Violation.,ZONING
24,CITATION,04/27/16 DW please refer to case 103663,ZONING
25,CITATION,04/27/16 DW Observed inoperable vehicles parked in rear yard and exceeding the total number of vehicles permitted per lot.,ZONING
26,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
27,CITATION,04/27/16 DW Observed outdoor storage underneath the front porch,ZONING
28,CITATION,04/27/16 DW Posted warning citation notice on the front door  outdoor storage/inoperable vehicle,ZONING
29,CITATION,04/27/16 DW Posted warning citation notice on the front door  outdoor storage/inoperable vehicle,ZONING
30,HOUSING / ZONING,Roof deck added to unregistered FOWR w/o shoreline authorization.,ZONING
31,HOUSING / ZONING,Vacant Building Code Violations observed.,VACANT BUILDING
32,HOUSING / ZONING,04/26/16 EO - Vacant building violations,VACANT BUILDING
33,CITATION,4/15/16 rf Observed subject property to not be in compliance.,ZONING
34,CITATION,rs 04-27-16  Vegetation overgrowth onto the ROW of sidewalk.,WEEDS AND VEGETATION
35,HOUSING / ZONING,Replacing solid decking on SF pier,ZONING
36,CITATION,rs 04-27-16  Vegetation overgrowth onto ROW of sidewalk.,WEEDS AND VEGETATION
37,HOUSING / ZONING,Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(1)(f) - failure to provide minimum 90 days advance notice.,JUST CAUSE EVICTION
38,HOUSING / ZONING,04/25/16 EO Vacant building violations,VACANT BUILDING
39,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
40,HOUSING / ZONING,Bradrick 4.27.16 Vacant and open to entry.,VACANT BUILDING
41,HOUSING / ZONING,04/21/16 EO - Vacant building violations,VACANT BUILDING
42,CITATION,rs 04-25-16  Vegetation overgrowth onto the ROW sidewalk.,WEEDS AND VEGETATION
43,CITATION,rs 04-26-16   Vegetation overgrowth onto ROW of sidewalk.,WEEDS AND VEGETATION
44,HOUSING / ZONING,04/26/16 - Vacant building violations,VACANT BUILDING
45,CITATION,ST 4/26/16 No more than 3 motor vehicles allowed on lot.,ZONING
46,HOUSING / ZONING,04/26/16 DW Vacate and close due no payment of utility bills.,HOUSING
47,CITATION,Land Use Code Violation.  Outdoor storage.,ZONING
48,CITATION,4/15/16 rf Observed subject property to no be in compliance.,ZONING
49,HOUSING / ZONING,04/26/16 DW Observed plastic garbage bags placed along the handrailings for the laborer works to place thier trash and debris.,ZONING
50,CITATION,04/26/16 DW Observed outdoor junk storage  against the side of the building.,ZONING
51,CITATION,04/26/16 DW Observed outdoor storage of trash and debris inside the fence.,ZONING
52,CITATION,Land Use Code Violation.  Outdoor junk and storage.  Inoperable Vehicles.  Parking limit for SF zone exceeding 3 vehicles.,ZONING
53,CITATION,Land Use Code Violation.  Inoperable vehicles.,ZONING
54,CITATION,04/22/16 DW Observed out door storage and possible blocking easement for the entire development,ZONING
55,CITATION,Weeds and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
56,HOUSING / ZONING,4/15/16 rf Observed subject property to not be in compliance.,ZONING
57,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
58,CITATION,rs 04-25-16  Vegetation overgrowth onto the ROW of sidewalk.,WEEDS AND VEGETATION
59,CITATION,rs 04-25-16  Vegetation overgrowth onto ROW of sidewalk.,WEEDS AND VEGETATION
60,CITATION,"04/25/16 DW Observed vehicles being parked in the required front yard setback, roosters on the property",ZONING
61,CITATION,04/21/16 DW Observed junk storage in the front and rear yard.,WEEDS AND VEGETATION
62,HOUSING / ZONING,4/15/16 rf Observed subject property to not be in compliance.,ZONING
63,CITATION,ST 4/25/16 Any inoperable vehicles must be removed or made operable.,ZONING
64,CITATION,ST 4/25/16 Any inoperable vehicles must be removed or made operable.,ZONING
65,CITATION,"04/21/16 DW Observed outdoor junk storage vehicles exceeding the total number allowed, and working on vehicles.",ZONING
66,CITATION,04/22/16 DW Observed outdoor junk storage on the front porch and number of vehicles exceeding 3 for SF Zone,ZONING
67,HOUSING / ZONING,Housing and Building Maintenance Code Standards Violation.,HOUSING
68,CITATION,04/25/16 DW Observed inoperable vehicles parked on the east side of the apartment complex along with outdoor storage.,ZONING
69,CITATION,Duplicate - See Case #1035620,ZONING
70,CITATION,Land Use Code Violation. Outdoor junk and storage.,ZONING
71,CITATION,"Bradrick 4.22.16 Moderate outdoor storage, much of it from the ongoing remodel.",ZONING
72,CITATION,"Bradrick 4.22.16 Moderate outdoor storage, much of it from the ongoing remodel.",ZONING
73,CITATION,4/15/16 rf Observed subject property to not be in compliance.,ZONING
74,CITATION,"Bradrick 3.17.16 Vacant, Closed, Violation--minor outdoor junk and trash.",ZONING
75,CITATION,4/14/16 rf Observed subject property to not be in compliance.,ZONING
76,CONSTRUCTION,Repairing decks on a multi-family building requires a permit and inspections from SDCI.,BUILDING
77,CONSTRUCTION,Repairing decks on a multi-family building requires a permit and inspections from SDCI.,BUILDING
78,HOUSING / ZONING,Replacement of all lower level decking with untreated cedar at floating home in slip #13 without shoreline exemption,ZONING
79,CITATION,4/20/16 ej- Observed outdoor junk on the balcony of apartment units.,ZONING
80,CITATION,4/20/16 ej- Observed outdoor storage on property.,ZONING
81,CITATION,4/20/16 ej- Observed outdoor storage on property.,ZONING
82,HOUSING / ZONING,Land Use Code Violation - outdoor junk storage,ZONING
83,CITATION,Land Use Code Violation.  Outdoor storage.,ZONING
84,CITATION,Bradrick 4.22.16 Massive outdoor junk storage.,ZONING
85,CITATION,4/20/16 ej- Observed outdoor junk storage on the property.,ZONING
86,CITATION,4/14/16 rf Observed subject property to not be in compliance.,ZONING
87,CITATION,4/20/16 ej- Observed outdoor junk storage on the property.,ZONING
88,HOUSING / ZONING,04/21/16 DW E.O. for no power.,HOUSING
89,CITATION,4/20/16 ej- Observed massive amount of outdoor junk storage on the property.,ZONING
90,CITATION,4/20/16 ej- Observed outdoor junk storage and parking in the required front yard.,ZONING
91,HOUSING / ZONING,02/10/16 DW I left a voice message requesting to schedule an inspection.,ZONING
92,CITATION,ST 4/21/16 Inoperable vehicles must be removed or made operable.,ZONING
93,CITATION,4/20/16 ej- Observed vegetation encroaching onto the sidewalk along SW Thistle St,WEEDS AND VEGETATION
94,CITATION,"4/20/16 ej-Observed outdoor junk storage such as but not limited to, tire and wood pallets on the property.",ZONING
95,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units 4; total units occupied: 1.  Demolition.,TENANT RELOCATION ASSIST ORD
96,HOUSING / ZONING,Land Use Code Violation.  Garage rental as principal use.,ZONING
97,CITATION,4/20/16 ej- Observed outdoor junk storage on the property.,ZONING
98,CITATION,"4/20/16 ej- Observed outdoor junk storage such as but not limited to cut tree limbs, toilet, metal cabinet and other miscellaneous items on the property.",ZONING
99,HOUSING / ZONING,Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(1) - Sub-tenant illegally locked out by either owner or main tenant.,JUST CAUSE EVICTION
100,CITATION,Bradrick 4.20.16 Heavy vegetation over the sidewalk.,WEEDS AND VEGETATION
101,HOUSING / ZONING,ST 4/20/16 Person living in motorhome on private property.,ZONING
102,CONSTRUCTION,Erosion control measures are not in place per the permit 6416421. Install silt fencing & straw wattles. Site is also under the supervision of Geotech Engineer. Inspector will monitor.,SITE
103,CONSTRUCTION,Grade changes along N and E property lines to be address prior to final under permit 6408217.,BUILDING
104,CITATION,Land Use Code Violation.,ZONING
105,CONSTRUCTION,Excavating in ECA steep slope without permits and inspections.,SITE
106,CONSTRUCTION,Excavating in ECA steep slope without permits and inspections.,SITE
107,CITATION,4/19/16 DG I received two emails this morning regarding construction starting before 7am. One complainant sent video showing an excavator moving dirt at 6:48am. Both complainants had the same details regarding starting time today. I will issue a citation,CONSTRUCTION NOISE
108,HOUSING / ZONING,"ST 4/6/16 Junk storage including but not limited to bags of trash, loose wood, used materials and pallets must be removed.",ZONING
109,CONSTRUCTION,Demolished portion of SFR and partially reconstructed addition and alteration without permits and inspections.,BUILDING
110,CONSTRUCTION,Demolished portion of SFR and partially reconstructed addition and alteration without permits and inspections.,BUILDING
111,HOUSING / ZONING,Land Use Code Violation.  Use not permitted.,ZONING
112,HOUSING / ZONING,HBMC violation.,HOUSING
113,CONSTRUCTION,Constructing new retaining wall over 4 ft in height without permits and inspections.,BUILDING
114,HOUSING / ZONING,04/20/2016 ED- Violation of HBMC.,HOUSING
115,CONSTRUCTION,"Interior alterations begun without permit and inspections, including construction and electrical.",BUILDING
116,CONSTRUCTION,Tree removed and other trees topped in steep slope ECA area. Revegetation plan required.,SITE
117,CONSTRUCTION,Signs for Art Marble 21 installed without a permit.,SIGNS
118,HOUSING / ZONING,"Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(1)(a), notice to terminate does not corrospond with the end of a regular rental period.  Less than 90 days notice given without permission of SDCI.",JUST CAUSE EVICTION
119,CITATION,4/14/16 rf Observed subject property to not be in compliance.,ZONING
120,HOUSING / ZONING,"Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(1)(a), failure to state a just cause reason.",JUST CAUSE EVICTION
121,CONDO CONVERSION AND PRESALE,Condo Conversion-4 Units,CONDO/COOP CONVERSION
122,CITATION,"04/18/16 DW Observed tires, inoperable vehicle, trash, vegetation and debris dumped on the vacant lot",ZONING
123,CITATION,4/5/16 rf Observed subject property to be in compliance.,ZONING
124,CITATION,04/18/16 DW Observed a recreational boat parked in the rear of the property adjacent to the alley way which is creating a nuisance. The boat is placed on a trailer. There is a foul odor coming from the boat.,ZONING
125,CONSTRUCTION,"Gutting a 3 bedroom, 2 bathroom SFR with a finished basement requires a permit and inspections from SDCI.",BUILDING
126,CONSTRUCTION,Cedar trees removed in protected zone; revised plans are required. (zoning review required for trees and PL review),BUILDING
127,HOUSING / ZONING,"Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(1)(a), failure to state a just cause reason for the termination.",JUST CAUSE EVICTION
128,CITATION,4/18/16 rf Observed sugject property to not be in compliance.,ZONING
129,CITATION,04/19/16 DW The vegetation is overhanging into the street/sidewalk r-o-w,WEEDS AND VEGETATION
130,HOUSING / ZONING,ST 4/19/16 Recreational accessory structure being used as dwelling unit.,ZONING
131,CITATION,04/19/2016 ED- Cars parked in required side yard.,ZONING
132,CITATION,04/19/2016 ED- Cars parked in required side yard.,ZONING
133,CITATION,4/7/16 rf Observed subject property to not be in compliance.,ZONING
134,CITATION,04/19/2016 ED- Veg encroaching on prow.,WEEDS AND VEGETATION
135,CITATION,04/19/2016 ED- Veg encroaching on prow.,WEEDS AND VEGETATION
136,CITATION,rs 04-18-16  Junk storage and inoperable vehicle in driveway.,ZONING
137,HOUSING / ZONING,ST 4/18/16 HBMC violations.,HOUSING
138,HOUSING / ZONING,ST 4/18/16 HBMC violations.,HOUSING
139,CITATION,04/18/2016 ED- JUNK STORAGE FOUND ON PROPERTY.,ZONING
140,CITATION,04/18/2016 Ed- Junk Storage found on property.,ZONING
141,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License: Total units: 1; Total units occupied: 1.  Demolition.,TENANT RELOCATION ASSIST ORD
142,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License: Total units: 2; Total units occupied: 2.  Demolition.,TENANT RELOCATION ASSIST ORD
143,HOUSING / ZONING,Land Use Code Violation - fence over 4ft height in front setback,ZONING
144,CONSTRUCTION,Off premises directional sign for Filson installed without a permit.,SIGNS
145,CONSTRUCTION,"Excavation in proximity of the NW PL exposed some roots of tree marked for protection per plans, permit 6407331. Arborist report & recommendations required to care for tree.",SITE
146,HOUSING / ZONING,ST 1//11/16 Storage container in yard needs to be removed or pernitted.,VACANT BUILDING
147,HOUSING / ZONING,Land Use Violation - Marijuana grow in residential structure without LCB license,ZONING
148,CITATION,4/14/16 DG complainant sent me a video regarding the project on S Jackson St. This may be the source of noise she blamed on the project at 214 20th Ave S.,CONSTRUCTION NOISE
149,CITATION,Land Use Code Violation.  Outdoor Junk and Storage.,ZONING
150,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 2; total units occupied: 1.  Demolition.,TENANT RELOCATION ASSIST ORD
151,HOUSING / ZONING,04/14/16 EO,VACANT BUILDING
152,CITATION,Land Use Code Violation.  Outdoor junk and storage.,ZONING
153,CITATION,Land Use Code Violation.  Outdoor junk and storage.,ZONING
154,CITATION,Land Use Code Violation.  Outdoor junk and storage.,ZONING
155,HOUSING / ZONING,Land Use Code Violation - changes to exterior without permit in special review district,ZONING
156,VACANT BUILDING MONITORING,07/10/13 dw land use violations exist,VACANT BUILDING
157,VACANT BUILDING MONITORING,01/14/15 Vacant building violations,VACANT BUILDING
158,CITATION,Land Use Code Violation.  Outdoor junk and storage.  Inoperable vehicles.  More than 3 vehicles parked on SF lot.,ZONING
159,CITATION,"rs 04-13-16  This citation replaces 1036384, waived because of administrative error by inspector.   Junk storage of various items incuding but not limited to plastic bins, plastic tarps, and building materials being stored in drive way.",ZONING
160,VACANT BUILDING MONITORING,09/18/15 Vacant building violations,VACANT BUILDING
161,CITATION,"ST 4/13/16 Junk storage including but not limited to salvaged wood, old car door and other used car parts, loose wood, cement blocks, metal pieces and other salvaged and use materials must be removed.",ZONING
162,CONSTRUCTION,Permit 6529723 issued 4/15/16 for interior alterations begun w/o permits & inspections.,BUILDING
163,HOUSING / ZONING,"rs 04-13-16   HBMC violations.  Sliding door in living room letting water/moisture in, creating wet floor and damage to carpet and subflooring.",HOUSING
164,CITATION,04/13/2016 ED- Junk storage found on property.,ZONING
165,CITATION,04/13/2016 ED- Junk storage found on property.,ZONING
166,CITATION,04/13/2016 ED- Accumulation of junk found on property.,ZONING
167,CITATION,04/13/2016 ED- Accumulation of junk found on property.,ZONING
168,HOUSING / ZONING,HBMC Violation.,HOUSING
169,CITATION,ST 4/13/16 Vegetation encroaches sidewalk and street. Sidewalk to be clear from edge to edge up to 8 ft. above sidewalk and street to be clear up to 14 ft. above street.,WEEDS AND VEGETATION
170,CONSTRUCTION,"Remodeling a commercial building including, but not limited to, changing window sizes and installing new beams requires a permit & inspections from SDCI.",BUILDING
171,HOUSING / ZONING,04/07/2016 ED- Violations of HBMC.,HOUSING
172,VACANT BUILDING MONITORING,monitoring,VACANT BUILDING
173,CITATION,ST 4/12/16 Trailer home located in required front yard.,ZONING
174,CITATION,ST 4/12/16 Trailer home located in required front yard.,ZONING
175,HOUSING / ZONING,Violation of the Seattle Just Cause Ordinance - SMC 22.206.160(C)(1)(A) - Failure to state a just cause reason for the termination.,JUST CAUSE EVICTION
176,CITATION,Weeds and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
177,CITATION,Weeds and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
178,CONSTRUCTION,Unapproved sign (sign removed 04/14/2016) and mechanical equipment installed on historic exterior of Wilsonian Bld contrary to SMC 25.12.670.,SIGNS
179,HOUSING / ZONING,4/5/16 rf Observed subject property to not be in compliance.,ZONING
180,CITATION,4/5/16 rf Observed subject property to not be in compliance.,ZONING
181,CITATION,"4/5/16 rf Observed outdoor junk stoarage of various items including but not limited to building materials, wood, and parking of boat/water craft in required side yard.",ZONING
182,CITATION,4/5/16 rf Observed subject property to not be in compliance.,ZONING
183,HOUSING / ZONING,HOUSING CODE VIOLATIONS,HOUSING
184,CITATION,Bradrick 4.8.16 Outdoor junk storage in the back yard.,ZONING
185,HOUSING / ZONING,Bradrick 3.25.16 Vacant and Open.,VACANT BUILDING
186,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units:  106; total units occupied:  106.  Substantial rehabilitation.,TENANT RELOCATION ASSIST ORD
187,CONSTRUCTION,"Remodeling 4 bedroom 2.75 bathroom SFR w/o permits & inspections including, but not limited to, raising the 2nd story back deck and adding a roof to the deck. Shed in req'd south yard built w/o permit not allowed (see Permit 6177852). Permit 6177852 never rec'd final approval.",BUILDING
188,CITATION,Bradrick 4.8.16 Outdoor junk and storage behind the house.,ZONING
189,CITATION,Bradrick 4.8.16 Outdoor junk and storage behind the house.,ZONING
190,CONSTRUCTION,12 - 14 ft unshored cuts along North & South property lines. Provide immediate stabilization & install erosion control measures. Work to be monitored by Geotech Engineer. Work is not per approved plans under permit 6456646.,BUILDING
191,CONSTRUCTION,Work is actually taking place at 2064 23rd AVE E under SS Repair permit 6511692.,SITE
192,CONSTRUCTION,Business sign copy changed to Lether & Associates without a permit.,SIGNS
193,CONSTRUCTION,Tree protection is per the approved plans under permit 6493106 as of 4/12/16.,SITE
194,HOUSING / ZONING,03/11/16 DW I left a voice message @ 9:11am requesting to schedule an inspection.,HOUSING
195,CITATION,Bradrick 4.7.16 Outdoor junk and storage including vehicles.,ZONING
196,HOUSING / ZONING,ST 4/7/16 HBMC violations.,HOUSING
197,HOUSING / ZONING,ST 4/7/16 HBMC violations.,HOUSING
198,CITATION,04/07/2016 ED- Trees hanging lower than 8 ft over sidewalk.,WEEDS AND VEGETATION
199,CITATION,04/07/2016 ED- Trees hanging lower than 8 ft over sidewalk.,WEEDS AND VEGETATION
200,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units:  35; total units occupied:  35.  Removal of use restrictions.,TENANT RELOCATION ASSIST ORD
201,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
202,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
203,CITATION,04/06/2016 ED- Junk storage found on property.,ZONING
204,CONSTRUCTION,New retaining walls built in ECA steep slope area without permits and inspections.,BUILDING
205,CITATION,04/06/2016 ED- Junk found on property.,ZONING
206,CONSTRUCTION,Erosion control measures are not in place as per permit 6300390. Inspector to monitor.,SITE
207,HOUSING / ZONING,"ST 4/6/16 Junk storage including but not limited to bags of trash, loose wood, used materials and pallets must be removed.",ZONING
208,CONSTRUCTION,Addition/alterations on rooftop of single family residence without permits and inspections.,BUILDING
209,CITATION,3/29/16 rf Observed subject property to not be in compliance.,ZONING
210,CONSTRUCTION,Pipe has been reduced to contain discharge on private property. Drainage is no longer discharging directly onto public ROW.,SITE
211,CONSTRUCTION,Pipe has been reduced to contain discharge on private property. Drainage is no longer discharging directly onto public ROW.,SITE
212,CONSTRUCTION,Constructing a roof addition to a garage extending towards or possibly into the public alley requires a permit & inspections. STOP WORK ORDER posted 4/5/16.,BUILDING
213,CONSTRUCTION,Numerous attempts to work with sign owner (Lether & Assoc law firm); incomplete application submitted 01/29/2016 remains incomplete.,SIGNS
214,CONSTRUCTION,Business sign changed (for new tenant) without a permit.,
215,HOUSING / ZONING,4/5/16 rf Observed subject property not in compliance.,HOUSING
216,HOUSING / ZONING,4/5/16 rf Observed subject property not in compliance.,HOUSING
217,HOUSING / ZONING,Land Use Code Violation.  Illegal Unit.,ZONING
218,HOUSING / ZONING,HBMC Violation & Zoning Violation - Illegal Dwelling Unit.,HOUSING
219,CONSTRUCTION,New drainage is discharging onto Portage Bay Pl E without permit and inspections. Discharging drainage to the right of way is not allowed.,SITE
220,HOUSING / ZONING,3/31/16 rf Observed parking in the required yard/setback of subject property.,ZONING
221,CITATION,Land Use Code Violation. Illegal Unit.,BUILDING AND PREMISES
222,CITATION,Land Use Code Violation.  Outdoor junk and storage.  Inoperable vehicle.,ZONING
223,CONSTRUCTION,Construction without permit,BUILDING
224,CITATION,3/29/16 rf Observed subject property to not be in compliance.,ZONING
225,CITATION,3/29/16 rf Observed subject property to not be in compliance.,ZONING
226,HOUSING / ZONING,Violation of the Housing & Building Maintenance Code Standards.,HOUSING
227,CITATION,3/29/16 rf Observed subject property to not be in compliance.,ZONING
228,CITATION,3/29/16 rf Observed subject property to not be in compliance.,ZONING
229,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
230,HOUSING / ZONING,HOUSING VIOLATIONS,HOUSING
231,HOUSING / ZONING,04/01/16 - Vacant building violations,VACANT BUILDING
232,HOUSING / ZONING,04/01/16 Vacant building violations,VACANT BUILDING
233,TENANT RELOCATION ORDINANCE,Violation of the Tenant Relocation Assistance Ordinance. Reduction of Services.,TENANT RELOCATION ASSIST ORD
234,HOUSING / ZONING,HOUSING VIOLATIONS,HOUSING
235,CITATION,Land Use Code Violation.  Outdoor Storage.,ZONING
236,HOUSING / ZONING,Signs installed shoreside of Avana Apts in violation of SMC 23.60A.212.,ZONING
237,CITATION,Land Use Code Violation.  Outdoor junk storage.  Inoperable Vehicle.,ZONING
238,CITATION,Land Use Code Violation.,ZONING
239,CITATION,Land Use Code Violation.,ZONING
240,CONSTRUCTION,Grading Code Violation; approximately 300 cubic yards of soil stock piled onsite without grading permit.,SITE
241,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 1; Total units occupied: 1.  Demolition,TENANT RELOCATION ASSIST ORD
242,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 1; Total units occupied: 1.  Demolition,TENANT RELOCATION ASSIST ORD
243,CITATION,rs 03-31-16  Shed over 12 feet tall.  Owner to reduce to required height limitations per code.  Property rear yard is 25 feet by 74 feet = 1850 sq ft; 40% coverage allows for 740 sq feet.,ZONING
244,CITATION,Land Use Code Violation. Outdoor junk and storage.,ZONING
245,CITATION,Land Use Code Violation. Outdoor junk and storage.,ZONING
246,CITATION,Land Use Code Violation.  Outdoor junk and storage.,ZONING
247,CITATION,"rs 03-31-16 Junk storage  in front yard.  Junk storage located on N 107th St side of the house is on the ROW and not in the side yard, reported to SPU Alex Tonel.",ZONING
248,CITATION,Land Use Code Violation.  Inoperable Vehicle parked in required yard.,ZONING
249,HOUSING / ZONING,Bradrick 3.31.16 The total failure and collapse of the carport.,HOUSING
250,CONSTRUCTION,Install erosion control measures as previously directed by Site Inspector. TESC not per approved plans under permit 6407204,SITE
251,CONSTRUCTION,Erosion control measures are not in place as required under permit 6497712. Site Inspector will monitor. Permit 6497712 - replacing existing driveway.,SITE
252,CONSTRUCTION,"Performing soft demo & interior alterations in Units 1 & 9 without permits & inspections. Work includes kitchen, bath, laundry closet alterations & structural deck repair.",BUILDING
253,HOUSING / ZONING,03/31/2016 ED- HBMC Violations on property.,HOUSING
254,HOUSING / ZONING,2/25/16 ej- Observed outdoor junk storage on the property no limited to abandon encampment.,ZONING
255,HOUSING / ZONING,"Bradrick 3.30.16 Vacant, Open to entry and minor outdoor junk storage.",VACANT BUILDING
256,HOUSING / ZONING,03/30/16 Vacant building violations,VACANT BUILDING
257,HOUSING / ZONING,03/30/16 Vacant building violations,VACANT BUILDING
258,CONSTRUCTION,Roofed structure constructed/reconstructed in the required south side yard without a permit has been removed as of 4/11/16.,BUILDING
259,CONSTRUCTION,Roofed structure constructed/reconstructed in the required south side yard without a permit has been removed as of 4/11/16.,BUILDING
260,CONSTRUCTION,"Work is not per approved plans under permit 6394378. Submit revised plans for foundation for Cistern (located in side yard in ECA area) and all related piping connections & discharge. (Route to Drainage, ECA, zoning & ord/structural)",BUILDING
261,CONSTRUCTION,Trees removed along Northern property line in ECA steep slope & potential slide. Permit coaching under proj # 6412321 called for Small project waiver.,BUILDING
262,HOUSING / ZONING,rs 03-28-16  Various HMBC violations.,HOUSING
263,CONSTRUCTION,Replacing windows & siding does not require permit. No alterations that require permit from SDCI were visible from sidewalk or through windows. Sidewalk had been closed to perform window replacement. Contact SDOT regarding sidewalk closure.,BUILDING
264,CONSTRUCTION,Constructing a shed in the back yard larger than 120 sq ft without permits and inspections.,BUILDING
265,HOUSING / ZONING,03/30/16 New Owner - vacant building violations,VACANT BUILDING
266,CITATION,Bradrick 3.30.16 Multiple cars on the property.,ZONING
267,CITATION,Bradrick 3.30.16 Squatter junk on the property.,
268,CITATION,3/29/16 rf Observed subject propety to not be in compliance.,ZONING
269,CONSTRUCTION,Spoil piles at back of sidewalk without erosion control measures in place. Inspector to monitor. Inspections pending for SS Permit,SITE
270,HOUSING / ZONING,ST /3/29/16 Violation of permit conditions.,ZONING
271,HOUSING / ZONING,02/26/16 Vacant building violations,VACANT BUILDING
272,CONSTRUCTION,Foundation repair (raising a house on cribbing several feet to replace foundation) exceeds the scope of STFI Permit 6518563. A plan review permit is required. STOP WORK ORDER posted 3/29/16.,BUILDING
273,CONSTRUCTION,Constructing addition to existing garage without permits and inspections.,BUILDING
274,HOUSING / ZONING,ST 3/29/16 Inspected upper floor and there is a kitchen upstairs and owner said there was a kitchen in basement with an oven too.  Also HBMC violations in utility room.,HOUSING
275,HOUSING / ZONING,ST 3/29/16 Inspected upper floor and there is a kitchen upstairs and owner said there was a kitchen in basement with an oven too.,ZONING
276,HOUSING / ZONING,3/29/16 No progress made on permit.  Operating a salvage yard without permit,ZONING
277,HOUSING / ZONING,02/19/16 referred to VB Inspector,VACANT BUILDING
278,HOUSING / ZONING,03/29/2016 ED- HBMC violations.,HOUSING
279,HOUSING / ZONING,01/11/2016 ED- Will send letter to inspect. 03/29/2016 ED- Illegal unit downstairs.,ZONING
280,VACANT BUILDING MONITORING,,
281,HOUSING / ZONING,"Abandoned vessel at 5471 S Othello St, tied to dock at neighboring property 7326 Bowlyn Pl S.  Vessel owner is not property owner.  Vessel has sunk.Associated police report 2016-6226",ZONING
282,CITATION,3/24/16 sh.  Weeds and Vegetation Ordinance Violation and Land Use Code Violation.,WEEDS AND VEGETATION
283,CITATION,"3/14/16 rf Observed outdoor junk storage of various items including but not limited to building materials, pallets, and plastic containers.",ZONING
