id,OP_NAME,OP_PHONE,OP_PHONE2,OP_WEB,OTHER
350,Standard,(206) 861-2233,,,N
351,,,,,N
352,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
353,,,,,N
354,,,,,N
355,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
356,,,,,Y
357,,,,,N
358,,,,,N
359,,,,,Y
360,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=175,N
361,,,,,N
362,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
363,,,,,N
364,,,,,N
365,,,,,N
366,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/,N
367,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
368,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
369,,,,,Y
370,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=117,N
371,,,,,N
372,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
373,Metro Parking Inc,,,,N
374,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
375,,,,,N
376,,,,,N
377,Westin,,,,N
378,,,,,N
379,,,,,N
380,,,,,N
381,United Parking Services,,,,N
382,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
383,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
384,,,,,N
385,,,,,N
386,Northwest Hospital,,,,N
387,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
388,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
389,United Parking Services,,,,N
390,United Parking Services,,,,N
391,I P M,206-254-0811,,http://www.ipmseattle.com/locations.htm,N
392,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
393,,,,,Y
394,Standard,(206) 774-6153,,,N
395,,,,,N
396,,,,,N
397,,,,,Y
398,,,,,Y
399,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
400,AMPCO,(425) 462-7515,,,N
401,Key Park Northwest,,,,N
402,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
403,,,,,N
404,,,,,N
405,,,,,N
406,,,,,Y
407,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
408,Central,,,http://www.parking.com/,N
409,Standard,(206) 381-8552 EXT 19,,http://www.standardparkingnw.com/locations/,N
410,,,,,N
411,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
412,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
413,United Parking Services,(206) 223-2771,,,N
414,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
415,Standard,(206) 623-0244,,http://www.standardparkingnw.com/locations/lot.asp?id=179,N
416,United Parking Services,(206) 372-6797,,,N
417,United Parking Services,,,,N
418,United Parking Services,(206) 388-0749,,,N
419,,,,,N
420,,,,,N
421,,,,,N
422,Standard,(206) 624-7040,,http://www.standardparkingnw.com/locations/lot.asp?id=162,N
423,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
424,Standard,(206) 652-1451,,http://www.standardparkingnw.com/locations/lot.asp?id=163,N
425,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
426,,,,,N
427,United Parking Services,,,,N
428,,,,,N
429,,,,,N
430,,,,,N
431,,,,,N
432,,,,,N
433,,,,,N
434,,,,,N
435,I P M,206-254-0811,,http://www.ipmseattle.com/locations.htm,N
436,,,,,N
437,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
438,,,,,N
439,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
440,,,,,Y
441,,,,,N
442,Four Seasons,,,,N
443,,,,,N
444,UDPA,,,,N
445,,,,,Y
446,,,,,N
447,Standard,(206) 521-2707,,http://www.standardparkingnw.com/locations/lot.asp?id=75,N
448,,,,,N
449,,,,,N
450,,,,,N
451,,,,,
452,United Parking Services,(206) 682-7664,,https://secure.diamondparking.com/monthlyParking/location.aspx?id=239,N
453,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
454,,,,,Y
455,,,,,N
456,,,,,N
457,,,,,N
458,,,,,Y
459,,,,,N
460,,,,,N
461,,,,,N
462,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
463,,,,,N
464,Ace,(206) 381-1789,,,N
465,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
466,,,,,N
467,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
468,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
469,,,,,Y
470,,,,,
471,,,,,N
472,,,,,N
473,,,,,N
474,,,,,Y
475,,,,,N
476,,,,,N
477,,,,,N
478,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
479,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
480,,,,,Y
481,,,,,Y
482,Key Park Northwest,,,,N
483,,,,,N
484,,,,,N
485,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=18,N
486,WAC,206-622-7900,,http://www.wac.net/0485.aspx,N
487,Standard,(206) 642-1451,,http://www.standardparkingnw.com/locations/,N
488,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
489,,,,,N
490,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
491,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
492,,,,,Y
493,,,,,Y
494,,,,,Y
495,,,,,Y
496,,,,,N
497,Standard,(206) 652-0849,,,N
498,,,,,N
499,Key Park Northwest,,,,N
500,,,,,N
501,Standard,(206) 381-8552,,http://standardparkingnw.com/,N
502,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=27,N
503,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=190,N
504,,,,,N
505,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
506,,,,,N
507,I P M,206-254-0811,,http://www.ipmseattle.com/locations/lot.asp?id=464,N
508,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
509,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
510,,,,,N
511,,,,,N
512,Central,(206) 386-2235,,http://www.parking.com/,N
513,,,,,N
514,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
515,,,,,N
516,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=53,N
517,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
518,Central,,,,N
519,Central,(206) 624-1755,,http://www.parking.com/,N
520,,,,,N
521,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
522,,,,,N
523,,,,,N
524,,,,,N
525,International,,,http://www.ipmseattle.com/locations.htm,N
526,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
527,ACE,(206) 621-9000,,,N
528,,,,,Y
529,Central,,,http://www.parking.com/,N
530,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
531,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
532,,,,,N
533,,,,,N
534,,,,,N
535,,,,,N
536,United Parking Services,,,,N
537,,,,,N
538,,,,,N
539,,,,,N
540,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
541,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
542,,,,,N
543,,,,,N
544,,,,,
545,,,,,N
546,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
547,,,,,N
548,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
549,,,,,N
550,,,,,N
551,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
552,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=164,N
553,,,,,N
554,,,,,N
555,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
556,,,,,N
557,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
558,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
559,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
560,,,,,N
561,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
562,,,,,N
563,,,,,N
564,,,,,N
565,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
566,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
567,,,,,
568,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
569,United Parking Services,,,,N
570,,,,,N
571,,,,,N
572,Standard,(206) 622-7407,,http://www.standardparkingnw.com/locations/,N
573,,,,,N
574,,,,,N
575,,,,,N
576,,,,,N
577,Central,(206) 386-2235,,http://www.parking.com/,N
578,,,,,N
579,,,,,N
580,,,,,N
581,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
582,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
583,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
584,,,,,N
585,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
586,,,,,Y
587,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
588,AMPCO,(206) 267-0446,,,N
589,,,,,N
590,,,,,N
591,,,,,N
592,,,,,N
593,,,,,N
594,,,,,N
595,,,,,N
596,,,,,N
597,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
598,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=51,N
599,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
600,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
601,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
602,,,,,N
603,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
604,United Parking Services,(206) 682-7664,,https://secure.diamondparking.com/monthlyParking/location.aspx?id=243,N
605,,,,,N
606,,,,,Y
607,,,,,N
608,,,,,N
609,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
610,,,,,N
611,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
612,,,,,N
613,,,,,Y
614,,,,,N
615,Standard,(206) 521-2707,,http://www.standardparkingnw.com/locations/lot.asp?id=75,N
616,Standard,(206) 623-8572,,http://www.standardparkingnw.com/locations/lot.asp?id=108,N
617,United Parking Services,,,https://secure.diamondparking.com/monthlyParking/location.aspx?id=613,N
618,,,,,N
619,,,,,N
620,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
621,,,,,N
622,,,,,N
623,,,,,Y
624,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=180,N
625,United Parking Services,,,,N
626,,,,,Y
627,Standard,(206) 340-8860,,http://www.standardparkingnw.com/locations/lot.asp?id=54,N
628,,,,,N
629,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
630,,,,,N
631,,,,,N
632,U-Park System,,,http://www.u-parksystem.com/locations/,N
633,United Parking Services,,,,N
634,,,,,N
635,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
636,,,,,N
637,,,,,N
638,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
639,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
640,,,,,N
641,,,,,N
642,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
643,UDPA,,,,N
644,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
645,,,,,N
646,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
647,,,,,Y
648,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=59,N
649,,,,,N
650,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
651,Central,(206) 624-1755,,http://www.parking.com/,N
652,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
653,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=5,N
654,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
655,,,,,N
656,Cascade,(206) 748-7595,,http://cascadeparking.com/main/,N
657,,,,,N
658,Merchants Parking/Transia,,,,N
659,,,,,N
660,,,,,Y
661,,,,,N
662,,,,,N
663,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
664,,,,,N
665,Ace Parking,,,http://www.urbispartners.com/property.php?idx=9,N
666,,,,,N
667,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
668,,,,,N
669,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
670,,,,,N
671,Standard,(206) 340-6177,,http://www.standardparkingnw.com/locations/lot.asp?id=67,N
672,,,,,N
673,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
674,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
675,,,,,N
676,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=23,N
677,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
678,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
679,,,,,N
680,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
681,Key Park Northwest,,,,N
682,,,,,Y
683,REPUBLIC,206-783-4144,,http://www.rpnw.com/seattle/locations/default.asp,N
684,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
685,Standard,(206) 521-2707,,http://www.standardparkingnw.com/locations/lot.asp?id=81,N
686,impark,,,"https://lots.impark.com/imp?_ga=1.48952358.1277140387.1429651959#details=25,103",N
