id,applicant_id,permit_type,decision_type,design_review_included,status
91,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
92,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
93,,SHORT PLAT,II,N,Application Accepted
94,,SHORT PLAT,II,N,Application Accepted
95,,SHORT PLAT,II,N,Decision Published
96,,SHORELINE DEVELOPMENT,II,N,Application Accepted
97,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
98,,SHORT PLAT,II,N,Application Accepted
99,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION, VARIANCE",II,N,Application Accepted
100,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
101,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
102,,SHORT PLAT,II,N,Application Accepted
103,,ADMINISTRATIVE CONDITIONAL USE,II,N,Application Accepted
104,,SHORT PLAT,II,N,Application Accepted
105,,VARIANCE,II,N,CANCELLED
106,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
107,,SHORT PLAT,II,N,Application Accepted
108,,SHORT PLAT,II,N,Application Accepted
109,,SHORT PLAT,II,N,Application Accepted
110,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
111,,SHORELINE DEVELOPMENT,II,N,Application Accepted
112,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
113,,SHORT PLAT,II,N,Application Accepted
114,,SHORT PLAT,II,N,Application Accepted
115,,SHORT PLAT,II,N,Application Accepted
116,,VARIANCE,II,N,Application Accepted
117,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
118,,SHORT PLAT,II,N,Application Accepted
119,,,,,CANCELLED
120,,SHORT PLAT,II,N,Application Accepted
121,,SHORT PLAT,II,N,Application Accepted
122,,SHORT PLAT,II,N,Application Accepted
123,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
124,,SHORT PLAT,II,N,Application Accepted
125,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Application Accepted
126,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
127,,SHORT PLAT,II,N,Application Accepted
128,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
129,,"ADMIN DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
130,,SHORT PLAT,II,N,Application Accepted
131,,SHORT PLAT,II,N,Application Accepted
132,,SHORT PLAT,II,N,Application Accepted
133,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
134,,SHORT PLAT,II,N,Application Accepted
135,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
136,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
137,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
138,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Decision Published
139,,LOT BOUNDARY ADJUSTMENT PLAT,,N,Application Accepted
140,,ENVIRONMENTALLY CRITICAL AREA,II,N,Application Accepted
141,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
142,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
143,,VARIANCE,II,N,Application Accepted
144,,SHORT PLAT,II,N,Application Accepted
145,,SHORT PLAT,II,N,Application Accepted
146,,SHORT PLAT,II,,Permit Finaled
147,,SHORT PLAT,II,N,Application Accepted
148,,SHORT PLAT,II,N,Application Accepted
149,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
150,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
151,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
152,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Application Accepted
153,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
154,,SHORT PLAT,II,N,Application Accepted
155,,SHORT PLAT,II,N,Application Accepted
156,,SHORT PLAT,II,N,Application Accepted
157,,SHORT PLAT,II,N,Application Accepted
158,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
159,,,II,,
160,,SHORT PLAT,II,N,Application Accepted
161,,SHORT PLAT,II,N,Application Accepted
162,,SHORT PLAT,II,,Application Accepted
163,,SHORT PLAT,II,N,Application Accepted
164,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
165,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
166,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
167,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
168,,SHORT PLAT,II,N,Application Accepted
169,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
170,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
171,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
172,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
173,,SHORT PLAT,II,N,Decision Published
174,,SHORT PLAT,II,N,Application Accepted
175,,VARIANCE,II,N,Application Accepted
176,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Application Accepted
177,,SHORT PLAT,II,N,Application Accepted
178,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
179,,"SHORT PLAT, SPECIAL EXCEPTION",II,N,Application Accepted
180,,SHORT PLAT,II,N,Application Accepted
181,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Decision Published
182,,SHORT PLAT,II,N,Application Accepted
183,,SHORT PLAT,II,N,Application Accepted
184,,SHORT PLAT,II,N,Application Accepted
185,,SHORT PLAT,II,N,Application Accepted
186,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
187,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
188,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
189,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
190,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Application Accepted
191,,SHORT PLAT,II,N,Application Accepted
192,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
193,,SHORT PLAT,II,N,Application Accepted
194,,SHORT PLAT,II,N,Decision Published
195,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
196,,"COUNCIL ACTION, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",IV,Y,Application Accepted
197,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
198,,SHORT PLAT,II,N,Application Accepted
199,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
200,,SHORT PLAT,II,N,Decision Published
201,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
202,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Decision Published
203,,ADMINISTRATIVE CONDITIONAL USE,II,N,Application Accepted
204,,SHORT PLAT,II,N,Decision Published
205,,SHORT PLAT,II,N,Application Accepted
206,,SHORT PLAT,II,N,Application Accepted
207,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
208,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
209,,SHORT PLAT,II,N,Application Accepted
210,,SHORT PLAT,II,N,Application Accepted
211,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Application Accepted
212,,SHORT PLAT,II,N,Application Accepted
213,,SHORT PLAT,II,N,Decision Published
214,,SHORT PLAT,II,N,Application Accepted
215,,SHORT PLAT,II,N,Application Accepted
216,,SHORT PLAT,II,N,Application Accepted
217,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Decision Published
218,,SHORELINE DEVELOPMENT,II,N,Application Accepted
219,,SHORT PLAT,II,N,Application Accepted
220,,SHORT PLAT,II,N,Application Accepted
221,,SHORT PLAT,II,N,Application Accepted
222,,ENVIRONMENTALLY CRITICAL AREA,II,N,Application Accepted
223,,SHORT PLAT,II,N,Application Accepted
224,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
225,,SHORT PLAT,II,,Application Accepted
226,,"SEPA THRESHOLD DETERMINATION, SHORELINE VARIANCE, VARIANCE",II,N,Application Accepted
227,,SHORT PLAT,II,N,Application Accepted
228,,SHORT PLAT,II,N,Decision Published
229,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Application Accepted
230,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Application Accepted
231,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
232,,SHORT PLAT,II,N,Application Accepted
233,,SHORT PLAT,II,N,Application Accepted
234,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Decision Published
235,,SHORT PLAT,II,N,Application Accepted
236,,SHORT PLAT,II,N,Application Accepted
237,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
238,,SHORT PLAT,II,N,Application Accepted
239,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
240,,DESIGN REVIEW WITHOUT EDG,II,Y,Application Accepted
241,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
242,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
243,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
244,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
245,,SHORT PLAT,II,N,Application Accepted
246,,SHORT PLAT,II,N,Decision Published
247,,SHORT PLAT,II,N,Application Accepted
248,,SHORT PLAT,II,N,Application Accepted
249,,SHORT PLAT,II,N,Application Accepted
250,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,N,Application Accepted
251,,SHORT PLAT,II,N,Application Accepted
252,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
253,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
254,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
255,,SHORT PLAT,II,N,Application Accepted
256,,SHORT PLAT,II,N,Application Accepted
257,,SHORT PLAT,II,N,Application Accepted
258,,SHORT PLAT,II,N,Decision Published
259,,SHORT PLAT,II,N,Application Accepted
260,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
261,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Decision Published
262,,SHORT PLAT,II,N,Application Accepted
263,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
264,,SUBDIVISION PLAT,III,N,Application Accepted
265,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
266,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
267,,ENVIRONMENTALLY CRITICAL AREA,II,N,Application Accepted
268,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
269,,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",V,N,Application Accepted
270,,SHORT PLAT,II,N,Notice and Reviews Completed
271,,SHORT PLAT,II,N,Decision Published
272,,SHORT PLAT,II,N,Decision Published
273,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Application Accepted
274,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Decision Published
275,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
276,,SHORT PLAT,II,N,Application Accepted
277,,SHORT PLAT,II,N,Application Accepted
278,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
279,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
280,,"COUNCIL ACTION, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
281,,SHORT PLAT,II,N,Permit Closed
282,,SHORT PLAT,II,N,Application Accepted
283,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
284,,ADMINISTRATIVE CONDITIONAL USE,II,N,Application Accepted
285,,SPECIAL EXCEPTION,II,N,Application Accepted
286,,SPECIAL EXCEPTION,II,N,Application Accepted
287,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,Y,Application Accepted
288,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Decision Published
289,,SHORT PLAT,II,N,Application Accepted
290,,SHORT PLAT,II,N,Decision Published
291,,SPECIAL EXCEPTION,II,N,Application Accepted
292,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
293,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
294,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
295,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
296,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Application Accepted
297,,SHORT PLAT,II,N,Notice and Reviews Completed
298,,VARIANCE,II,N,Notice and Reviews Completed
299,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
300,,ADMINISTRATIVE CONDITIONAL USE,II,N,Notice and Reviews Completed
301,,SHORT PLAT,II,N,Application Accepted
302,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
303,,VARIANCE,II,N,Application Accepted
304,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Decision Published
305,,SHORT PLAT,II,N,Application Accepted
306,,VARIANCE,II,N,Application Accepted
307,,SHORT PLAT,II,N,Application Accepted
308,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
309,,SHORT PLAT,II,N,Decision Published
310,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,Y,Application Accepted
311,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
312,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
313,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
314,,SHORT PLAT,II,N,Decision Published
315,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,N,Application Accepted
316,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,N,Application Accepted
317,,ADMINISTRATIVE CONDITIONAL USE,II,N,Notice and Reviews Completed
318,,ADMINISTRATIVE CONDITIONAL USE,II,N,Notice and Reviews Completed
319,,ADMINISTRATIVE CONDITIONAL USE,,N,Notice and Reviews Completed
320,,SHORT PLAT,II,N,Decision Published
321,,SHORT PLAT,II,N,Application Accepted
322,,ADMINISTRATIVE CONDITIONAL USE,II,N,Notice and Reviews Completed
323,,"ADMINISTRATIVE CONDITIONAL USE, DESIGN REVIEW WITH EDG",II,Y,Application Accepted
324,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
325,,ADMINISTRATIVE CONDITIONAL USE,II,N,Notice and Reviews Completed
326,,SHORT PLAT,II,N,Application Accepted
327,,,II,,
328,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
329,,SHORT PLAT,II,N,Application Accepted
330,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
331,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
332,,SHORT PLAT,II,N,Decision Published
333,,SHORT PLAT,II,N,Application Accepted
334,,SHORT PLAT,II,N,Application Accepted
335,,SHORT PLAT,II,N,Decision Published
336,,SHORT PLAT,II,N,Decision Published
337,,SHORT PLAT,II,N,Application Accepted
338,,SHORT PLAT,II,N,Application Accepted
339,,SHORT PLAT,II,N,Decision Published
340,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION",II,N,Application Accepted
341,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Decision Published
342,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
343,,SHORT PLAT,II,N,Decision Published
344,,SHORT PLAT,II,N,Application Accepted
345,,SHORT PLAT,II,N,Decision Published
346,,SHORT PLAT,II,N,Application Accepted
347,,SHORT PLAT,II,N,Application Accepted
348,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
349,,"ADMIN DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
350,,SHORT PLAT,II,N,Decision Published
351,,SHORT PLAT,II,N,Decision Published
352,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION",II,N,Decision Published
353,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
354,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
355,,SHORT PLAT,II,N,Application Accepted
356,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
357,,SHORT PLAT,II,N,Application Accepted
358,,SHORT PLAT,II,N,Permit Closed
359,,SHORT PLAT,II,N,Decision Published
360,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Application Accepted
361,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
362,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
363,,SHORT PLAT,II,N,Decision Published
364,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Decision Published
365,,"COUNCIL ACTION, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",IV,Y,Application Accepted
366,,DESIGN REVIEW WITH EDG,II,Y,CANCELLED
367,,SHORT PLAT,II,N,Application Accepted
368,,SHORT PLAT,II,N,Application Accepted
369,,SHORT PLAT,II,N,Decision Published
370,,SHORT PLAT,II,N,Permit Closed
371,,SHORT PLAT,II,N,Application Accepted
372,,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",IV,N,Application Accepted
373,,SEPA THRESHOLD DETERMINATION,II,N,Decision Published
374,,SHORT PLAT,II,N,Decision Published
375,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
376,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
377,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
378,,OTHER LAND USE ACTIONS,I,N,Decision Published
379,,SHORT PLAT,II,N,Decision Published
380,,SHORT PLAT,II,N,Application Accepted
381,,VARIANCE,II,N,Permit Issued
382,,SHORT PLAT,II,N,Decision Published
383,,SHORT PLAT,II,N,Decision Published
384,,SHORT PLAT,II,N,Decision Published
385,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
386,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
387,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Decision Published
388,,SHORT PLAT,II,N,Permit Closed
389,,SHORT PLAT,II,N,Application Accepted
390,,SHORT PLAT,II,N,Application Accepted
391,,SHORT PLAT,II,N,Decision Published
392,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
393,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
394,,"ADMINISTRATIVE CONDITIONAL USE, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
395,,SHORT PLAT,II,N,Application Accepted
396,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
397,,SHORT PLAT,II,N,Decision Published
398,,VARIANCE,II,N,Decision Published
399,,SHORT PLAT,II,N,Decision Published
400,,"DESIGN REVIEW WITH EDG, OTHER LAND USE ACTIONS, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
401,,"DESIGN REVIEW WITH EDG, OTHER LAND USE ACTIONS, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
402,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
403,,"OTHER LAND USE ACTIONS, SEPA THRESHOLD DETERMINATION",II,N,Decision Published
404,,"DESIGN REVIEW WITH EDG, OTHER LAND USE ACTIONS, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
405,,SHORT PLAT,II,N,Application Accepted
406,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Application Accepted
407,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
408,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
409,,SHORT PLAT,II,N,Permit Closed
410,,SHORT PLAT,II,N,Application Accepted
411,,SHORT PLAT,II,N,Decision Published
412,,SHORT PLAT,II,N,Application Accepted
413,,SHORT PLAT,II,N,Permit Closed
414,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT, STREAMLINED ADMIN DESIGN RVW",II,N,Application Accepted
415,,SHORT PLAT,II,N,Application Accepted
416,,"OTHER LAND USE ACTIONS, SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT, SPECIAL EXCEPTION",II,N,Application Accepted
417,,SHORT PLAT,II,N,Application Accepted
418,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
419,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Decision Published
420,,SHORT PLAT,II,N,Application Accepted
421,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
